election,n_voters,n_projects,budget,committee_size,total_cost,ejr_abcvoting,alpha_ilp,validation,error
France_Toulouse_2022_10_-_Jolimont_Soupetard_Roseraie_Gloire_Gramont_Amouroux,393,10,400000,7,392000,True,0.393,MISMATCH,
France_Toulouse_2022_11_-_Bonhoure_Guilhemery_Chateau_de_lHers_Limayrac_Cote_Pavee,262,10,400000,5,398500,True,0.14035714285714285,MISMATCH,
France_Toulouse_2022_12_-_Pont_des_Demoiselles_Ormeau_Montaudran_La_Terrasse_Malepere,659,10,400000,6,385000,True,0.3295,MISMATCH,
France_Toulouse_2022_13_-_Rangueil_Sauzelong_Jules-Julien_Pech-David_Pouvourville,304,10,400000,5,396200,True,0.228,MISMATCH,
France_Toulouse_2022_14_-_Saint-Simon_Lafourguette_Oncopole-Campus_Sante_du_Futur,191,10,400000,9,397700,True,0.23875,MISMATCH,
France_Toulouse_2022_15_-_Croix_de_Pierre_Route_dEspagne,274,10,400000,7,398200,True,0.599375,MISMATCH,
France_Toulouse_2022_16_-_Fontaine-Lestang_Arenes_Bagatelle_Papus_Tabar_Bordelongue_Mermoz_La_Faourette,234,10,400000,6,375000,True,0.39,MISMATCH,
France_Toulouse_2022_17_-_Mirail-Universite_Reynerie_Bellefontaine,93,10,400000,2,400000,True,0.13676470588235295,MISMATCH,
France_Toulouse_2022_18_-_Lardenne_Pradettes_Basso-Cambo,357,10,400000,6,377700,True,0.169575,MISMATCH,
France_Toulouse_2022_19_-_Casselardit_Fontaine-Bayonne_Cartoucherie,292,10,400000,4,390000,True,1.0,PASS,
France_Toulouse_2022_1_-_Capitole_Arnaud_Bernard_Carmes,972,10,400000,6,396000,True,0.18692307692307691,MISMATCH,
France_Toulouse_2022_20_-_Arenes_Romaines_Ancely_Saint-Martin_du_Touch_Purpan,286,10,400000,3,400000,True,0.3972222222222222,MISMATCH,
France_Toulouse_2022_2_-_Amidonniers_Compans-Caffarelli_Brouardel,404,10,400000,8,396900,True,0.0404,MISMATCH,
France_Toulouse_2022_3_-_Les_Chalets_Bayard_Belfort_Saint_Aubin_Dupuy,330,10,400000,5,350700,True,0.2206875,MISMATCH,
France_Toulouse_2022_4_-_Lapujade_Bonnefoy_Periole_Marengo_La_Colonne,253,10,400000,8,320320,True,0.841225,MISMATCH,
France_Toulouse_2022_5_-_Saint-Michel_Saint-Agne_Empalot_Le_Busca_Ile_du_Ramier_Monplaisir,423,10,400000,5,400000,True,0.3525,MISMATCH,
France_Toulouse_2022_6_-_Saint-Cyprien,436,10,400000,4,399000,True,0.44882352941176473,MISMATCH,
France_Toulouse_2022_7_-_Sept_Deniers_Ginestous-Sesquieres_Lalande,154,10,400000,5,387300,True,0.09664285714285714,MISMATCH,
France_Toulouse_2022_8_-_Minimes_Barriere_de_Paris_Ponts-Jumeaux_La_Vache_Raisins_Fondeyre,512,10,400000,7,383000,True,0.2742857142857143,MISMATCH,
France_Toulouse_2022_9_-_Trois_Cocus_Borderouge_Croix-Daurade_Paleficat_Grand_Selve,185,9,400000,8,302700,True,0.09910714285714285,MISMATCH,
netherlands_amsterdam_515_,3140,8,30000,4,28000,True,1.0,PASS,
netherlands_amsterdam_523_,938,7,155000,2,148000,True,1.0,PASS,
netherlands_amsterdam_619_,865,9,100000,5,98434,True,1.0,PASS,
poland_gdynia_2020_babie-doly-large,318,6,219780,1,219780,True,0.691304347826087,MISMATCH,
poland_gdynia_2020_babie-doly-small,306,5,24420,3,21595,True,1.0,PASS,
poland_gdynia_2020_chwarzno-wiczlino-large,3849,5,691650,5,424088,True,1.0,PASS,
poland_gdynia_2020_chwarzno-wiczlino-small,3815,12,76850,8,75955,True,1.0,PASS,
poland_gdynia_2020_chylonia-large,1231,7,511110,3,500000,True,0.30295389895638414,MISMATCH,
poland_gdynia_2020_chylonia-small,1218,10,56790,6,55417,True,1.0,PASS,
poland_gdynia_2020_cisowa-large,671,3,448110,1,448110,True,0.9319444444444445,MISMATCH,
poland_gdynia_2020_cisowa-small,572,4,49790,4,39960,True,1.0,PASS,
poland_gdynia_2020_dabrowa-large,2100,11,598410,5,578355,True,1.0,PASS,
poland_gdynia_2020_dzialki-lesne-large,745,5,286650,1,286650,True,0.30915510684544045,MISMATCH,
poland_gdynia_2020_dzialki-lesne-small,697,7,31850,5,27155,True,1.0,PASS,
poland_gdynia_2020_grabowek-large,1511,7,295110,1,295110,True,0.3580568720379147,MISMATCH,
poland_gdynia_2020_grabowek-small,1380,10,32790,3,30000,True,1.0,PASS,
poland_gdynia_2020_kamienna-gora-large,477,3,190170,2,167055,True,0.5546511627906977,MISMATCH,
poland_gdynia_2020_kamienna-gora-small,429,3,21130,2,18464,True,1.0,PASS,
poland_gdynia_2020_karwiny-large,1104,5,287370,1,285000,True,0.41194029850746267,MISMATCH,
poland_gdynia_2020_karwiny-small,1056,6,31930,4,31395,True,1.0,PASS,
poland_gdynia_2020_leszczynki-large,727,5,278370,1,278300,True,0.39297297297297296,MISMATCH,
poland_gdynia_2020_leszczynki-small,675,9,30930,3,29900,True,1.0,PASS,
poland_gdynia_2020_maly-kack-large,3050,7,491940,1,491940,True,0.17944842496352342,MISMATCH,
poland_gdynia_2020_maly-kack-small,2881,10,54660,6,52719,True,1.0,PASS,
poland_gdynia_2020_obluze-large,1973,7,467100,1,467100,True,0.38015414258188823,MISMATCH,
poland_gdynia_2020_obluze-small,1811,5,51900,5,49014,True,1.0,PASS,
poland_gdynia_2020_oksywie-large,819,2,456930,1,455134,True,0.7060344827586207,MISMATCH,
poland_gdynia_2020_oksywie-small,789,6,50770,5,49196,True,1.0,PASS,
poland_gdynia_2020_orlowo-large,368,2,376020,1,374988,True,0.6116695920429764,MISMATCH,
poland_gdynia_2020_orlowo-small,399,8,41780,5,40035,True,1.0,PASS,
poland_gdynia_2020_pogorze-large,1197,4,347932,2,347932,True,0.9601604278074866,MISMATCH,
poland_gdynia_2020_pogorze-small,849,8,38380,3,30000,True,1.0,PASS,
poland_gdynia_2020_pustki-cisowskie-demptowo-large,1056,4,271440,1,269995,True,0.23180076628352492,MISMATCH,
poland_gdynia_2020_pustki-cisowskie-demptowo-small,1046,7,30160,3,27680,True,1.0,PASS,
poland_gdynia_2020_redlowo-large,2316,13,280350,3,252641,True,0.846800731261426,MISMATCH,
poland_gdynia_2020_redlowo-small,2122,8,31150,3,29480,True,1.0,PASS,
poland_gdynia_2020_srodmiescie-large,1020,3,361890,1,361890,True,0.18242951580791997,MISMATCH,
