,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,alpha_EJR
MES,1.0,0.9106894956038872,0.9565217391304348,0.8293177027096509,1.0
AV,0.1348140495867768,0.9106894956038872,0.9547200507771604,0.8293177027096509,1.0
greedy-AV/cost,1.0,0.989247311827957,0.9716769820218096,0.9785719811247776,1.0
greedy-AV/cost^2,1.0,0.989247311827957,0.9716769820218096,0.9785719811247776,1.0
greedy-CC,0.1348140495867768,0.9106894956038872,0.8641509433962264,0.8293177027096509,1.0
greedy-PAV,0.1348140495867768,0.9106894956038872,0.9547200507771604,0.8293177027096509,1.0
PAIRS-AV,0.1348140495867768,0.9106894956038872,1.0,0.8293177027096509,1.0
PAIRS-CC,0.1348140495867768,0.9106894956038872,1.0,0.8293177027096509,1.0
CONS-AV,0.1348140495867768,1.0,0.8867924528301887,1.0,1.0
CONS-CC,0.1348140495867768,1.0,0.8641509433962264,1.0,1.0
