subset_size,subset_indices,AV,CC,PAIRS,CONS,EJR,beta_EJR,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,alpha_EJR
0,[],0,0,0,0,True,1.0,0.0,0.0,0.0,0.0,1.0
1,[0],10,10,45,45,True,1.0,0.5,0.5,0.23684210526315788,0.23684210526315788,1.0
1,[1],8,8,28,28,True,1.0,0.4,0.4,0.14736842105263157,0.14736842105263157,1.0
1,[2],10,10,45,45,True,1.0,0.5,0.5,0.23684210526315788,0.23684210526315788,1.0
1,[3],18,18,153,153,True,1.0,0.9,0.9,0.8052631578947368,0.8052631578947368,1.0
1,[4],20,20,190,190,True,1.0,1.0,1.0,1.0,1.0,1.0
1,[5],11,11,55,55,True,1.0,0.55,0.55,0.2894736842105263,0.2894736842105263,1.0
1,[6],7,7,21,21,True,1.0,0.35,0.35,0.11052631578947368,0.11052631578947368,1.0
1,[7],12,12,66,66,True,1.0,0.6,0.6,0.3473684210526316,0.3473684210526316,1.0
2,"[0, 1]",18,17,73,136,True,1.0,0.47368421052631576,0.6538461538461539,0.27547169811320754,0.41846153846153844,1.0
2,"[0, 2]",20,16,84,120,True,1.0,0.5263157894736842,0.6153846153846154,0.3169811320754717,0.36923076923076925,1.0
2,"[0, 3]",28,22,183,231,True,1.0,0.7368421052631579,0.8461538461538461,0.690566037735849,0.7107692307692308,1.0
2,"[0, 4]",30,22,207,231,True,1.0,0.7894736842105263,0.8461538461538461,0.7811320754716982,0.7107692307692308,1.0
2,"[0, 5]",21,20,100,190,True,1.0,0.5526315789473685,0.7692307692307693,0.37735849056603776,0.5846153846153846,1.0
2,"[0, 6]",17,14,63,91,True,1.0,0.4473684210526316,0.5384615384615384,0.23773584905660378,0.28,1.0
2,"[0, 7]",22,18,105,153,True,1.0,0.5789473684210527,0.6923076923076923,0.39622641509433965,0.4707692307692308,1.0
2,"[1, 2]",18,13,63,78,True,1.0,0.47368421052631576,0.5,0.23773584905660378,0.24,1.0
2,"[1, 3]",26,20,166,190,True,1.0,0.6842105263157895,0.7692307692307693,0.6264150943396226,0.5846153846153846,1.0
