method,k,alpha_PAIRS,alpha_CONS,alpha_EJR,committee
MES,1,1.0,1.0,1.0,[0]
AV,1,1.0,1.0,1.0,[0]
CC,1,1.0,1.0,1.0,[0]
PAV,1,1.0,1.0,1.0,[0]
MES,2,1.0,1.0,1.0,"[0, 1]"
AV,2,0.9781021897810219,0.9523809523809523,1.0,"[0, 2]"
CC,2,1.0,1.0,1.0,"[0, 1]"
PAV,2,1.0,1.0,1.0,"[0, 1]"
MES,3,1.0,0.9583333333333334,1.0,"[0, 1, 2]"
AV,3,1.0,0.9583333333333334,1.0,"[0, 1, 2]"
CC,3,0.944047619047619,1.0,1.0,"[0, 1, 3]"
PAV,3,1.0,0.9583333333333334,1.0,"[0, 1, 2]"
MES,4,0.9861259338313767,1.0,1.0,"[0, 1, 2, 4]"
AV,4,0.991462113127001,1.0,1.0,"[0, 1, 2, 6]"
CC,4,1.0,1.0,1.0,"[0, 1, 2, 3]"
PAV,4,1.0,1.0,1.0,"[0, 1, 2, 3]"
MES,5,0.989065606361829,1.0,1.0,"[0, 1, 2, 4, 6]"
AV,5,0.989065606361829,1.0,1.0,"[0, 1, 2, 4, 6]"
CC,5,1.0,1.0,1.0,"[0, 1, 2, 3, 4]"
PAV,5,1.0,1.0,1.0,"[0, 1, 2, 3, 4]"
MES,6,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 6]"
AV,6,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 6]"
CC,6,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 6]"
PAV,6,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 6]"
MES,7,0.9916897506925207,1.0,1.0,"[0, 1, 2, 4, 3, 6, 7]"
AV,7,0.9916897506925207,1.0,1.0,"[0, 1, 2, 3, 4, 6, 7]"
CC,7,0.9916897506925207,1.0,1.0,"[0, 1, 2, 3, 4, 6, 7]"
PAV,7,0.9916897506925207,1.0,1.0,"[0, 1, 2, 3, 4, 6, 7]"
MES,8,1.0,1.0,1.0,"[0, 1, 2, 4, 3, 6, 7, 9]"
AV,8,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 6, 7, 9]"
CC,8,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 6, 7, 9]"
PAV,8,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 6, 7, 9]"
MES,9,1.0,1.0,1.0,"[0, 1, 2, 4, 6, 3, 7, 9, 8]"
AV,9,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 6, 7, 8, 9]"
CC,9,0.9919499105545617,1.0,1.0,"[0, 1, 2, 3, 4, 5, 6, 7, 9]"
PAV,9,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 6, 7, 8, 9]"
MES,10,1.0,1.0,1.0,"[0, 1, 2, 4, 6, 3, 7, 9, 8, 5]"
AV,10,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
CC,10,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
PAV,10,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
