subset_size,subset_indices,AV,CC,PAIRS,CONS,EJR,beta_EJR
0,[],0,0,0,0,True,1.0
1,[0],31,31,465,465,True,1.0
1,[1],26,26,325,325,True,1.0
1,[2],26,26,325,325,True,1.0
1,[3],19,19,171,171,True,1.0
1,[4],21,21,210,210,True,1.0
1,[5],11,11,55,55,True,1.0
1,[6],21,21,210,210,True,1.0
1,[7],18,18,153,153,True,1.0
1,[8],14,14,91,91,True,1.0
1,[9],15,15,105,105,True,1.0
2,"[0, 1]",57,42,685,861,True,1.0
2,"[0, 2]",57,41,670,820,True,1.0
2,"[0, 3]",50,40,591,780,True,1.0
2,"[0, 4]",52,40,609,780,True,1.0
2,"[0, 5]",42,37,510,666,True,1.0
2,"[0, 6]",52,38,584,703,True,1.0
2,"[0, 7]",49,37,552,666,True,1.0
2,"[0, 8]",45,36,520,630,True,1.0
2,"[0, 9]",46,39,549,741,True,1.0
2,"[1, 2]",52,39,572,741,True,1.0
2,"[1, 3]",45,37,468,666,True,1.0
2,"[1, 4]",47,35,469,595,True,1.0
2,"[1, 5]",37,31,365,465,True,1.0
2,"[1, 6]",47,37,490,666,True,1.0
2,"[1, 7]",44,38,463,703,True,1.0
2,"[1, 8]",40,31,380,465,True,1.0
2,"[1, 9]",41,34,409,561,True,1.0
2,"[2, 3]",45,39,481,741,True,1.0
2,"[2, 4]",47,36,480,630,True,1.0
2,"[2, 5]",37,31,365,465,True,1.0
2,"[2, 6]",47,37,490,666,True,1.0
2,"[2, 7]",44,37,457,666,True,1.0
2,"[2, 8]",40,33,395,528,True,1.0
2,"[2, 9]",41,33,402,528,True,1.0
2,"[3, 4]",40,32,353,496,True,1.0
2,"[3, 5]",30,23,205,253,True,1.0
2,"[3, 6]",40,31,345,465,True,1.0
2,"[3, 7]",37,27,279,351,True,1.0
2,"[3, 8]",33,28,252,378,True,1.0
2,"[3, 9]",34,27,255,351,True,1.0
2,"[4, 5]",32,29,262,406,True,1.0
2,"[4, 6]",42,33,384,528,True,1.0
2,"[4, 7]",39,30,327,435,True,1.0
2,"[4, 8]",35,29,286,406,True,1.0
2,"[4, 9]",36,31,305,465,True,1.0
2,"[5, 6]",32,27,255,351,True,1.0
2,"[5, 7]",29,24,198,276,True,1.0
2,"[5, 8]",25,23,145,253,True,1.0
2,"[5, 9]",26,23,157,253,True,1.0
2,"[6, 7]",39,28,308,378,True,1.0
2,"[6, 8]",35,31,295,465,True,1.0
2,"[6, 9]",36,29,294,406,True,1.0
2,"[7, 8]",32,28,238,378,True,1.0
2,"[7, 9]",33,29,252,406,True,1.0
2,"[8, 9]",29,25,190,300,True,1.0
3,"[0, 1, 2]",83,47,840,1081,True,1.0
3,"[0, 1, 3]",76,48,793,1128,True,1.0
3,"[0, 1, 4]",78,46,784,1035,True,1.0
3,"[0, 1, 5]",68,44,716,946,True,1.0
3,"[0, 1, 6]",78,47,787,1081,True,1.0
3,"[0, 1, 7]",75,47,767,1081,True,1.0
3,"[0, 1, 8]",71,43,714,903,True,1.0
3,"[0, 1, 9]",72,46,751,1035,True,1.0
3,"[0, 2, 3]",76,47,784,1081,True,1.0
3,"[0, 2, 4]",78,47,787,1081,True,1.0
3,"[0, 2, 5]",68,44,703,946,True,1.0
3,"[0, 2, 6]",78,46,772,1035,True,1.0
3,"[0, 2, 7]",75,46,751,1035,True,1.0
3,"[0, 2, 8]",71,42,707,861,True,1.0
3,"[0, 2, 9]",72,45,732,990,True,1.0
3,"[0, 3, 4]",71,44,710,946,True,1.0
3,"[0, 3, 5]",61,41,616,820,True,1.0
3,"[0, 3, 6]",71,42,680,861,True,1.0
3,"[0, 3, 7]",68,41,643,820,True,1.0
3,"[0, 3, 8]",64,44,642,946,True,1.0
3,"[0, 3, 9]",65,45,660,990,True,1.0
3,"[0, 4, 5]",63,43,651,903,True,1.0
3,"[0, 4, 6]",73,43,702,903,True,1.0
