subset_size,subset_indices,AV,CC,PAIRS,CONS,EJR,beta_EJR,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS,alpha_EJR
0,[],0,0,0,0,True,1.0,0.0,0.0,0.0,0.0,1.0
1,[0],637,637,202566,202566,True,1.0,0.4753731343283582,0.4753731343283582,0.22579336328068395,0.22579336328068395,1.0
1,[1],198,198,19503,19503,True,1.0,0.14776119402985075,0.14776119402985075,0.02173932428967931,0.02173932428967931,1.0
1,[2],38,38,703,703,True,1.0,0.028358208955223882,0.028358208955223882,0.0007836099561936397,0.0007836099561936397,1.0
1,[3],1340,1340,897130,897130,True,1.0,1.0,1.0,1.0,1.0,1.0
1,[4],309,309,47586,47586,True,1.0,0.23059701492537313,0.23059701492537313,0.05304247990815155,0.05304247990815155,1.0
1,[5],456,456,103740,103740,True,1.0,0.3402985074626866,0.3402985074626866,0.11563541515722359,0.11563541515722359,1.0
1,[6],242,242,29161,29161,True,1.0,0.18059701492537314,0.18059701492537314,0.032504765195679554,0.032504765195679554,1.0
1,[7],1176,1176,690900,690900,True,1.0,0.8776119402985074,0.8776119402985074,0.7701225017555984,0.7701225017555984,1.0
1,[8],91,91,4095,4095,True,1.0,0.06791044776119402,0.06791044776119402,0.004564555861469352,0.004564555861469352,1.0
1,[9],312,312,48516,48516,True,1.0,0.23283582089552238,0.23283582089552238,0.05407911896826547,0.05407911896826547,1.0
1,[10],250,250,31125,31125,True,1.0,0.1865671641791045,0.1865671641791045,0.03469396854413519,0.03469396854413519,1.0
1,[11],1216,1216,738720,738720,True,1.0,0.9074626865671642,0.9074626865671642,0.8234258134272625,0.8234258134272625,1.0
2,"[0, 1]",835,723,215853,261003,True,1.0,0.32668231611893583,0.3345673299398427,0.14751392769081892,0.11183222787804001,1.0
2,"[0, 2]",675,656,203098,214840,True,1.0,0.2640845070422535,0.30356316520129567,0.1387971614300007,0.09205271907724476,1.0
2,"[0, 3]",1977,1706,1063111,1454365,True,1.0,0.7734741784037559,0.7894493290143452,0.7265299957902563,0.6231532898006753,1.0
2,"[0, 4]",946,775,235617,299925,True,1.0,0.3701095461658842,0.35863026376677465,0.16102064414544937,0.1285091778497609,1.0
2,"[0, 5]",1093,932,293426,433846,True,1.0,0.4276212832550861,0.4312818139750116,0.20052731139528399,0.1858904485234888,1.0
2,"[0, 6]",879,854,231427,364231,True,1.0,0.3438967136150235,0.3951874132346136,0.15815719838826958,0.156062436800521,1.0
2,"[0, 7]",1813,1427,819161,1017451,True,1.0,0.7093114241001565,0.6603424340583064,0.5598145799277237,0.43594829211441893,1.0
2,"[0, 8]",728,700,206283,244650,True,1.0,0.28482003129890454,0.3239241092086997,0.1409737902454226,0.1048254408967042,1.0
2,"[0, 9]",949,904,250092,408156,True,1.0,0.37128325508607196,0.4183248496066636,0.17091285830658962,0.17488302740500797,1.0
2,"[0, 10]",887,739,222813,272691,True,1.0,0.3470266040688576,0.34197130957889865,0.15227039128747083,0.11684019743945705,1.0
