method,k,alpha_PAIRS,alpha_CONS,alpha_EJR,committee
MES,1,1.0,1.0,1.0,[3]
AV,1,1.0,1.0,1.0,[3]
CC,1,1.0,1.0,1.0,[3]
PAV,1,1.0,1.0,1.0,[3]
PAIRS-AV,1,1.0,1.0,1.0,[3]
PAIRS-CC,1,1.0,1.0,1.0,[3]
CONS-AV,1,1.0,1.0,1.0,[3]
CONS-CC,1,1.0,1.0,1.0,[3]
MES,2,1.0,0.8293177027096509,1.0,"[3, 11]"
AV,2,1.0,0.8293177027096509,1.0,"[3, 11]"
CC,2,1.0,0.8293177027096509,1.0,"[3, 11]"
PAV,2,1.0,0.8293177027096509,1.0,"[3, 11]"
PAIRS-AV,2,1.0,0.8293177027096509,1.0,"[3, 11]"
PAIRS-CC,2,1.0,0.8293177027096509,1.0,"[3, 11]"
CONS-AV,2,0.9588477056897146,1.0,1.0,"[7, 11]"
CONS-CC,2,0.9588477056897146,1.0,1.0,"[7, 11]"
MES,3,1.0,1.0,1.0,"[3, 11, 7]"
AV,3,1.0,1.0,1.0,"[3, 7, 11]"
CC,3,1.0,1.0,1.0,"[3, 7, 11]"
PAV,3,1.0,1.0,1.0,"[3, 7, 11]"
PAIRS-AV,3,1.0,1.0,1.0,"[3, 7, 11]"
PAIRS-CC,3,1.0,1.0,1.0,"[3, 7, 11]"
CONS-AV,3,1.0,1.0,1.0,"[3, 7, 11]"
CONS-CC,3,1.0,1.0,1.0,"[3, 7, 11]"
MES,4,1.0,1.0,1.0,"[3, 11, 7, 0]"
AV,4,1.0,1.0,1.0,"[0, 3, 7, 11]"
CC,4,1.0,1.0,1.0,"[0, 3, 7, 11]"
PAV,4,1.0,1.0,1.0,"[0, 3, 7, 11]"
PAIRS-AV,4,1.0,1.0,1.0,"[0, 3, 7, 11]"
PAIRS-CC,4,1.0,1.0,1.0,"[0, 3, 7, 11]"
CONS-AV,4,1.0,1.0,1.0,"[0, 3, 7, 11]"
CONS-CC,4,1.0,1.0,1.0,"[0, 3, 7, 11]"
MES,5,1.0,0.9789202220425428,1.0,"[3, 11, 7, 0, 5]"
AV,5,1.0,0.9789202220425428,1.0,"[0, 3, 5, 7, 11]"
CC,5,0.9935777289199442,1.0,1.0,"[0, 3, 7, 9, 11]"
PAV,5,1.0,0.9789202220425428,1.0,"[0, 3, 5, 7, 11]"
PAIRS-AV,5,1.0,0.9789202220425428,1.0,"[0, 3, 5, 7, 11]"
PAIRS-CC,5,1.0,0.9789202220425428,1.0,"[0, 3, 5, 7, 11]"
CONS-AV,5,0.9935777289199442,1.0,1.0,"[0, 3, 7, 9, 11]"
CONS-CC,5,0.9935777289199442,1.0,1.0,"[0, 3, 7, 9, 11]"
MES,6,1.0,1.0,1.0,"[3, 11, 7, 0, 5, 9]"
AV,6,1.0,1.0,1.0,"[0, 3, 5, 7, 9, 11]"
CC,6,1.0,1.0,1.0,"[0, 3, 5, 7, 9, 11]"
PAV,6,1.0,1.0,1.0,"[0, 3, 5, 7, 9, 11]"
PAIRS-AV,6,1.0,1.0,1.0,"[0, 3, 5, 7, 9, 11]"
PAIRS-CC,6,1.0,1.0,1.0,"[0, 3, 5, 7, 9, 11]"
CONS-AV,6,1.0,1.0,1.0,"[0, 3, 5, 7, 9, 11]"
CONS-CC,6,1.0,1.0,1.0,"[0, 3, 5, 7, 9, 11]"
MES,7,1.0,0.9962644782921731,1.0,"[3, 11, 7, 0, 5, 9, 4]"
AV,7,1.0,0.9962644782921731,1.0,"[0, 3, 4, 5, 7, 9, 11]"
CC,7,0.9983542655525401,1.0,1.0,"[0, 3, 5, 7, 9, 10, 11]"
PAV,7,1.0,0.9962644782921731,1.0,"[0, 3, 4, 5, 7, 9, 11]"
PAIRS-AV,7,1.0,0.9962644782921731,1.0,"[0, 3, 4, 5, 7, 9, 11]"
PAIRS-CC,7,1.0,0.9962644782921731,1.0,"[0, 3, 4, 5, 7, 9, 11]"
CONS-AV,7,0.9983542655525401,1.0,1.0,"[0, 3, 5, 7, 9, 10, 11]"
CONS-CC,7,0.9983542655525401,1.0,1.0,"[0, 3, 5, 7, 9, 10, 11]"
MES,8,1.0,0.9970221493254738,1.0,"[3, 11, 7, 0, 5, 9, 4, 10]"
AV,8,1.0,0.9970221493254738,1.0,"[0, 3, 4, 5, 7, 9, 10, 11]"
CC,8,0.998177710354298,1.0,1.0,"[0, 3, 5, 6, 7, 9, 10, 11]"
PAV,8,0.9998366990948861,0.9985105196113531,1.0,"[0, 3, 4, 5, 6, 7, 9, 11]"
PAIRS-AV,8,1.0,0.9970221493254738,1.0,"[0, 3, 4, 5, 7, 9, 10, 11]"
PAIRS-CC,8,1.0,0.9970221493254738,1.0,"[0, 3, 4, 5, 7, 9, 10, 11]"
CONS-AV,8,0.998177710354298,1.0,1.0,"[0, 3, 5, 6, 7, 9, 10, 11]"
CONS-CC,8,0.998177710354298,1.0,1.0,"[0, 3, 5, 6, 7, 9, 10, 11]"
MES,9,1.0,1.0,1.0,"[3, 11, 7, 0, 5, 9, 4, 10, 6]"
AV,9,1.0,1.0,1.0,"[0, 3, 4, 5, 6, 7, 9, 10, 11]"
CC,9,1.0,1.0,1.0,"[0, 3, 4, 5, 6, 7, 9, 10, 11]"
PAV,9,1.0,1.0,1.0,"[0, 3, 4, 5, 6, 7, 9, 10, 11]"
PAIRS-AV,9,1.0,1.0,1.0,"[0, 3, 4, 5, 6, 7, 9, 10, 11]"
PAIRS-CC,9,1.0,1.0,1.0,"[0, 3, 4, 5, 6, 7, 9, 10, 11]"
CONS-AV,9,1.0,1.0,1.0,"[0, 3, 4, 5, 6, 7, 9, 10, 11]"
CONS-CC,9,1.0,1.0,1.0,"[0, 3, 4, 5, 6, 7, 9, 10, 11]"
MES,10,1.0,0.9977736555302579,1.0,"[3, 11, 7, 0, 5, 9, 4, 10, 6, 1]"
AV,10,1.0,0.9977736555302579,1.0,"[0, 1, 3, 4, 5, 6, 7, 9, 10, 11]"
CC,10,0.9992157553414853,1.0,1.0,"[0, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
PAV,10,1.0,0.9977736555302579,1.0,"[0, 1, 3, 4, 5, 6, 7, 9, 10, 11]"
PAIRS-AV,10,1.0,0.9977736555302579,1.0,"[0, 1, 3, 4, 5, 6, 7, 9, 10, 11]"
PAIRS-CC,10,1.0,0.9977736555302579,1.0,"[0, 1, 3, 4, 5, 6, 7, 9, 10, 11]"
CONS-AV,10,0.9992157553414853,1.0,1.0,"[0, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
CONS-CC,10,0.9992157553414853,1.0,1.0,"[0, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
MES,11,1.0,1.0,1.0,"[3, 11, 7, 0, 5, 9, 4, 10, 6, 1, 8]"
AV,11,1.0,1.0,1.0,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
CC,11,1.0,1.0,1.0,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
PAV,11,1.0,1.0,1.0,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
PAIRS-AV,11,1.0,1.0,1.0,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
PAIRS-CC,11,1.0,1.0,1.0,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
CONS-AV,11,1.0,1.0,1.0,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
CONS-CC,11,0.9986201533173219,1.0,1.0,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
MES,12,1.0,1.0,1.0,"[3, 11, 7, 0, 5, 9, 4, 10, 6, 1, 8, 2]"
AV,12,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
CC,12,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
PAV,12,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
PAIRS-AV,12,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
PAIRS-CC,12,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
CONS-AV,12,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
CONS-CC,12,1.0,1.0,1.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
