method,subset_size,subset_indices,AV,CC,PAIRS,CONS,alpha_AV_global,alpha_CC_global,alpha_PAIRS_global,alpha_CONS_global,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
MES,1,[3],1340,1340,897130,897130,0.21388667198723066,0.4974016332590943,0.4132716049382716,0.24731555400442898,1.0,1.0,1.0,1.0
AV,1,[3],1340,1340,897130,897130,0.21388667198723066,0.4974016332590943,0.4132716049382716,0.24731555400442898,1.0,1.0,1.0,1.0
CC,1,[3],1340,1340,897130,897130,0.21388667198723066,0.4974016332590943,0.4132716049382716,0.24731555400442898,1.0,1.0,1.0,1.0
PAV,1,[3],1340,1340,897130,897130,0.21388667198723066,0.4974016332590943,0.4132716049382716,0.24731555400442898,1.0,1.0,1.0,1.0
MES,2,"[3, 11]",2556,1968,1463272,1935528,0.40798084596967277,0.7305122494432071,0.674070388796757,0.5335750444317818,1.0,0.9106894956038871,1.0,0.8293177027096509
AV,2,"[3, 11]",2556,1968,1463272,1935528,0.40798084596967277,0.7305122494432071,0.674070388796757,0.5335750444317818,1.0,0.9106894956038871,1.0,0.8293177027096509
CC,2,"[3, 11]",2556,1968,1463272,1935528,0.40798084596967277,0.7305122494432071,0.674070388796757,0.5335750444317818,1.0,0.9106894956038871,1.0,0.8293177027096509
PAV,2,"[3, 11]",2556,1968,1463272,1935528,0.40798084596967277,0.7305122494432071,0.674070388796757,0.5335750444317818,1.0,0.9106894956038871,1.0,0.8293177027096509
MES,3,"[3, 11, 7]",3732,2495,1973992,3111265,0.5956903431763767,0.9261321455085375,0.9093384927215773,0.857695347530001,1.0,1.0,1.0,1.0
AV,3,"[3, 7, 11]",3732,2495,1973992,3111265,0.5956903431763767,0.9261321455085375,0.9093384927215773,0.857695347530001,1.0,1.0,1.0,1.0
CC,3,"[3, 7, 11]",3732,2495,1973992,3111265,0.5956903431763767,0.9261321455085375,0.9093384927215773,0.857695347530001,1.0,1.0,1.0,1.0
PAV,3,"[3, 7, 11]",3732,2495,1973992,3111265,0.5956903431763767,0.9261321455085375,0.9093384927215773,0.857695347530001,1.0,1.0,1.0,1.0
MES,4,"[3, 11, 7, 0]",4369,2596,2074256,3368310,0.6973663208300079,0.96362286562732,0.9555260733370186,0.9285560105098014,1.0,1.0,1.0,1.0
