subset_size,subset_indices,AV,CC,PAIRS,CONS
0,[],0,0,0,0
1,[0],637,637,202566,202566
1,[1],198,198,19503,19503
1,[2],38,38,703,703
1,[3],1340,1340,897130,897130
1,[4],309,309,47586,47586
1,[5],456,456,103740,103740
1,[6],242,242,29161,29161
1,[7],1176,1176,690900,690900
1,[8],91,91,4095,4095
1,[9],312,312,48516,48516
1,[10],250,250,31125,31125
1,[11],1216,1216,738720,738720
2,"[0, 1]",835,723,215853,261003
2,"[0, 2]",675,656,203098,214840
2,"[0, 3]",1977,1706,1063111,1454365
2,"[0, 4]",946,775,235617,299925
2,"[0, 5]",1093,932,293426,433846
2,"[0, 6]",879,854,231427,364231
2,"[0, 7]",1813,1427,819161,1017451
2,"[0, 8]",728,700,206283,244650
2,"[0, 9]",949,904,250092,408156
2,"[0, 10]",887,739,222813,272691
2,"[0, 11]",1853,1737,934616,1507716
2,"[1, 2]",236,228,20178,25878
2,"[1, 3]",1538,1473,914553,1084128
2,"[1, 4]",507,447,65319,99681
2,"[1, 5]",654,562,119057,157641
2,"[1, 6]",440,437,48661,95266
2,"[1, 7]",1374,1224,699228,748476
2,"[1, 8]",289,280,23562,39060
2,"[1, 9]",510,504,68004,126756
2,"[1, 10]",448,380,48350,72010
2,"[1, 11]",1414,1391,757970,966745
2,"[2, 3]",1378,1364,897742,929566
2,"[2, 4]",347,332,48184,54946
2,"[2, 5]",494,487,104422,118341
2,"[2, 6]",280,271,29828,36585
2,"[2, 7]",1214,1203,691548,723003
2,"[2, 8]",129,120,4762,7140
2,"[2, 9]",350,345,49209,59340
2,"[2, 10]",288,281,31807,39340
2,"[2, 11]",1254,1240,739332,768180
2,"[3, 4]",1649,1529,937576,1168156
2,"[3, 5]",1796,1573,976117,1236378
2,"[3, 6]",1582,1488,921920,1106328
2,"[3, 7]",2516,1939,1421854,1878891
2,"[3, 8]",1431,1388,900322,962578
2,"[3, 9]",1652,1551,940596,1202025
2,"[3, 10]",1590,1503,924514,1128753
2,"[3, 11]",2556,1968,1463272,1935528
2,"[4, 5]",765,648,144540,209628
2,"[4, 6]",551,538,76669,144453
2,"[4, 7]",1485,1291,719765,832695
2,"[4, 8]",400,386,51590,74305
2,"[4, 9]",621,604,95966,182106
2,"[4, 10]",559,490,76365,119805
2,"[4, 11]",1525,1473,784980,1084128
2,"[5, 6]",698,684,132810,233586
2,"[5, 7]",1632,1329,748887,882456
2,"[5, 8]",547,533,107744,141778
2,"[5, 9]",768,749,152085,280126
2,"[5, 10]",706,631,132090,198765
2,"[5, 11]",1672,1573,837609,1236378
2,"[6, 7]",1418,1385,719533,958420
2,"[6, 8]",333,317,33136,50086
2,"[6, 9]",554,459,73212,105111
2,"[6, 10]",492,475,60150,112575
2,"[6, 11]",1458,1289,753685,830116
2,"[7, 8]",1267,1240,694644,768180
2,"[7, 9]",1488,1448,738636,1047628
2,"[7, 10]",1426,1279,711294,817281
2,"[7, 11]",2392,2161,1403055,2333880
2,"[8, 9]",403,387,52491,74691
2,"[8, 10]",341,325,35100,52650
2,"[8, 11]",1307,1254,741437,785631
2,"[9, 10]",562,538,79365,144453
2,"[9, 11]",1528,1307,762926,853471
2,"[10, 11]",1466,1410,768305,993345
3,"[0, 1, 2]",873,740,216372,273430
3,"[0, 1, 3]",2175,1760,1074846,1547920
3,"[0, 1, 4]",1144,846,248124,357435
3,"[0, 1, 5]",1291,979,303905,478731
3,"[0, 1, 6]",1077,938,244711,439453
3,"[0, 1, 7]",2011,1448,824843,1047628
3,"[0, 1, 8]",926,785,219562,307720
3,"[0, 1, 9]",1147,987,263367,486591
3,"[0, 1, 10]",1085,808,235097,326028
3,"[0, 1, 11]",2051,1811,947705,1638955
3,"[0, 2, 3]",2015,1716,1063562,1471470
3,"[0, 2, 4]",984,788,236080,310078
3,"[0, 2, 5]",1131,948,293943,448878
3,"[0, 2, 6]",917,867,231926,375411
3,"[0, 2, 7]",1851,1444,819674,1041846
3,"[0, 2, 8]",766,714,206785,254541
3,"[0, 2, 9]",987,919,250614,421821
3,"[0, 2, 10]",925,755,223330,284635
3,"[0, 2, 11]",1891,1746,935063,1523385
3,"[0, 3, 4]",2286,1779,1090507,1581531
3,"[0, 3, 5]",2433,1836,1130871,1684530
3,"[0, 3, 6]",2219,1838,1087637,1688203
3,"[0, 3, 7]",3153,2078,1526091,2158003
3,"[0, 3, 8]",2068,1739,1066003,1511191
3,"[0, 3, 9]",2289,1892,1105777,1788886
3,"[0, 3, 10]",2227,1770,1080793,1565565
3,"[0, 3, 11]",3193,2287,1624929,2614041
3,"[0, 4, 5]",1402,1021,321969,520710
3,"[0, 4, 6]",1188,987,264428,486591
3,"[0, 4, 7]",2122,1487,840161,1104841
3,"[0, 4, 8]",1037,832,239271,345696
3,"[0, 4, 9]",1258,1031,283022,530965
3,"[0, 4, 10]",1196,861,254896,370230
3,"[0, 4, 11]",2162,1837,966432,1686366
3,"[0, 5, 6]",1335,1137,322197,645816
3,"[0, 5, 7]",2269,1534,870823,1175811
3,"[0, 5, 8]",1184,988,297073,487578
3,"[0, 5, 9]",1405,1184,340787,700336
3,"[0, 5, 10]",1343,1011,312224,510555
3,"[0, 5, 11]",2309,1951,1020778,1902225
3,"[0, 6, 7]",2055,1620,847530,1311390
3,"[0, 6, 8]",970,904,235027,408156
3,"[0, 6, 9]",1191,1035,274524,535095
3,"[0, 6, 10]",1129,945,251553,446040
3,"[0, 6, 11]",2095,1792,949302,1604736
3,"[0, 7, 8]",1904,1477,822618,1090026
