method,subset_size,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
MES,1,[3],1340,1340,897130,897130,1.0,1.0,1.0,1.0
AV,1,[3],1340,1340,897130,897130,1.0,1.0,1.0,1.0
greedy-CC,1,[3],1340,1340,897130,897130,1.0,1.0,1.0,1.0
greedy-PAV,1,[3],1340,1340,897130,897130,1.0,1.0,1.0,1.0
PAIRS-AV,1,[3],1340,1340,897130,897130,1.0,1.0,1.0,1.0
PAIRS-CC,1,[3],1340,1340,897130,897130,1.0,1.0,1.0,1.0
CONS-AV,1,[3],1340,1340,897130,897130,1.0,1.0,1.0,1.0
CONS-CC,1,[3],1340,1340,897130,897130,1.0,1.0,1.0,1.0
MES,2,"[3, 11]",2556,1968,1463272,1935528,1.0,0.9106894956038871,1.0,0.8293177027096509
AV,2,"[3, 11]",2556,1968,1463272,1935528,1.0,0.9106894956038871,1.0,0.8293177027096509
greedy-CC,2,"[3, 11]",2556,1968,1463272,1935528,1.0,0.9106894956038871,1.0,0.8293177027096509
greedy-PAV,2,"[3, 11]",2556,1968,1463272,1935528,1.0,0.9106894956038871,1.0,0.8293177027096509
PAIRS-AV,2,"[3, 11]",2556,1968,1463272,1935528,1.0,0.9106894956038871,1.0,0.8293177027096509
PAIRS-CC,2,"[3, 11]",2556,1968,1463272,1935528,1.0,0.9106894956038871,1.0,0.8293177027096509
CONS-AV,2,"[7, 11]",2392,2161,1403055,2333880,0.9358372456964006,1.0,0.9588477056897146,1.0
CONS-CC,2,"[7, 11]",2392,2161,1403055,2333880,0.9358372456964006,1.0,0.9588477056897146,1.0
MES,3,"[3, 11, 7]",3732,2495,1973992,3111265,1.0,1.0,1.0,1.0
AV,3,"[3, 7, 11]",3732,2495,1973992,3111265,1.0,1.0,1.0,1.0
greedy-CC,3,"[3, 7, 11]",3732,2495,1973992,3111265,1.0,1.0,1.0,1.0
greedy-PAV,3,"[3, 7, 11]",3732,2495,1973992,3111265,1.0,1.0,1.0,1.0
PAIRS-AV,3,"[3, 7, 11]",3732,2495,1973992,3111265,1.0,1.0,1.0,1.0
PAIRS-CC,3,"[3, 7, 11]",3732,2495,1973992,3111265,1.0,1.0,1.0,1.0
CONS-AV,3,"[3, 7, 11]",3732,2495,1973992,3111265,1.0,1.0,1.0,1.0
CONS-CC,3,"[3, 7, 11]",3732,2495,1973992,3111265,1.0,1.0,1.0,1.0
MES,4,"[3, 11, 7, 0]",4369,2596,2074256,3368310,1.0,1.0,1.0,1.0
AV,4,"[0, 3, 7, 11]",4369,2596,2074256,3368310,1.0,1.0,1.0,1.0
greedy-CC,4,"[0, 3, 7, 11]",4369,2596,2074256,3368310,1.0,1.0,1.0,1.0
greedy-PAV,4,"[0, 3, 7, 11]",4369,2596,2074256,3368310,1.0,1.0,1.0,1.0
PAIRS-AV,4,"[0, 3, 7, 11]",4369,2596,2074256,3368310,1.0,1.0,1.0,1.0
PAIRS-CC,4,"[0, 3, 7, 11]",4369,2596,2074256,3368310,1.0,1.0,1.0,1.0
CONS-AV,4,"[0, 3, 7, 11]",4369,2596,2074256,3368310,1.0,1.0,1.0,1.0
CONS-CC,4,"[0, 3, 7, 11]",4369,2596,2074256,3368310,1.0,1.0,1.0,1.0
MES,5,"[3, 11, 7, 0, 5]",4825,2615,2109067,3417805,1.0,0.9894059780552402,1.0,0.9789202220425428
AV,5,"[0, 3, 5, 7, 11]",4825,2615,2109067,3417805,1.0,0.9894059780552402,1.0,0.9789202220425428
