subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,4000,[0],38,38,703,703
2,10000,"[0, 7]",80,76,1558,2850
3,18000,"[0, 7, 4]",88,81,1585,3240
4,32000,"[0, 7, 4, 3]",122,109,2136,5886
6,122000,"[0, 7, 4, 3, 2, 8]",299,246,11073,30135
5,62000,"[0, 7, 4, 3, 2]",174,145,3420,10440
7,222000,"[0, 7, 4, 3, 2, 8, 6]",335,270,11678,36315
8,352000,"[0, 7, 4, 3, 2, 8, 6, 5]",540,363,28516,65703
7,252000,"[0, 7, 4, 3, 2, 8, 5]",504,345,27932,59340
7,292000,"[0, 7, 4, 3, 2, 6, 5]",415,346,24866,59685
7,362000,"[0, 7, 4, 3, 2, 6, 1]",344,237,12336,27966
7,322000,"[0, 7, 4, 3, 2, 8, 1]",433,290,18507,41905
7,362000,"[0, 7, 4, 3, 2, 6, 9]",250,189,4762,17766
6,162000,"[0, 7, 4, 3, 2, 6]",210,169,4025,14196
7,322000,"[0, 7, 4, 3, 2, 8, 9]",339,258,11742,33153
6,192000,"[0, 7, 4, 3, 2, 5]",379,328,24282,53628
6,262000,"[0, 7, 4, 3, 2, 1]",308,224,11835,24976
7,392000,"[0, 7, 4, 3, 2, 5, 1]",513,369,31576,67896
7,392000,"[0, 7, 4, 3, 2, 5, 9]",419,345,24993,59340
6,192000,"[0, 7, 4, 3, 8, 6]",283,245,10450,29890
6,208000,"[0, 7, 4, 2, 8, 6]",301,248,11134,30628
5,162000,"[0, 7, 4, 3, 5]",327,298,23019,44253
6,292000,"[0, 7, 4, 3, 8, 1]",381,268,17385,35778
7,322000,"[0, 7, 4, 3, 8, 6, 5]",488,341,27308,57970
6,222000,"[0, 7, 4, 3, 8, 5]",452,319,26703,50721
7,392000,"[0, 7, 4, 3, 8, 6, 9]",323,256,11124,32640
5,232000,"[0, 7, 4, 3, 9]",162,137,2898,9316
6,332000,"[0, 7, 4, 3, 6, 9]",198,162,3514,13041
5,132000,"[0, 7, 4, 3, 6]",158,138,2762,9453
7,392000,"[0, 7, 4, 3, 8, 6, 1]",417,284,17906,40186
5,92000,"[0, 7, 4, 3, 8]",247,216,9824,23220
6,262000,"[0, 7, 4, 3, 2, 9]",214,169,4167,14196
6,262000,"[0, 7, 4, 3, 6, 5]",363,320,23624,51040
5,232000,"[0, 7, 4, 3, 1]",256,199,10681,19701
6,362000,"[0, 7, 4, 3, 5, 9]",367,318,23745,50403
4,48000,"[0, 7, 4, 2]",140,118,2869,6903
6,362000,"[0, 7, 4, 3, 5, 1]",461,349,30443,60726
5,108000,"[0, 7, 4, 2, 8]",265,222,10528,24531
6,292000,"[0, 7, 4, 3, 8, 9]",287,231,10508,26565
6,332000,"[0, 7, 4, 3, 6, 1]",292,215,11202,23005
6,308000,"[0, 7, 4, 2, 8, 1]",399,275,18064,37675
6,378000,"[0, 7, 4, 2, 5, 1]",479,354,31134,62481
6,238000,"[0, 7, 4, 2, 8, 5]",470,325,27397,52650
6,308000,"[0, 7, 4, 8, 6, 5]",454,322,26774,51681
5,148000,"[0, 7, 4, 2, 6]",176,144,3475,10296
5,178000,"[0, 7, 4, 2, 5]",345,306,23741,46665
6,308000,"[0, 7, 4, 2, 8, 9]",305,236,11198,27730
6,348000,"[0, 7, 4, 2, 6, 1]",310,222,11888,24531
6,278000,"[0, 7, 4, 2, 6, 5]",381,326,24326,52975
5,248000,"[0, 7, 4, 2, 1]",274,207,11386,21321
5,178000,"[0, 7, 4, 8, 6]",249,222,9906,24531
4,78000,"[0, 7, 4, 8]",213,191,9279,18145
6,348000,"[0, 7, 4, 2, 6, 9]",216,165,4213,13530
5,278000,"[0, 7, 4, 8, 1]",347,253,16942,31878
4,118000,"[0, 7, 4, 6]",124,112,2212,6216
5,248000,"[0, 7, 4, 2, 9]",180,144,3617,10296
7,338000,"[0, 7, 4, 2, 8, 6, 5]",506,345,27982,59340
6,378000,"[0, 7, 4, 2, 5, 9]",385,325,24453,52650
6,378000,"[0, 7, 4, 8, 6, 9]",289,234,10581,27261
5,208000,"[0, 7, 4, 8, 5]",418,298,26168,44253
6,378000,"[0, 7, 4, 8, 6, 1]",383,271,17464,36585
5,278000,"[0, 7, 4, 8, 9]",253,208,9964,21528
5,348000,"[0, 7, 4, 5, 1]",427,334,30001,55611
5,318000,"[0, 7, 4, 6, 1]",258,200,10754,19900
4,148000,"[0, 7, 4, 5]",293,275,22478,37675
5,248000,"[0, 7, 4, 6, 5]",329,299,23084,44551
5,114000,"[0, 7, 3, 2, 8]",291,242,11046,29161
6,214000,"[0, 7, 3, 2, 8, 6]",327,267,11651,35511
3,24000,"[0, 7, 3]",114,104,2109,5356
4,218000,"[0, 7, 4, 9]",128,111,2348,6105
5,348000,"[0, 7, 4, 5, 9]",333,297,23205,43956
5,318000,"[0, 7, 4, 6, 9]",164,137,2965,9316
4,218000,"[0, 7, 4, 1]",222,182,10232,16471
4,54000,"[0, 7, 3, 2]",166,141,3393,9870
7,344000,"[0, 7, 3, 2, 8, 6, 5]",532,362,28490,65341
6,314000,"[0, 7, 3, 2, 8, 1]",425,288,18483,41328
6,244000,"[0, 7, 3, 2, 8, 5]",496,343,27906,58653
5,154000,"[0, 7, 3, 2, 6]",202,166,3998,13695
6,314000,"[0, 7, 3, 2, 8, 9]",331,255,11716,32385
6,284000,"[0, 7, 3, 2, 6, 5]",407,345,24840,59340
6,354000,"[0, 7, 3, 2, 6, 9]",242,187,4736,17391
6,354000,"[0, 7, 3, 2, 6, 1]",336,235,12312,27495
5,254000,"[0, 7, 3, 2, 9]",206,166,4141,13695
5,254000,"[0, 7, 3, 2, 1]",300,222,11811,24531
5,184000,"[0, 7, 3, 2, 5]",371,326,24256,52975
6,314000,"[0, 7, 3, 8, 6, 5]",480,339,27282,57291
4,84000,"[0, 7, 3, 8]",239,211,9797,22155
5,184000,"[0, 7, 3, 8, 6]",275,241,10423,28920
6,384000,"[0, 7, 3, 8, 6, 1]",409,281,17882,39340
6,384000,"[0, 7, 3, 2, 5, 9]",411,343,24968,58653
6,384000,"[0, 7, 3, 2, 5, 1]",505,368,31553,67528
6,384000,"[0, 7, 3, 8, 6, 9]",315,254,11098,32131
5,214000,"[0, 7, 3, 8, 5]",444,316,26677,49770
5,284000,"[0, 7, 3, 8, 1]",373,265,17361,34980
5,284000,"[0, 7, 3, 8, 9]",279,228,10482,25878
5,324000,"[0, 7, 3, 6, 9]",190,160,3488,12720
3,40000,"[0, 7, 2]",132,114,2842,6441
4,154000,"[0, 7, 3, 5]",319,295,22993,43365
4,140000,"[0, 7, 2, 6]",168,141,3448,9870
5,340000,"[0, 7, 2, 6, 1]",302,220,11864,24090
5,300000,"[0, 7, 2, 8, 9]",297,233,11172,27028
4,124000,"[0, 7, 3, 6]",150,134,2735,8911
5,254000,"[0, 7, 3, 6, 5]",355,318,23598,50403
5,354000,"[0, 7, 3, 5, 9]",359,316,23720,49770
5,324000,"[0, 7, 3, 6, 1]",284,212,11178,22366
4,224000,"[0, 7, 3, 9]",154,134,2872,8911
4,224000,"[0, 7, 3, 1]",248,196,10657,19110
4,100000,"[0, 7, 2, 8]",257,218,10501,23653
5,200000,"[0, 7, 2, 8, 6]",293,245,11107,29890
5,354000,"[0, 7, 3, 5, 1]",453,347,30420,60031
5,300000,"[0, 7, 2, 8, 1]",391,273,18040,37128
5,340000,"[0, 7, 2, 6, 9]",208,163,4187,13203
6,330000,"[0, 7, 2, 8, 6, 5]",498,344,27956,58996
