subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,3000,[7],33,33,528,528
3,29000,"[7, 2, 3]",116,108,3322,5778
5,104000,"[7, 2, 3, 6, 4]",190,149,5409,11026
6,164000,"[7, 2, 3, 6, 4, 0]",213,159,5628,12561
2,9000,"[7, 2]",108,104,3297,5356
4,49000,"[7, 2, 3, 6]",122,111,3334,6105
7,224000,"[7, 2, 3, 6, 4, 0, 8]",234,169,5821,14196
8,394000,"[7, 2, 3, 6, 4, 0, 8, 9]",337,232,10649,26796
8,299000,"[7, 2, 3, 6, 4, 0, 8, 5]",239,169,5828,14196
5,109000,"[7, 2, 3, 6, 0]",145,124,3563,7626
7,239000,"[7, 2, 3, 6, 4, 0, 5]",218,160,5635,12720
7,363500,"[7, 2, 3, 6, 4, 0, 1]",307,195,9304,18915
7,334000,"[7, 2, 3, 6, 4, 0, 9]",316,222,10456,24531
7,239000,"[7, 2, 3, 6, 4, 8, 5]",216,161,5612,12880
7,244000,"[7, 2, 3, 6, 0, 8, 5]",171,137,3769,9316
6,184000,"[7, 2, 3, 6, 0, 5]",150,126,3570,7875
6,179000,"[7, 2, 3, 6, 4, 5]",195,150,5416,11175
7,378500,"[7, 2, 3, 6, 4, 5, 1]",289,189,9112,17766
6,279000,"[7, 2, 3, 6, 0, 9]",248,199,8638,19701
6,274000,"[7, 2, 3, 6, 4, 9]",293,212,10239,22366
6,164000,"[7, 2, 3, 6, 4, 8]",211,161,5605,12880
6,184000,"[7, 2, 3, 6, 8, 5]",148,126,3543,7875
7,334000,"[7, 2, 3, 6, 4, 8, 9]",314,224,10435,24976
6,169000,"[7, 2, 3, 6, 0, 8]",166,136,3762,9180
6,303500,"[7, 2, 3, 6, 4, 1]",284,189,9112,17766
5,109000,"[7, 2, 3, 6, 8]",143,125,3536,7750
7,363500,"[7, 2, 3, 6, 4, 8, 1]",305,197,9293,19306
7,368500,"[7, 2, 3, 6, 0, 8, 1]",260,189,7802,17766
7,383500,"[7, 2, 3, 6, 0, 5, 1]",244,180,7617,16110
7,349000,"[7, 2, 3, 6, 4, 5, 9]",298,213,10246,22578
6,308500,"[7, 2, 3, 6, 0, 1]",239,180,7617,16110
7,354000,"[7, 2, 3, 6, 0, 5, 9]",253,201,8645,20100
7,339000,"[7, 2, 3, 6, 0, 8, 9]",269,211,8837,22155
7,354000,"[7, 2, 3, 6, 8, 5, 9]",251,203,8621,20503
6,294000,"[7, 2, 3, 6, 5, 9]",230,190,8419,17955
6,308500,"[7, 2, 3, 6, 8, 1]",237,181,7602,16290
5,219000,"[7, 2, 3, 6, 9]",225,188,8412,17578
6,204000,"[7, 2, 3, 4, 0, 8]",228,166,5809,13695
7,383500,"[7, 2, 3, 6, 8, 5, 1]",242,181,7602,16290
6,219000,"[7, 2, 3, 4, 0, 5]",212,157,5623,12246
6,323500,"[7, 2, 3, 6, 5, 1]",221,172,7415,14706
6,343500,"[7, 2, 3, 4, 0, 1]",301,192,9292,18336
7,389000,"[7, 2, 3, 4, 0, 5, 9]",315,220,10451,24090
6,343500,"[7, 2, 3, 4, 8, 1]",299,194,9281,18721
5,144000,"[7, 2, 3, 4, 0]",207,156,5616,12090
5,159000,"[7, 2, 3, 4, 5]",189,147,5404,10731
6,314000,"[7, 2, 3, 4, 8, 9]",308,221,10423,24310
6,219000,"[7, 2, 3, 4, 8, 5]",210,158,5600,12403
7,279000,"[7, 2, 3, 4, 0, 8, 5]",233,166,5816,13695
5,144000,"[7, 2, 3, 4, 8]",205,158,5593,12403
7,374000,"[7, 2, 3, 4, 0, 8, 9]",331,229,10637,26106
5,124000,"[7, 2, 3, 6, 5]",127,113,3341,6328
6,329000,"[7, 2, 3, 4, 5, 9]",292,210,10234,21945
6,279000,"[7, 2, 3, 6, 8, 9]",246,202,8614,20301
7,389000,"[7, 2, 3, 4, 8, 5, 9]",313,221,10430,24310
6,314000,"[7, 2, 3, 4, 0, 9]",310,219,10444,23871
4,84000,"[7, 2, 3, 4]",184,146,5397,10585
4,89000,"[7, 2, 3, 0]",139,121,3551,7260
5,254000,"[7, 2, 3, 4, 9]",287,209,10227,21736
5,283500,"[7, 2, 3, 4, 1]",278,186,9100,17205
5,248500,"[7, 2, 3, 6, 1]",216,172,7415,14706
6,358500,"[7, 2, 3, 4, 5, 1]",283,186,9100,17205
5,149000,"[7, 2, 3, 0, 8]",160,133,3750,8778
5,164000,"[7, 2, 3, 0, 5]",144,123,3558,7503
6,224000,"[7, 2, 3, 0, 8, 5]",165,134,3757,8911
4,89000,"[7, 2, 3, 8]",137,122,3524,7381
6,348500,"[7, 2, 3, 0, 8, 1]",254,186,7790,17205
7,394000,"[7, 2, 3, 0, 8, 5, 9]",268,209,8832,21736
5,259000,"[7, 2, 3, 0, 9]",242,196,8626,19110
5,288500,"[7, 2, 3, 0, 1]",233,177,7605,15576
5,259000,"[7, 2, 3, 8, 9]",240,199,8602,19701
6,363500,"[7, 2, 3, 0, 5, 1]",238,177,7605,15576
5,164000,"[7, 2, 3, 8, 5]",142,123,3531,7503
6,334000,"[7, 2, 3, 0, 5, 9]",247,198,8633,19503
6,319000,"[7, 2, 3, 0, 8, 9]",263,208,8825,21528
6,334000,"[7, 2, 3, 8, 5, 9]",245,200,8609,19900
4,104000,"[7, 2, 3, 5]",121,110,3329,5995
6,363500,"[7, 2, 3, 8, 5, 1]",236,178,7590,15753
3,29000,"[7, 2, 6]",114,107,3309,5671
