subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,3000,[1],87,87,3741,3741
2,7500,"[1, 5]",122,120,4335,7140
3,15000,"[1, 5, 6]",380,339,36971,57291
4,35000,"[1, 5, 6, 7]",411,353,37343,62128
5,185000,"[1, 5, 6, 7, 2]",422,357,37383,63546
5,95000,"[1, 5, 6, 7, 9]",426,362,37441,65341
6,295000,"[1, 5, 6, 7, 9, 8]",918,626,143137,195625
6,245000,"[1, 5, 6, 7, 9, 2]",437,366,37481,66795
6,245000,"[1, 5, 6, 7, 9, 4]",502,391,39789,76245
6,295000,"[1, 5, 6, 7, 9, 3]",538,398,42046,79003
7,395000,"[1, 5, 6, 7, 9, 2, 4]",513,395,39829,77815
6,385000,"[1, 5, 6, 7, 2, 3]",534,394,41988,77421
6,295000,"[1, 5, 6, 7, 9, 0]",478,392,38673,76636
6,385000,"[1, 5, 6, 7, 2, 0]",474,387,38615,74691
4,75000,"[1, 5, 6, 9]",395,348,37069,60378
5,185000,"[1, 5, 6, 7, 4]",487,385,39701,73920
6,335000,"[1, 5, 6, 7, 2, 4]",498,389,39741,75466
6,385000,"[1, 5, 6, 7, 4, 3]",599,420,44303,87990
5,365000,"[1, 5, 6, 2, 0]",443,373,38243,69378
5,235000,"[1, 5, 6, 7, 3]",523,390,41948,75855
5,235000,"[1, 5, 6, 7, 0]",463,383,38575,73153
5,275000,"[1, 5, 6, 9, 3]",507,390,41725,75855
6,385000,"[1, 5, 6, 7, 2, 8]",914,623,143100,193753
5,225000,"[1, 5, 6, 9, 2]",406,352,37109,61776
4,165000,"[1, 5, 6, 2]",391,343,37011,58653
6,385000,"[1, 5, 6, 7, 4, 0]",539,410,40923,83845
5,275000,"[1, 5, 6, 9, 0]",447,378,38301,71253
5,235000,"[1, 5, 6, 7, 8]",903,622,143072,193131
6,385000,"[1, 5, 6, 7, 4, 8]",979,635,144474,201295
5,225000,"[1, 5, 6, 9, 4]",471,379,39420,71631
5,365000,"[1, 5, 6, 2, 3]",503,386,41667,74305
6,375000,"[1, 5, 6, 9, 2, 4]",482,383,39460,73153
5,365000,"[1, 5, 6, 2, 8]",883,620,142842,191890
4,215000,"[1, 5, 6, 0]",432,369,38203,67896
5,365000,"[1, 5, 6, 4, 0]",508,398,40554,79003
5,275000,"[1, 5, 6, 9, 8]",887,623,142879,193753
4,165000,"[1, 5, 6, 4]",456,373,39332,69378
5,237500,"[1, 5, 7, 9, 4]",244,215,7684,23005
5,365000,"[1, 5, 6, 4, 3]",568,414,43985,85491
4,215000,"[1, 5, 6, 3]",492,382,41627,72771
3,27500,"[1, 5, 7]",153,147,4798,10731
6,387500,"[1, 5, 7, 9, 2, 4]",255,224,7739,24976
4,87500,"[1, 5, 7, 9]",168,160,4902,12720
5,365000,"[1, 5, 6, 4, 8]",948,632,144218,199396
5,315000,"[1, 5, 6, 2, 4]",467,377,39372,70876
5,237500,"[1, 5, 7, 9, 2]",179,169,4957,14196
4,215000,"[1, 5, 6, 8]",872,619,142814,191271
4,177500,"[1, 5, 7, 4]",229,206,7590,21115
5,377500,"[1, 5, 7, 2, 0]",216,198,6163,19503
5,377500,"[1, 5, 7, 4, 0]",281,244,8890,29646
4,227500,"[1, 5, 7, 8]",645,550,123985,150975
5,367500,"[1, 5, 9, 2, 4]",224,200,7279,19900
5,377500,"[1, 5, 7, 4, 8]",721,569,125611,161596
4,227500,"[1, 5, 7, 3]",265,232,10879,26796
4,177500,"[1, 5, 7, 2]",164,156,4853,12090
3,67500,"[1, 5, 9]",137,133,4439,8778
