subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,1500,[6],6,6,15,15
2,7200,"[6, 1]",91,89,3584,3916
4,27700,"[6, 1, 0, 5]",111,98,3666,4753
3,17200,"[6, 1, 0]",104,96,3651,4560
5,67700,"[6, 1, 0, 5, 2]",147,116,4198,6670
6,107700,"[6, 1, 0, 5, 2, 3]",173,129,4445,8256
7,167700,"[6, 1, 0, 5, 2, 3, 4]",240,167,6464,13861
8,247700,"[6, 1, 0, 5, 2, 3, 4, 7]",321,178,8538,15753
9,397700,"[6, 1, 0, 5, 2, 3, 4, 7, 9]",360,188,9050,17578
8,367700,"[6, 1, 0, 5, 2, 3, 4, 8]",284,172,7180,14706
8,317700,"[6, 1, 0, 5, 2, 3, 4, 9]",279,178,6993,15753
7,187700,"[6, 1, 0, 5, 2, 3, 7]",254,151,6776,11325
7,257700,"[6, 1, 0, 5, 2, 3, 9]",212,147,5093,10731
8,387700,"[6, 1, 0, 5, 2, 3, 7, 8]",298,157,7254,12246
7,307700,"[6, 1, 0, 5, 2, 3, 8]",217,142,5197,10011
8,337700,"[6, 1, 0, 5, 2, 3, 7, 9]",293,165,7404,13530
6,127700,"[6, 1, 0, 5, 2, 4]",214,154,6217,11781
8,357700,"[6, 1, 0, 5, 2, 4, 7, 9]",334,183,8871,16653
7,297700,"[6, 1, 0, 5, 2, 7, 9]",267,160,7225,12720
7,207700,"[6, 1, 0, 5, 2, 4, 7]",295,173,8359,14878
6,147700,"[6, 1, 0, 5, 2, 7]",228,146,6597,10585
7,327700,"[6, 1, 0, 5, 2, 4, 8]",258,165,6960,13530
7,277700,"[6, 1, 0, 5, 2, 4, 9]",253,165,6746,13530
6,127700,"[6, 1, 0, 5, 3, 4]",204,155,5947,11935
7,347700,"[6, 1, 0, 5, 2, 7, 8]",272,153,7092,11628
6,217700,"[6, 1, 0, 5, 2, 9]",186,134,4846,8911
6,267700,"[6, 1, 0, 5, 2, 8]",191,135,4977,9045
6,147700,"[6, 1, 0, 5, 3, 7]",218,143,6343,10153
5,67700,"[6, 1, 0, 5, 3]",137,111,3913,6105
7,207700,"[6, 1, 0, 5, 3, 4, 7]",285,170,8105,14365
8,357700,"[6, 1, 0, 5, 3, 4, 7, 9]",324,181,8620,16290
7,277700,"[6, 1, 0, 5, 3, 4, 9]",243,168,6479,14028
7,297700,"[6, 1, 0, 5, 3, 7, 9]",257,158,6974,12403
6,217700,"[6, 1, 0, 5, 3, 9]",176,131,4564,8515
6,267700,"[6, 1, 0, 5, 3, 8]",181,127,4674,8001
7,347700,"[6, 1, 0, 5, 3, 7, 8]",262,150,6829,11175
7,327700,"[6, 1, 0, 5, 3, 4, 8]",248,163,6672,13203
5,87700,"[6, 1, 0, 5, 4]",178,142,5700,10011
6,167700,"[6, 1, 0, 5, 4, 7]",259,165,7926,13530
7,367700,"[6, 1, 0, 5, 4, 7, 8]",303,171,8408,14535
7,317700,"[6, 1, 0, 5, 4, 7, 9]",298,176,8441,15400
6,237700,"[6, 1, 0, 5, 4, 9]",217,155,6232,11935
6,287700,"[6, 1, 0, 5, 4, 8]",222,156,6452,12090
6,257700,"[6, 1, 0, 5, 7, 9]",231,153,6795,11628
5,107700,"[6, 1, 0, 5, 7]",192,138,6164,9453
5,177700,"[6, 1, 0, 5, 9]",150,118,4317,6903
6,307700,"[6, 1, 0, 5, 7, 8]",236,146,6667,10585
