subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,7000,[0],30,30,435,435
3,33200,"[0, 1, 2]",202,168,9046,14028
2,18200,"[0, 1]",155,142,8107,10011
4,48200,"[0, 1, 2, 6]",206,170,9051,14365
6,98200,"[0, 1, 2, 6, 9, 4]",240,195,9512,18529
5,63200,"[0, 1, 2, 6, 9]",208,172,9052,14366
8,228200,"[0, 1, 2, 6, 9, 4, 5, 7]",343,248,11873,30628
8,350200,"[0, 1, 2, 6, 9, 4, 5, 8]",321,231,11064,26107
8,360200,"[0, 1, 2, 6, 9, 4, 7, 8]",320,239,11056,28441
7,168200,"[0, 1, 2, 6, 9, 4, 7]",291,227,10707,25651
6,123200,"[0, 1, 2, 6, 9, 5]",260,207,10298,20911
7,290200,"[0, 1, 2, 6, 9, 4, 8]",269,207,9861,20911
7,158200,"[0, 1, 2, 6, 9, 4, 5]",292,223,10730,24311
7,298200,"[0, 1, 2, 6, 9, 4, 3]",319,222,11966,24091
8,368200,"[0, 1, 2, 6, 9, 4, 7, 3]",370,247,13098,30381
7,213200,"[0, 1, 2, 6, 4, 5, 7]",341,247,11872,30381
8,358200,"[0, 1, 2, 6, 9, 4, 5, 3]",371,245,13117,29404
7,315200,"[0, 1, 2, 6, 9, 5, 8]",289,216,10633,22792
7,325200,"[0, 1, 2, 6, 9, 7, 8]",288,219,10597,23871
8,393200,"[0, 1, 2, 6, 9, 5, 7, 3]",390,254,13821,32131
8,385200,"[0, 1, 2, 6, 9, 5, 7, 8]",340,242,11776,29161
5,83200,"[0, 1, 2, 6, 4]",238,193,9511,18528
7,345200,"[0, 1, 2, 6, 4, 7, 8]",318,238,11055,28203
7,193200,"[0, 1, 2, 6, 9, 5, 7]",311,233,11441,27028
6,263200,"[0, 1, 2, 6, 9, 3]",287,208,11569,21116
6,133200,"[0, 1, 2, 6, 9, 7]",259,205,10247,20910
7,323200,"[0, 1, 2, 6, 9, 5, 3]",339,233,12738,26566
7,333200,"[0, 1, 2, 6, 9, 7, 3]",338,233,12701,27028
6,143200,"[0, 1, 2, 6, 4, 5]",290,221,10729,24310
6,255200,"[0, 1, 2, 6, 9, 8]",237,186,9402,16837
7,335200,"[0, 1, 2, 6, 4, 5, 8]",319,229,11063,26106
6,153200,"[0, 1, 2, 6, 4, 7]",289,226,10706,25425
7,343200,"[0, 1, 2, 6, 4, 5, 3]",369,243,13116,29403
6,275200,"[0, 1, 2, 6, 4, 8]",267,205,9860,20910
5,108200,"[0, 1, 2, 6, 5]",258,205,10297,20910
6,300200,"[0, 1, 2, 6, 5, 8]",287,214,10632,22791
7,353200,"[0, 1, 2, 6, 4, 7, 3]",368,246,13097,30135
6,310200,"[0, 1, 2, 6, 7, 8]",286,218,10596,23653
6,283200,"[0, 1, 2, 6, 4, 3]",317,220,11965,24090
5,248200,"[0, 1, 2, 6, 3]",285,206,11568,21115
6,318200,"[0, 1, 2, 6, 7, 3]",336,232,12700,26796
6,308200,"[0, 1, 2, 6, 5, 3]",337,231,12737,26565
7,335200,"[0, 1, 2, 9, 4, 5, 8]",317,229,11059,25652
5,118200,"[0, 1, 2, 6, 7]",257,204,10246,20706
5,83200,"[0, 1, 2, 9, 4]",236,193,9507,18146
4,48200,"[0, 1, 2, 9]",204,170,9047,14029
7,213200,"[0, 1, 2, 9, 4, 5, 7]",339,247,11869,30381
5,240200,"[0, 1, 2, 6, 8]",235,184,9401,16836
6,275200,"[0, 1, 2, 9, 4, 8]",265,205,9856,20504
6,300200,"[0, 1, 2, 9, 5, 8]",285,214,10628,22367
6,283200,"[0, 1, 2, 9, 4, 3]",315,221,11962,23872
6,178200,"[0, 1, 2, 9, 5, 7]",307,232,11437,26796
6,143200,"[0, 1, 2, 9, 4, 5]",288,221,10725,23872
6,310200,"[0, 1, 2, 9, 7, 8]",284,218,10593,23653
6,178200,"[0, 1, 2, 6, 5, 7]",309,232,11440,26796
7,378200,"[0, 1, 2, 6, 5, 7, 3]",388,253,13820,31878
7,370200,"[0, 1, 2, 6, 5, 7, 8]",338,241,11775,28920
5,108200,"[0, 1, 2, 9, 5]",256,205,10293,20504
7,345200,"[0, 1, 2, 9, 4, 7, 8]",316,238,11052,28203
7,353200,"[0, 1, 2, 9, 4, 7, 3]",366,246,13095,30135
6,308200,"[0, 1, 2, 9, 5, 3]",335,232,12734,26336
7,378200,"[0, 1, 2, 9, 5, 7, 3]",386,253,13818,31878
5,118200,"[0, 1, 2, 9, 7]",255,204,10243,20706
7,370200,"[0, 1, 2, 9, 5, 7, 8]",336,241,11772,28920
6,153200,"[0, 1, 2, 9, 4, 7]",287,226,10703,25425
7,343200,"[0, 1, 2, 9, 4, 5, 3]",367,244,13113,29162
6,318200,"[0, 1, 2, 9, 7, 3]",334,232,12698,26796
4,68200,"[0, 1, 2, 4]",234,191,9506,18145
5,248200,"[0, 1, 2, 9, 3]",283,207,11565,20911
5,240200,"[0, 1, 2, 9, 8]",233,184,9397,16472
5,138200,"[0, 1, 2, 4, 7]",285,225,10702,25200
5,128200,"[0, 1, 2, 4, 5]",286,219,10724,23871
7,398200,"[0, 1, 2, 4, 5, 7, 3]",416,264,14196,34716
6,198200,"[0, 1, 2, 4, 5, 7]",337,246,11868,30135
5,260200,"[0, 1, 2, 4, 8]",263,203,9855,20503
6,338200,"[0, 1, 2, 4, 7, 3]",364,245,13094,29890
4,93200,"[0, 1, 2, 5]",254,203,10292,20503
6,328200,"[0, 1, 2, 4, 5, 3]",365,242,13112,29161
6,320200,"[0, 1, 2, 4, 5, 8]",315,227,11058,25651
7,390200,"[0, 1, 2, 4, 5, 7, 8]",366,254,12202,32131
6,330200,"[0, 1, 2, 4, 7, 8]",314,237,11051,27966
5,268200,"[0, 1, 2, 4, 3]",313,219,11961,23871
6,363200,"[0, 1, 2, 5, 7, 3]",384,252,13817,31626
4,233200,"[0, 1, 2, 3]",281,205,11564,20910
6,355200,"[0, 1, 2, 5, 7, 8]",334,240,11771,28680
5,163200,"[0, 1, 2, 5, 7]",305,231,11436,26565
4,103200,"[0, 1, 2, 7]",253,203,10242,20503
6,143200,"[0, 1, 6, 9, 4, 5]",245,204,9826,20302
5,293200,"[0, 1, 2, 5, 3]",333,230,12733,26335
7,343200,"[0, 1, 6, 9, 4, 5, 3]",324,229,12248,25652
3,33200,"[0, 1, 6]",159,144,8112,10296
5,285200,"[0, 1, 2, 5, 8]",283,212,10627,22366
