subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,10000,[9],43,43,903,903
2,36000,"[9, 7]",46,46,906,906
3,80000,"[9, 7, 4]",77,75,1370,2559
4,125000,"[9, 7, 4, 2]",143,129,3484,7878
5,193000,"[9, 7, 4, 2, 8]",174,136,3730,8781
6,293000,"[9, 7, 4, 2, 8, 3]",181,143,3751,8802
6,323000,"[9, 7, 4, 2, 8, 0]",213,157,4408,11784
6,293000,"[9, 7, 4, 2, 8, 1]",186,142,3786,9594
7,393000,"[9, 7, 4, 2, 8, 1, 3]",193,149,3807,9615
7,393000,"[9, 7, 4, 2, 8, 3, 5]",245,161,5278,11802
6,355000,"[9, 7, 4, 2, 1, 0]",194,157,4219,11784
6,343000,"[9, 7, 4, 2, 8, 6]",270,193,7890,17958
6,293000,"[9, 7, 4, 2, 8, 5]",238,154,5257,11781
6,325000,"[9, 7, 4, 2, 1, 3]",162,142,3561,8670
7,393000,"[9, 7, 4, 2, 8, 1, 5]",250,160,5313,12720
6,325000,"[9, 7, 4, 2, 1, 5]",219,157,5145,12246
6,325000,"[9, 7, 4, 2, 3, 5]",214,158,5110,11346
5,225000,"[9, 7, 4, 2, 3]",150,136,3505,7899
6,375000,"[9, 7, 4, 2, 1, 6]",251,191,7690,17581
5,225000,"[9, 7, 4, 2, 1]",155,135,3540,8649
5,255000,"[9, 7, 4, 2, 0]",182,152,4163,11029
6,375000,"[9, 7, 4, 2, 3, 6]",246,195,7677,17044
5,225000,"[9, 7, 4, 2, 5]",207,151,5089,11325
5,275000,"[9, 7, 4, 2, 6]",239,188,7656,17023
6,355000,"[9, 7, 4, 2, 3, 0]",189,158,4184,11938
6,355000,"[9, 7, 4, 2, 5, 0]",246,172,5762,14706
6,375000,"[9, 7, 4, 2, 5, 6]",303,208,9225,21528
5,248000,"[9, 7, 4, 8, 1]",120,96,1691,4281
4,148000,"[9, 7, 4, 8]",108,85,1625,3324
6,378000,"[9, 7, 4, 8, 1, 0]",159,123,2413,7143
6,348000,"[9, 7, 4, 8, 1, 3]",127,103,1712,4302
6,398000,"[9, 7, 4, 8, 1, 6]",216,167,6170,13369
5,248000,"[9, 7, 4, 8, 3]",115,92,1646,3345
6,348000,"[9, 7, 4, 8, 1, 5]",184,121,3262,7260
6,348000,"[9, 7, 4, 8, 3, 5]",179,118,3217,6126
5,248000,"[9, 7, 4, 8, 5]",172,111,3196,6105
6,378000,"[9, 7, 4, 8, 3, 0]",154,119,2368,6673
6,398000,"[9, 7, 4, 8, 3, 6]",211,170,6153,12744
6,378000,"[9, 7, 4, 8, 5, 0]",211,137,3912,9316
5,278000,"[9, 7, 4, 8, 0]",147,113,2347,5998
5,280000,"[9, 7, 4, 1, 3]",96,93,1457,3427
4,180000,"[9, 7, 4, 3]",84,82,1391,2580
5,280000,"[9, 7, 4, 1, 5]",153,115,3085,6555
5,280000,"[9, 7, 4, 3, 5]",148,112,3040,5481
4,180000,"[9, 7, 4, 5]",141,105,3019,5460
5,310000,"[9, 7, 4, 5, 0]",180,132,3736,8646
5,330000,"[9, 7, 4, 1, 6]",185,162,5930,12564
4,210000,"[9, 7, 4, 0]",116,105,2093,5154
5,310000,"[9, 7, 4, 3, 0]",123,111,2114,5781
5,310000,"[9, 7, 4, 1, 0]",128,115,2159,6219
6,398000,"[9, 7, 4, 8, 5, 6]",268,184,7661,16836
4,180000,"[9, 7, 4, 1]",89,86,1436,3406
6,380000,"[9, 7, 4, 1, 3, 5]",160,122,3106,6576
5,330000,"[9, 7, 4, 3, 6]",180,165,5913,11959
4,149000,"[9, 7, 2, 8]",143,112,3276,5889
4,230000,"[9, 7, 4, 6]",173,158,5892,11938
6,379000,"[9, 7, 2, 8, 1, 0]",194,143,4024,9733
6,379000,"[9, 7, 2, 8, 3, 0]",189,143,3989,9733
6,349000,"[9, 7, 2, 8, 1, 5]",219,142,4874,10011
3,81000,"[9, 7, 2]",112,105,3030,5154
6,349000,"[9, 7, 2, 8, 3, 5]",214,142,4839,9066
5,298000,"[9, 7, 4, 8, 6]",204,163,6132,12723
5,330000,"[9, 7, 4, 5, 6]",237,182,7499,16471
5,360000,"[9, 7, 4, 0, 6]",212,175,6511,14709
6,349000,"[9, 7, 2, 8, 1, 3]",162,126,3353,6694
6,399000,"[9, 7, 2, 8, 1, 6]",251,178,7497,15228
5,249000,"[9, 7, 2, 8, 1]",155,119,3332,6673
6,399000,"[9, 7, 2, 8, 3, 6]",246,182,7484,14730
5,249000,"[9, 7, 2, 8, 3]",150,119,3297,5910
6,379000,"[9, 7, 2, 8, 5, 0]",246,158,5504,12403
4,181000,"[9, 7, 2, 3]",119,112,3051,5175
5,249000,"[9, 7, 2, 8, 5]",207,135,4818,9045
5,279000,"[9, 7, 2, 8, 0]",182,137,3968,8914
4,181000,"[9, 7, 2, 1]",124,112,3086,5889
5,299000,"[9, 7, 2, 8, 6]",239,175,7463,14709
5,281000,"[9, 7, 2, 1, 3]",131,119,3107,5910
5,281000,"[9, 7, 2, 1, 5]",188,139,4706,9591
6,381000,"[9, 7, 2, 1, 3, 5]",195,146,4727,9612
6,399000,"[9, 7, 2, 8, 5, 6]",303,194,8966,18721
5,281000,"[9, 7, 2, 3, 5]",183,139,4671,8667
5,311000,"[9, 7, 2, 3, 0]",158,138,3744,9048
5,311000,"[9, 7, 2, 1, 0]",163,138,3779,9048
5,331000,"[9, 7, 2, 5, 6]",272,192,8810,18336
5,331000,"[9, 7, 2, 1, 6]",220,173,7263,14368
4,231000,"[9, 7, 2, 6]",208,170,7229,13864
5,311000,"[9, 7, 2, 5, 0]",215,156,5337,12090
3,104000,"[9, 7, 8]",77,56,1161,1381
4,211000,"[9, 7, 2, 0]",151,132,3723,8259
5,361000,"[9, 7, 2, 0, 6]",247,190,7833,17394
4,181000,"[9, 7, 2, 5]",176,132,4650,8646
4,204000,"[9, 7, 8, 1]",89,68,1227,1447
5,331000,"[9, 7, 2, 3, 6]",215,177,7250,13885
5,304000,"[9, 7, 8, 1, 3]",96,75,1248,1468
5,304000,"[9, 7, 8, 3, 5]",148,94,2768,3762
5,334000,"[9, 7, 8, 5, 0]",180,118,3478,6903
5,354000,"[9, 7, 8, 1, 6]",185,146,5734,10156
4,204000,"[9, 7, 8, 3]",84,63,1182,1402
5,334000,"[9, 7, 8, 1, 0]",128,101,1964,4756
5,304000,"[9, 7, 8, 1, 5]",153,98,2813,4753
4,204000,"[9, 7, 8, 5]",141,87,2747,3741
5,334000,"[9, 7, 8, 3, 0]",123,96,1919,4281
5,354000,"[9, 7, 8, 3, 6]",180,149,5717,9615
5,354000,"[9, 7, 8, 5, 6]",237,165,7237,13530
3,136000,"[9, 7, 1]",58,58,972,972
5,386000,"[9, 7, 1, 3, 6]",161,148,5515,9477
4,254000,"[9, 7, 8, 6]",173,142,5696,9594
4,236000,"[9, 7, 1, 3]",65,65,993,993
4,234000,"[9, 7, 8, 0]",116,90,1898,3744
5,384000,"[9, 7, 8, 0, 6]",212,164,6329,12883
4,266000,"[9, 7, 1, 0]",97,93,1710,4008
5,336000,"[9, 7, 1, 3, 5]",129,99,2657,4207
4,236000,"[9, 7, 3, 5]",117,88,2591,3261
5,386000,"[9, 7, 1, 5, 6]",218,166,7113,13695
5,366000,"[9, 7, 1, 3, 0]",104,99,1731,4563
4,236000,"[9, 7, 1, 5]",122,92,2636,4186
4,286000,"[9, 7, 3, 6]",149,144,5477,8935
5,366000,"[9, 7, 1, 5, 0]",161,123,3368,7503
3,166000,"[9, 7, 0]",85,82,1644,3084
4,286000,"[9, 7, 1, 6]",154,141,5494,9456
2,54000,"[9, 4]",74,72,1367,2556
4,266000,"[9, 7, 5, 0]",149,113,3302,6328
3,136000,"[9, 7, 5]",110,81,2570,3240
3,99000,"[9, 4, 2]",140,126,3481,7875
5,386000,"[9, 7, 3, 5, 6]",213,170,7096,13224
4,266000,"[9, 7, 3, 0]",92,88,1665,3573
5,366000,"[9, 7, 3, 5, 0]",156,119,3323,7021
4,286000,"[9, 7, 5, 6]",206,163,7075,13203
4,316000,"[9, 7, 0, 6]",181,160,6090,12249
3,186000,"[9, 7, 6]",142,137,5456,8914
6,367000,"[9, 4, 2, 8, 1, 3]",190,146,3804,9612
6,367000,"[9, 4, 2, 8, 1, 5]",247,159,5311,12561
3,136000,"[9, 7, 3]",53,53,927,927
5,267000,"[9, 4, 2, 8, 3]",178,140,3748,8799
6,397000,"[9, 4, 2, 8, 3, 0]",217,160,4426,12720
4,167000,"[9, 4, 2, 8]",171,133,3727,8778
6,397000,"[9, 4, 2, 8, 1, 0]",222,159,4461,12561
5,267000,"[9, 4, 2, 8, 1]",183,139,3783,9591
6,367000,"[9, 4, 2, 8, 3, 5]",242,160,5276,11649
5,297000,"[9, 4, 2, 8, 0]",210,154,4405,11781
4,199000,"[9, 4, 2, 3]",147,133,3502,7896
5,267000,"[9, 4, 2, 8, 5]",235,153,5255,11628
5,299000,"[9, 4, 2, 1, 5]",216,156,5143,12090
4,199000,"[9, 4, 2, 1]",152,132,3537,8646
5,317000,"[9, 4, 2, 8, 6]",267,190,7887,17955
5,299000,"[9, 4, 2, 1, 3]",159,139,3558,8667
