subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
5,154500,"[8, 2, 4, 7, 5]",16,15,24,27
2,20500,"[8, 2]",6,6,7,7
3,50500,"[8, 2, 4]",8,7,8,11
4,89500,"[8, 2, 4, 7]",10,9,9,12
1,10000,[8],4,4,6,6
6,229500,"[8, 2, 4, 7, 5, 0]",36,35,214,217
7,309500,"[8, 2, 4, 7, 5, 0, 9]",41,40,224,227
7,329500,"[8, 2, 4, 7, 5, 0, 6]",46,43,259,545
6,234500,"[8, 2, 4, 7, 5, 9]",21,20,34,37
7,334500,"[8, 2, 4, 7, 5, 9, 6]",31,28,79,170
6,254500,"[8, 2, 4, 7, 5, 6]",26,24,69,108
5,169500,"[8, 2, 4, 7, 9]",15,14,19,22
6,354500,"[8, 2, 4, 7, 5, 1]",37,35,234,337
6,369500,"[8, 2, 4, 7, 9, 1]",36,34,229,312
6,354500,"[8, 2, 4, 7, 5, 3]",49,46,551,647
5,164500,"[8, 2, 4, 7, 0]",30,29,199,202
6,244500,"[8, 2, 4, 7, 0, 9]",35,34,209,212
6,264500,"[8, 2, 4, 7, 0, 6]",40,37,244,530
7,344500,"[8, 2, 4, 7, 0, 9, 6]",45,41,254,668
6,364500,"[8, 2, 4, 7, 0, 1]",51,48,408,753
6,364500,"[8, 2, 4, 7, 0, 3]",63,59,726,1487
6,269500,"[8, 2, 4, 7, 9, 6]",25,22,64,155
5,189500,"[8, 2, 4, 7, 6]",20,18,54,93
6,369500,"[8, 2, 4, 7, 9, 3]",48,45,546,642
6,389500,"[8, 2, 4, 7, 6, 1]",41,36,261,498
6,389500,"[8, 2, 4, 7, 6, 3]",53,49,581,992
5,289500,"[8, 2, 4, 7, 1]",31,30,219,222
5,289500,"[8, 2, 4, 7, 3]",43,40,536,632
4,115500,"[8, 2, 4, 5]",14,13,23,26
5,190500,"[8, 2, 4, 5, 0]",34,33,213,216
6,270500,"[8, 2, 4, 5, 0, 9]",39,38,223,226
6,290500,"[8, 2, 4, 5, 0, 6]",44,41,258,544
6,390500,"[8, 2, 4, 5, 0, 1]",55,51,422,957
5,195500,"[8, 2, 4, 5, 9]",19,18,33,36
6,390500,"[8, 2, 4, 5, 0, 3]",67,63,740,1501
6,295500,"[8, 2, 4, 5, 9, 6]",29,26,78,169
7,370500,"[8, 2, 4, 5, 0, 9, 6]",49,45,268,682
6,395500,"[8, 2, 4, 5, 9, 1]",40,37,243,446
6,395500,"[8, 2, 4, 5, 9, 3]",52,49,560,656
5,315500,"[8, 2, 4, 5, 3]",47,44,550,646
5,205500,"[8, 2, 4, 0, 9]",33,32,208,211
4,125500,"[8, 2, 4, 0]",28,27,198,201
5,225500,"[8, 2, 4, 0, 6]",38,35,243,529
6,305500,"[8, 2, 4, 0, 9, 6]",43,39,253,667
5,215500,"[8, 2, 4, 5, 6]",24,22,68,107
5,315500,"[8, 2, 4, 5, 1]",35,33,233,336
5,325500,"[8, 2, 4, 0, 1]",49,46,407,752
4,130500,"[8, 2, 4, 9]",13,12,18,21
5,325500,"[8, 2, 4, 0, 3]",61,57,725,1486
5,230500,"[8, 2, 4, 9, 6]",23,20,63,154
5,330500,"[8, 2, 4, 9, 1]",34,32,228,311
4,150500,"[8, 2, 4, 6]",18,16,53,92
5,330500,"[8, 2, 4, 9, 3]",46,43,545,641
5,350500,"[8, 2, 4, 6, 3]",51,47,580,991
5,350500,"[8, 2, 4, 6, 1]",39,34,260,497
4,250500,"[8, 2, 4, 1]",29,28,218,221
4,250500,"[8, 2, 4, 3]",41,38,535,631
3,59500,"[8, 2, 7]",8,8,8,8
5,199500,"[8, 2, 7, 5, 0]",34,34,213,213
6,279500,"[8, 2, 7, 5, 0, 9]",39,39,223,223
7,379500,"[8, 2, 7, 5, 0, 9, 6]",49,46,268,647
4,124500,"[8, 2, 7, 5]",14,14,23,23
6,299500,"[8, 2, 7, 5, 0, 6]",44,42,258,513
6,399500,"[8, 2, 7, 5, 0, 1]",55,52,422,954
6,399500,"[8, 2, 7, 5, 0, 3]",67,65,741,1502
5,204500,"[8, 2, 7, 5, 9]",19,19,33,33
6,304500,"[8, 2, 7, 5, 9, 6]",29,27,78,153
5,224500,"[8, 2, 7, 5, 6]",24,23,68,95
4,134500,"[8, 2, 7, 0]",28,28,198,198
5,324500,"[8, 2, 7, 5, 1]",35,34,233,333
5,214500,"[8, 2, 7, 0, 9]",33,33,208,208
5,324500,"[8, 2, 7, 5, 3]",47,46,551,647
6,314500,"[8, 2, 7, 0, 9, 6]",43,40,253,632
5,234500,"[8, 2, 7, 0, 6]",38,36,243,498
5,334500,"[8, 2, 7, 0, 1]",49,47,407,749
5,334500,"[8, 2, 7, 0, 3]",61,59,726,1487
4,139500,"[8, 2, 7, 9]",13,13,18,18
5,239500,"[8, 2, 7, 9, 6]",23,21,63,138
5,339500,"[8, 2, 7, 9, 3]",46,45,546,642
4,159500,"[8, 2, 7, 6]",18,17,53,80
5,359500,"[8, 2, 7, 6, 3]",51,49,581,992
4,259500,"[8, 2, 7, 1]",29,29,218,218
5,339500,"[8, 2, 7, 9, 1]",34,33,228,308
