subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,16000,[6],11,11,55,55
2,41000,"[6, 3]",46,46,650,650
3,66000,"[6, 3, 9]",121,114,3404,5308
5,226000,"[6, 3, 9, 0, 7]",198,172,4936,14706
4,126000,"[6, 3, 9, 0]",148,133,3734,8778
6,341000,"[6, 3, 9, 0, 7, 5]",328,259,13054,33411
5,276000,"[6, 3, 9, 0, 1]",194,168,4751,14028
6,376000,"[6, 3, 9, 0, 7, 1]",244,197,5898,19306
5,241000,"[6, 3, 9, 0, 5]",278,236,12022,27730
5,326000,"[6, 3, 9, 0, 8]",187,158,4431,12403
6,376000,"[6, 3, 9, 0, 7, 4]",246,193,5923,18528
5,276000,"[6, 3, 9, 0, 4]",196,160,4756,12720
6,391000,"[6, 3, 9, 0, 5, 4]",326,249,12877,30876
6,391000,"[6, 3, 9, 0, 5, 1]",324,253,12745,31878
5,326000,"[6, 3, 9, 0, 2]",185,168,4400,14028
4,166000,"[6, 3, 9, 7]",171,155,4609,10351
5,281000,"[6, 3, 9, 7, 5]",301,248,12742,30628
5,316000,"[6, 3, 9, 7, 1]",217,181,5571,16290
5,366000,"[6, 3, 9, 7, 2]",208,187,5269,15455
5,366000,"[6, 3, 9, 7, 8]",210,170,5240,14365
5,316000,"[6, 3, 9, 7, 4]",219,184,5660,14933
4,181000,"[6, 3, 9, 5]",251,223,11707,24753
5,331000,"[6, 3, 9, 5, 1]",297,240,12430,28680
5,331000,"[6, 3, 9, 5, 4]",299,243,12624,29403
5,381000,"[6, 3, 9, 5, 2]",288,235,12097,27495
5,381000,"[6, 3, 9, 5, 8]",290,237,12267,27966
4,216000,"[6, 3, 9, 1]",167,150,4421,11175
4,201000,"[6, 3, 0, 7]",123,108,2192,5778
5,351000,"[6, 3, 0, 7, 4]",171,131,3184,8515
5,351000,"[6, 3, 0, 7, 1]",169,135,3157,9045
4,266000,"[6, 3, 9, 2]",158,150,4070,9646
4,251000,"[6, 3, 0, 1]",119,103,2000,5253
5,366000,"[6, 3, 0, 5, 1]",249,192,10004,18336
4,301000,"[6, 3, 0, 8]",112,91,1678,4095
4,216000,"[6, 3, 9, 4]",169,151,4491,9785
4,266000,"[6, 3, 9, 8]",160,141,4113,9870
4,251000,"[6, 3, 0, 4]",121,94,2007,4371
5,366000,"[6, 3, 9, 1, 4]",215,180,5487,16110
5,366000,"[6, 3, 0, 5, 4]",251,188,10138,17578
4,301000,"[6, 3, 0, 2]",110,100,1646,4950
