subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,10700,[9],11,11,55,55
2,40700,"[9, 8]",105,104,4426,5356
5,300700,"[9, 8, 6, 1, 7]",204,163,6195,13203
4,150700,"[9, 8, 6, 1]",188,149,6076,11026
5,250700,"[9, 8, 6, 1, 5]",215,164,6395,13366
3,75700,"[9, 8, 6]",124,119,4591,7021
5,350700,"[9, 8, 6, 1, 2]",238,188,7282,17578
4,175700,"[9, 8, 6, 5]",151,135,4913,9045
5,350700,"[9, 8, 6, 1, 3]",271,202,9304,20301
5,350700,"[9, 8, 6, 1, 4]",253,207,8146,21321
5,375700,"[9, 8, 6, 5, 0]",246,212,9340,22366
5,375700,"[9, 8, 6, 5, 2]",201,175,6122,15225
5,375700,"[9, 8, 6, 5, 4]",216,193,6980,18528
4,275700,"[9, 8, 6, 0]",219,201,9033,20100
5,350700,"[9, 8, 6, 1, 0]",283,228,10512,25878
5,375700,"[9, 8, 6, 5, 3]",234,194,8225,18721
4,275700,"[9, 8, 6, 2]",174,160,5800,12720
4,275700,"[9, 8, 6, 4]",189,178,6661,15753
4,275700,"[9, 8, 6, 3]",207,180,7909,16110
5,325700,"[9, 8, 6, 5, 7]",167,149,5032,11026
4,215700,"[9, 8, 1, 5]",196,151,6233,11325
4,225700,"[9, 8, 6, 7]",140,133,4710,8778
3,115700,"[9, 8, 1]",169,135,5914,9045
4,315700,"[9, 8, 1, 0]",264,217,10353,23436
5,365700,"[9, 8, 1, 5, 7]",212,165,6352,13530
4,290700,"[9, 8, 5, 7]",148,135,4867,9045
4,315700,"[9, 8, 1, 2]",219,176,7121,15400
3,140700,"[9, 8, 5]",132,121,4748,7260
4,340700,"[9, 8, 5, 0]",227,201,9178,20100
4,340700,"[9, 8, 5, 2]",182,163,5958,13203
4,315700,"[9, 8, 1, 3]",252,192,9157,18336
4,265700,"[9, 8, 1, 7]",185,149,6033,11026
4,315700,"[9, 8, 1, 4]",234,193,7984,18528
4,340700,"[9, 8, 5, 4]",197,179,6815,15931
3,190700,"[9, 8, 7]",121,118,4545,6903
4,390700,"[9, 8, 7, 0]",216,195,8962,18915
3,240700,"[9, 8, 3]",188,170,7759,14365
3,240700,"[9, 8, 0]",200,189,8871,17766
3,120700,"[9, 6, 1]",94,90,2236,3136
3,240700,"[9, 8, 4]",170,163,6496,13203
4,390700,"[9, 8, 7, 3]",204,184,7878,16836
4,390700,"[9, 8, 7, 2]",171,157,5749,12246
3,240700,"[9, 8, 2]",155,147,5636,10731
2,45700,"[9, 6]",30,30,226,226
5,370700,"[9, 6, 1, 5, 7]",137,124,2699,7626
4,295700,"[9, 6, 5, 7]",73,68,695,2278
4,320700,"[9, 6, 1, 2]",144,134,3457,8911
4,220700,"[9, 6, 1, 5]",121,110,2580,5995
4,320700,"[9, 6, 1, 4]",159,153,4316,11628
4,390700,"[9, 8, 7, 4]",186,167,6570,13861
4,345700,"[9, 6, 5, 2]",107,100,1800,4950
4,395700,"[9, 6, 7, 0]",141,125,4770,7750
4,395700,"[9, 6, 7, 3]",129,117,3719,5170
4,270700,"[9, 6, 1, 7]",110,106,2356,3256
4,320700,"[9, 6, 1, 0]",189,173,6682,14878
4,340700,"[9, 8, 5, 3]",215,184,8075,16836
3,145700,"[9, 6, 5]",57,54,576,1431
4,395700,"[9, 6, 7, 2]",96,89,1564,3916
4,320700,"[9, 6, 1, 3]",177,147,5504,10731
