subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,6000,[1],24,24,276,276
2,12000,"[1, 7]",68,66,1221,2145
3,23000,"[1, 7, 9]",118,100,2386,4950
4,53000,"[1, 7, 9, 4]",181,147,4299,10731
5,83000,"[1, 7, 9, 4, 8]",195,155,4386,11935
6,133000,"[1, 7, 9, 4, 8, 2]",308,239,10577,28441
8,383000,"[1, 7, 9, 4, 8, 2, 3, 5]",542,370,27040,68265
8,253000,"[1, 7, 9, 4, 8, 2, 3, 0]",492,322,19202,51681
6,283000,"[1, 7, 9, 4, 8, 5]",373,302,20038,45451
7,183000,"[1, 7, 9, 4, 8, 2, 3]",364,262,11929,34191
7,333000,"[1, 7, 9, 4, 8, 2, 6]",406,306,15221,46665
8,383000,"[1, 7, 9, 4, 8, 2, 3, 6]",462,319,16496,50721
7,333000,"[1, 7, 9, 4, 8, 2, 5]",486,360,25823,64620
7,203000,"[1, 7, 9, 4, 8, 2, 0]",436,304,17931,46056
7,203000,"[1, 7, 9, 4, 8, 3, 0]",379,261,13450,33930
6,133000,"[1, 7, 9, 4, 8, 3]",251,186,5812,17205
7,333000,"[1, 7, 9, 4, 8, 3, 5]",429,318,21328,50403
7,353000,"[1, 7, 9, 4, 8, 0, 6]",421,299,16638,44551
5,103000,"[1, 7, 9, 4, 2]",294,231,10490,26565
6,283000,"[1, 7, 9, 4, 8, 6]",293,231,9085,26565
6,303000,"[1, 7, 9, 4, 3, 6]",335,248,10350,30628
6,173000,"[1, 7, 9, 4, 3, 0]",365,258,13378,33153
6,173000,"[1, 7, 9, 4, 2, 0]",422,300,17859,44850
7,223000,"[1, 7, 9, 4, 2, 3, 0]",478,319,19130,50721
6,153000,"[1, 7, 9, 4, 8, 0]",323,238,12108,28203
7,373000,"[1, 7, 9, 4, 2, 0, 6]",520,353,22336,62128
6,153000,"[1, 7, 9, 4, 2, 3]",350,255,11842,32385
7,353000,"[1, 7, 9, 4, 8, 0, 5]",501,352,27021,61776
7,333000,"[1, 7, 9, 4, 8, 3, 6]",349,252,10434,31626
5,103000,"[1, 7, 9, 4, 3]",237,179,5725,15931
7,353000,"[1, 7, 9, 4, 2, 3, 5]",528,366,26967,66795
6,303000,"[1, 7, 9, 4, 2, 5]",472,356,25750,63190
7,373000,"[1, 7, 9, 4, 3, 0, 6]",463,311,17833,48205
5,123000,"[1, 7, 9, 4, 0]",309,234,12036,27261
7,353000,"[1, 7, 9, 4, 2, 3, 6]",448,315,16412,49455
6,303000,"[1, 7, 9, 4, 3, 5]",415,314,21255,49141
7,373000,"[1, 7, 9, 4, 2, 0, 5]",600,397,32400,78606
6,303000,"[1, 7, 9, 4, 2, 6]",392,301,15137,45150
7,373000,"[1, 7, 9, 4, 3, 0, 5]",543,361,28171,64980
5,253000,"[1, 7, 9, 4, 6]",279,226,9001,25425
6,323000,"[1, 7, 9, 4, 0, 6]",407,296,16568,43660
6,323000,"[1, 7, 9, 4, 0, 5]",487,350,26962,61075
5,253000,"[1, 7, 9, 4, 5]",359,298,19965,44253
