subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,5300,[5],9,9,36,36
2,12300,"[5, 8]",70,68,1865,2278
4,92300,"[5, 8, 2, 0]",104,94,2191,4371
5,152300,"[5, 8, 2, 0, 4]",156,102,2571,5151
3,37300,"[5, 8, 2]",95,88,2158,3828
7,304300,"[5, 8, 2, 0, 4, 6, 9]",187,115,2822,6555
7,374300,"[5, 8, 2, 0, 4, 6, 1]",222,116,3464,6670
6,224300,"[5, 8, 2, 0, 4, 6]",163,105,2590,5460
7,374300,"[5, 8, 2, 0, 4, 6, 3]",189,126,2912,7875
6,232300,"[5, 8, 2, 0, 4, 9]",180,112,2803,6216
7,382300,"[5, 8, 2, 0, 4, 9, 1]",239,124,3679,7626
7,382300,"[5, 8, 2, 0, 4, 9, 3]",206,130,3115,8385
6,302300,"[5, 8, 2, 0, 4, 1]",215,114,3447,6441
7,394300,"[5, 8, 2, 0, 6, 9, 1]",194,118,3316,6903
6,302300,"[5, 8, 2, 0, 4, 3]",182,124,2893,7626
6,352300,"[5, 8, 2, 0, 4, 7]",192,124,3173,7626
5,164300,"[5, 8, 2, 0, 6]",111,97,2210,4656
6,244300,"[5, 8, 2, 0, 6, 9]",135,107,2442,5671
7,394300,"[5, 8, 2, 0, 6, 9, 3]",161,124,2754,7626
6,314300,"[5, 8, 2, 0, 6, 1]",170,108,3084,5778
6,314300,"[5, 8, 2, 0, 6, 3]",137,118,2532,6903
6,364300,"[5, 8, 2, 0, 6, 7]",147,118,2811,6903
5,172300,"[5, 8, 2, 0, 9]",128,104,2423,5356
6,372300,"[5, 8, 2, 0, 9, 7]",164,124,3003,7626
6,322300,"[5, 8, 2, 0, 9, 1]",187,116,3299,6670
6,322300,"[5, 8, 2, 0, 9, 3]",154,122,2735,7381
6,249300,"[5, 8, 2, 4, 6, 9]",178,109,2789,5886
5,242300,"[5, 8, 2, 0, 1]",163,106,3067,5565
7,399300,"[5, 8, 2, 4, 6, 9, 1]",237,120,3663,7140
6,392300,"[5, 8, 2, 0, 1, 3]",189,125,3386,7750
5,242300,"[5, 8, 2, 0, 3]",130,116,2513,6670
5,169300,"[5, 8, 2, 4, 6]",154,99,2557,4851
5,292300,"[5, 8, 2, 0, 7]",140,116,2793,6670
4,97300,"[5, 8, 2, 4]",147,96,2538,4560
6,319300,"[5, 8, 2, 4, 6, 1]",213,110,3431,5995
6,319300,"[5, 8, 2, 4, 6, 3]",180,120,2879,7140
6,369300,"[5, 8, 2, 4, 6, 7]",190,121,3158,7260
6,327300,"[5, 8, 2, 4, 9, 1]",230,118,3646,6903
5,177300,"[5, 8, 2, 4, 9]",171,106,2770,5565
6,377300,"[5, 8, 2, 4, 9, 7]",207,127,3350,8001
5,247300,"[5, 8, 2, 4, 1]",206,108,3414,5778
5,247300,"[5, 8, 2, 4, 3]",173,118,2860,6903
4,109300,"[5, 8, 2, 6]",102,91,2177,4095
6,339300,"[5, 8, 2, 6, 9, 1]",185,112,3283,6216
6,389300,"[5, 8, 2, 6, 9, 7]",162,121,2988,7260
