subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
2,13000,"[8, 1]",38,35,439,595
1,3000,[8],9,9,36,36
3,33000,"[8, 1, 0]",281,258,29700,33153
4,63000,"[8, 1, 0, 3]",321,285,30402,40470
5,123000,"[8, 1, 0, 3, 4]",364,310,31208,47895
6,183000,"[8, 1, 0, 3, 4, 6]",479,361,36320,64980
6,223000,"[8, 1, 0, 3, 4, 7]",422,331,32488,54615
7,373000,"[8, 1, 0, 3, 4, 7, 5]",445,347,32729,60031
7,383000,"[8, 1, 0, 3, 4, 6, 2]",624,476,46528,113050
7,283000,"[8, 1, 0, 3, 4, 6, 7]",537,379,37544,71631
7,333000,"[8, 1, 0, 3, 4, 6, 5]",502,377,36563,70876
6,223000,"[8, 1, 0, 3, 6, 7]",494,366,36865,66795
5,213000,"[8, 1, 0, 3, 5]",344,302,30645,45451
7,373000,"[8, 1, 0, 3, 6, 7, 9]",541,379,37712,71631
6,273000,"[8, 1, 0, 3, 6, 5]",459,355,35775,62835
6,323000,"[8, 1, 0, 3, 4, 2]",509,430,41461,92235
6,273000,"[8, 1, 0, 3, 4, 5]",387,327,31451,53301
6,273000,"[8, 1, 0, 3, 6, 9]",483,356,36389,63190
4,93000,"[8, 1, 0, 4]",324,286,30512,40755
6,363000,"[8, 1, 0, 3, 7, 2]",524,433,42035,93528
5,263000,"[8, 1, 0, 3, 2]",466,405,40655,81810
5,153000,"[8, 1, 0, 4, 6]",439,341,35646,57970
5,123000,"[8, 1, 0, 3, 6]",436,339,35532,57291
6,273000,"[8, 1, 0, 3, 4, 9]",411,330,32111,54285
7,373000,"[8, 1, 0, 3, 6, 7, 5]",517,381,37106,72390
5,163000,"[8, 1, 0, 3, 7]",379,317,31792,50086
7,373000,"[8, 1, 0, 3, 4, 7, 9]",469,347,33381,60031
7,333000,"[8, 1, 0, 3, 4, 6, 9]",526,377,37170,70876
6,323000,"[8, 1, 0, 3, 6, 2]",581,454,45740,102831
6,313000,"[8, 1, 0, 3, 7, 5]",402,333,32033,55278
6,313000,"[8, 1, 0, 3, 7, 9]",426,334,32692,55611
5,213000,"[8, 1, 0, 3, 9]",368,306,31312,46665
6,363000,"[8, 1, 0, 3, 5, 9]",391,322,31555,51681
6,253000,"[8, 1, 0, 4, 6, 7]",497,359,36870,64261
5,243000,"[8, 1, 0, 4, 9]",371,317,31517,50086
6,303000,"[8, 1, 0, 4, 6, 9]",486,365,36595,66430
4,93000,"[8, 1, 0, 6]",396,316,34852,49770
6,303000,"[8, 1, 0, 4, 6, 5]",462,357,35889,63546
5,193000,"[8, 1, 0, 4, 7]",382,307,31792,46971
6,343000,"[8, 1, 0, 4, 7, 5]",405,323,32033,52003
4,183000,"[8, 1, 0, 5]",304,275,29943,37675
5,383000,"[8, 1, 0, 9, 2]",473,402,40864,80601
4,233000,"[8, 1, 0, 2]",426,381,39968,72390
6,343000,"[8, 1, 0, 4, 7, 9]",429,334,32787,55611
5,243000,"[8, 1, 0, 4, 5]",347,303,30755,45753
5,193000,"[8, 1, 0, 6, 7]",454,343,36185,58653
3,43000,"[8, 1, 3]",78,74,1219,2701
