subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,1200,[0],49,49,1176,1176
2,2700,"[0, 3]",78,72,1567,2556
6,92700,"[0, 3, 4, 8, 2, 5]",181,131,2921,8515
3,12700,"[0, 3, 4]",112,94,2090,4371
4,27700,"[0, 3, 4, 8]",138,107,2389,5671
5,57700,"[0, 3, 4, 8, 2]",148,114,2433,6441
7,152700,"[0, 3, 4, 8, 2, 5, 6]",292,177,8249,15576
8,302700,"[0, 3, 4, 8, 2, 5, 6, 1]",308,181,8344,16290
8,352700,"[0, 3, 4, 8, 2, 5, 6, 7]",313,181,8387,16290
7,242700,"[0, 3, 4, 8, 2, 5, 1]",197,136,3025,9180
6,117700,"[0, 3, 4, 8, 2, 6]",259,164,7841,13366
7,267700,"[0, 3, 4, 8, 2, 6, 1]",275,169,7937,14196
7,292700,"[0, 3, 4, 8, 2, 5, 7]",202,135,3082,9045
6,207700,"[0, 3, 4, 8, 2, 1]",164,120,2538,7140
6,257700,"[0, 3, 4, 8, 2, 7]",169,122,2614,7381
7,317700,"[0, 3, 4, 8, 2, 6, 7]",280,169,7996,14196
5,62700,"[0, 3, 4, 8, 5]",171,125,2877,7750
6,122700,"[0, 3, 4, 8, 5, 6]",282,175,8225,15225
7,272700,"[0, 3, 4, 8, 5, 6, 1]",298,179,8320,15931
7,322700,"[0, 3, 4, 8, 5, 6, 7]",303,179,8363,15931
6,212700,"[0, 3, 4, 8, 5, 1]",187,130,2981,8385
6,287700,"[0, 3, 4, 8, 6, 7]",270,167,7972,13861
5,87700,"[0, 3, 4, 8, 6]",249,162,7817,13041
6,237700,"[0, 3, 4, 8, 6, 1]",265,167,7913,13861
5,177700,"[0, 3, 4, 8, 1]",154,113,2494,6328
6,262700,"[0, 3, 4, 8, 5, 7]",192,129,3038,8256
6,377700,"[0, 3, 4, 8, 1, 7]",175,120,2675,7140
5,227700,"[0, 3, 4, 8, 7]",159,115,2570,6555
4,42700,"[0, 3, 4, 2]",122,101,2134,5050
7,337700,"[0, 3, 4, 2, 5, 6, 7]",287,177,8184,15576
5,77700,"[0, 3, 4, 2, 5]",155,122,2632,7381
7,287700,"[0, 3, 4, 2, 5, 6, 1]",282,177,8145,15576
6,227700,"[0, 3, 4, 2, 5, 1]",171,129,2742,8256
6,137700,"[0, 3, 4, 2, 5, 6]",266,173,8045,14878
6,277700,"[0, 3, 4, 2, 5, 7]",176,126,2794,7875
5,102700,"[0, 3, 4, 2, 6]",233,158,7628,12403
6,252700,"[0, 3, 4, 2, 6, 1]",249,164,7729,13366
5,192700,"[0, 3, 4, 2, 1]",138,110,2245,5995
6,302700,"[0, 3, 4, 2, 6, 7]",254,164,7784,13366
6,392700,"[0, 3, 4, 2, 1, 7]",159,118,2427,6903
5,242700,"[0, 3, 4, 2, 7]",143,110,2316,5995
4,47700,"[0, 3, 4, 5]",145,116,2588,6670
6,257700,"[0, 3, 4, 5, 6, 1]",272,175,8121,15225
6,307700,"[0, 3, 4, 5, 6, 7]",277,175,8160,15225
5,107700,"[0, 3, 4, 5, 6]",256,171,8021,14535
5,197700,"[0, 3, 4, 5, 1]",161,123,2698,7503
6,397700,"[0, 3, 4, 5, 1, 7]",182,127,2860,8001
4,72700,"[0, 3, 4, 6]",223,156,7604,12090
5,247700,"[0, 3, 4, 5, 7]",166,120,2750,7140
5,272700,"[0, 3, 4, 6, 7]",244,162,7760,13041
5,222700,"[0, 3, 4, 6, 1]",239,162,7705,13041
5,362700,"[0, 3, 4, 1, 7]",149,111,2383,6105
4,162700,"[0, 3, 4, 1]",128,103,2201,5253
4,212700,"[0, 3, 4, 7]",133,103,2272,5253
3,17700,"[0, 3, 8]",104,87,1867,3741
4,47700,"[0, 3, 8, 2]",114,95,1911,4465
6,142700,"[0, 3, 8, 2, 5, 6]",258,166,7852,13695
5,82700,"[0, 3, 8, 2, 5]",147,113,2400,6328
6,232700,"[0, 3, 8, 2, 5, 1]",163,119,2507,7021
6,282700,"[0, 3, 8, 2, 5, 7]",168,119,2562,7021
7,342700,"[0, 3, 8, 2, 5, 6, 7]",279,170,7990,14365
7,292700,"[0, 3, 8, 2, 5, 6, 1]",274,170,7950,14365
5,107700,"[0, 3, 8, 2, 6]",225,153,7443,11628
6,307700,"[0, 3, 8, 2, 6, 7]",246,158,7598,12403
6,257700,"[0, 3, 8, 2, 6, 1]",241,158,7542,12403
5,197700,"[0, 3, 8, 2, 1]",130,102,2019,5151
4,52700,"[0, 3, 8, 5]",137,106,2356,5565
6,397700,"[0, 3, 8, 2, 1, 7]",151,111,2201,6105
6,312700,"[0, 3, 8, 5, 6, 7]",269,167,7966,13861
5,247700,"[0, 3, 8, 2, 7]",135,105,2093,5460
5,367700,"[0, 3, 8, 1, 7]",141,104,2157,5356
5,202700,"[0, 3, 8, 5, 1]",153,113,2463,6328
5,277700,"[0, 3, 8, 6, 7]",236,155,7574,11935
5,227700,"[0, 3, 8, 6, 1]",231,156,7518,12090
5,112700,"[0, 3, 8, 5, 6]",248,163,7828,13203
5,252700,"[0, 3, 8, 5, 7]",158,112,2518,6216
5,127700,"[0, 3, 2, 5, 6]",232,162,7648,13041
6,277700,"[0, 3, 2, 5, 6, 1]",248,166,7751,13695
5,267700,"[0, 3, 2, 5, 7]",142,108,2273,5778
4,167700,"[0, 3, 8, 1]",120,95,1975,4465
5,217700,"[0, 3, 2, 5, 1]",137,110,2223,5995
4,217700,"[0, 3, 8, 7]",125,97,2049,4656
3,32700,"[0, 3, 2]",88,80,1611,3160
4,77700,"[0, 3, 8, 6]",215,150,7419,11175
4,92700,"[0, 3, 2, 6]",199,147,7230,10731
4,67700,"[0, 3, 2, 5]",121,102,2110,5151
6,262700,"[0, 3, 8, 5, 6, 1]",264,168,7926,14028
5,382700,"[0, 3, 2, 1, 7]",125,100,1908,4950
4,182700,"[0, 3, 2, 1]",104,90,1725,4005
4,232700,"[0, 3, 2, 7]",109,91,1794,4095
