subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,11400,[3],219,219,23871,23871
3,121300,"[3, 6, 4]",502,388,44821,75078
2,34150,"[3, 5]",410,262,31138,34191
3,82150,"[3, 5, 2]",797,532,99494,141246
2,56400,"[3, 1]",710,620,140161,191890
4,139150,"[3, 5, 1, 4]",1108,662,154855,218791
3,84050,"[3, 5, 6]",486,307,33538,46971
4,132050,"[3, 5, 2, 6]",873,573,101804,163878
3,94150,"[3, 5, 4]",617,384,49076,73536
3,79150,"[3, 5, 1]",901,650,146557,210925
3,134150,"[3, 5, 0]",1017,784,211885,306936
1,22750,[5],191,191,18145,18145
4,142150,"[3, 5, 2, 4]",1004,551,107260,151525
4,127150,"[3, 5, 1, 2]",1288,811,202605,328455
2,59400,"[3, 2]",606,500,92997,124750
2,61300,"[3, 6]",295,265,26286,34980
3,119400,"[3, 2, 4]",813,524,101262,137026
2,71400,"[3, 4]",426,352,42491,61776
4,129050,"[3, 5, 1, 6]",977,682,148604,232221
4,144050,"[3, 5, 6, 4]",693,419,51391,87571
2,67750,"[5, 1]",682,608,135739,184528
3,106300,"[3, 1, 6]",786,652,142219,212226
3,104400,"[3, 1, 2]",1097,788,196857,310078
3,109300,"[3, 2, 6]",682,542,95322,146611
2,111400,"[3, 0]",826,759,205581,287661
3,116400,"[3, 1, 4]",917,638,149006,203203
3,117650,"[5, 1, 6]",758,640,137951,204480
4,154300,"[3, 1, 2, 6]",1173,819,198870,334971
3,127750,"[5, 1, 4]",889,634,145064,200661
3,115750,"[5, 1, 2]",1069,785,194247,307720
3,130750,"[5, 2, 4]",785,525,98415,137550
2,122750,"[5, 0]",798,735,200113,269745
2,93000,"[1, 2]",878,711,181125,252405
2,94900,"[1, 6]",567,534,122617,142311
2,149900,"[6, 0]",683,661,186540,218130
2,148000,"[2, 0]",994,843,247287,354903
2,72650,"[5, 6]",267,251,20875,31375
1,45000,[1],491,491,120295,120295
1,100000,[0],607,607,183921,183921
3,132650,"[5, 6, 4]",474,380,39833,72010
3,142900,"[1, 2, 6]",954,746,183283,277885
2,109900,"[6, 4]",283,269,24080,36046
2,108000,"[2, 4]",594,444,84837,98346
3,154900,"[1, 6, 4]",774,594,133739,176121
2,82750,"[5, 4]",398,330,37188,54285
1,48000,[2],387,387,74691,74691
1,60000,[4],207,207,21321,21321
1,49900,[6],76,76,2850,2850
2,97900,"[2, 6]",463,438,77241,95703
2,145000,"[1, 0]",1098,841,271320,353220
2,70750,"[5, 2]",578,502,89986,125751
2,105000,"[1, 4]",698,555,131463,153735
3,153000,"[1, 2, 4]",1085,720,185583,258840
3,120650,"[5, 2, 6]",654,544,92437,147696
