subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,5995,[1],112,112,6216,6216
2,12395,"[1, 0]",332,251,27066,31375
2,15195,"[1, 3]",213,187,10941,17391
3,22395,"[1, 0, 2]",433,275,29498,37675
2,15959,"[1, 4]",197,165,9290,13530
2,15995,"[1, 2]",213,164,10090,13366
1,6400,[0],220,220,24090,24090
3,22359,"[1, 0, 4]",417,268,28790,35778
2,15600,"[0, 3]",321,264,27544,34716
3,21595,"[1, 0, 3]",433,281,30261,39340
2,16364,"[0, 4]",305,249,26120,30876
2,16400,"[0, 2]",321,255,26995,32385
2,19164,"[3, 4]",186,144,7759,10296
2,19200,"[3, 2]",202,186,9980,17205
1,9200,[3],101,101,5050,5050
2,19964,"[4, 2]",186,171,8515,14535
1,10000,[2],101,101,5050,5050
1,9964,[4],85,85,3570,3570
