subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
3,131988,"[2, 1, 4]",4638,3089,3478141,4769416
1,20000,[2],1304,1304,849556,849556
1,148200,[3],1224,1224,748476,748476
1,28450,[1],2261,2261,2554930,2554930
1,83538,[4],1073,1073,575128,575128
1,143900,[0],2523,2523,3181503,3181503
2,48450,"[2, 1]",3565,2781,3097550,3865590
2,111988,"[1, 4]",3334,2780,2976877,3862810
2,103538,"[2, 4]",2377,2075,1379233,2151775
2,168200,"[2, 3]",2528,2162,1531237,2336041
2,163900,"[2, 0]",3827,3020,3705838,4558690
2,231738,"[4, 3]",2297,2061,1295874,2122830
2,227438,"[4, 0]",3596,2860,3486151,4088370
2,176650,"[1, 3]",3485,2863,3110275,4096953
2,292100,"[0, 3]",3747,3067,3699119,4701711
2,172350,"[1, 0]",4784,3411,4794555,5815755
4,275888,"[2, 1, 4, 0]",7161,3669,5297583,6728946
3,251738,"[2, 4, 3]",3601,2724,2033535,3708726
3,196650,"[2, 1, 3]",4789,3191,3601151,5089645
3,312100,"[2, 0, 3]",5051,3337,4166250,5566116
3,192350,"[2, 1, 0]",6088,3553,5103760,6310128
3,375638,"[4, 0, 3]",4820,3301,3984815,5446650
3,255888,"[1, 4, 0]",5857,3566,5015028,6356395
3,320550,"[1, 0, 3]",6008,3655,5170721,6677685
3,247438,"[2, 4, 0]",4900,3227,3979741,5205151
3,260188,"[1, 4, 3]",4558,3211,3506572,5153655
4,395638,"[2, 4, 0, 3]",6124,3468,4421552,6011778
4,280188,"[2, 1, 4, 3]",5862,3355,3956443,5626335
4,340550,"[2, 1, 0, 3]",7312,3744,5437773,7006896
4,404088,"[1, 4, 0, 3]",7081,3772,5374322,7112106
5,424088,"[2, 1, 4, 0, 3]",8385,3849,5615075,7405476
