subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
2,69900,"[5, 6]",452,426,51549,90525
1,49900,[6],194,194,18721,18721
3,328140,"[5, 6, 2]",937,772,163930,297606
3,429900,"[5, 6, 0]",988,802,188229,321201
1,20000,[5],258,258,33153,33153
2,140000,"[5, 1]",758,656,152752,214840
2,462758,"[6, 3]",673,627,132167,196251
2,278240,"[5, 2]",743,663,147363,219453
2,380000,"[5, 0]",794,704,172528,247456
1,258240,[2],485,485,117370,117370
1,360000,[0],536,536,143380,143380
1,412858,[3],479,479,114481,114481
1,120000,[1],500,500,124750,124750
2,432858,"[5, 3]",737,629,141856,197506
1,456238,[4],461,461,106030,106030
4,448140,"[5, 6, 1, 2]",1437,943,263692,444153
2,506138,"[6, 4]",655,619,124121,191271
3,398240,"[5, 1, 2]",1243,898,252455,402753
3,189900,"[5, 6, 1]",952,729,165353,265356
2,480000,"[1, 0]",1036,826,246185,340725
2,476238,"[5, 4]",719,654,137103,213531
3,482758,"[5, 6, 3]",931,756,159227,285390
2,169900,"[6, 1]",694,585,137585,170820
2,308140,"[6, 2]",679,618,134261,190653
2,378240,"[1, 2]",985,814,227585,330891
2,409900,"[6, 0]",730,656,159400,214840
3,500000,"[5, 1, 0]",1294,925,270710,427350
3,428140,"[6, 1, 2]",1179,869,239055,377146
