subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
4,31382,"[4, 9, 3, 2]",1139,791,157569,312445
2,11418,"[4, 9]",417,398,45745,79003
1,5423,[4],260,260,33670,33670
3,21388,"[4, 9, 3]",755,654,100637,213531
5,41382,"[4, 9, 3, 2, 0]",1762,1040,319153,540280
6,51382,"[4, 9, 3, 2, 0, 8]",1921,1074,328271,576201
6,51382,"[4, 9, 3, 2, 0, 6]",1974,1106,337281,611065
6,51382,"[4, 9, 3, 2, 0, 5]",1978,1082,334763,584821
6,51382,"[4, 9, 3, 2, 0, 7]",1959,1078,332406,580503
6,51382,"[4, 9, 3, 2, 0, 1]",2157,1123,372033,630003
5,41382,"[4, 9, 3, 2, 1]",1534,961,225970,461280
6,51382,"[4, 9, 3, 2, 1, 5]",1750,1038,246063,538203
6,51382,"[4, 9, 3, 2, 1, 7]",1731,1031,242471,530965
4,31388,"[4, 9, 3, 0]",1378,975,274011,474825
5,41382,"[4, 9, 3, 2, 5]",1355,904,178954,408156
5,41382,"[4, 9, 3, 2, 7]",1336,898,175277,402753
5,41382,"[4, 9, 3, 2, 8]",1298,852,168025,362526
5,41382,"[4, 9, 3, 2, 6]",1351,888,177580,393828
6,51382,"[4, 9, 3, 2, 5, 6]",1567,989,198831,488566
6,51382,"[4, 9, 3, 2, 1, 6]",1746,1031,244730,530965
6,51382,"[4, 9, 3, 2, 5, 8]",1514,957,189320,457446
6,51382,"[4, 9, 3, 2, 5, 7]",1552,949,193463,449826
5,41388,"[4, 9, 3, 0, 1]",1773,1076,329957,578350
6,51382,"[4, 9, 3, 2, 6, 7]",1548,988,195233,487578
6,51382,"[4, 9, 3, 2, 6, 8]",1510,923,187165,425503
6,51382,"[4, 9, 3, 2, 7, 8]",1495,951,185646,451725
6,51388,"[4, 9, 3, 0, 1, 5]",1989,1118,345293,624403
6,51388,"[4, 9, 3, 0, 1, 7]",1970,1108,342743,613278
6,51388,"[4, 9, 3, 0, 1, 6]",1985,1135,347421,643545
6,51388,"[4, 9, 3, 0, 1, 8]",1932,1110,339528,615495
6,51388,"[4, 9, 3, 0, 5, 6]",1806,1108,308997,613278
6,51388,"[4, 9, 3, 0, 6, 8]",1749,1082,301843,584821
6,51388,"[4, 9, 3, 0, 5, 7]",1791,1059,301751,560211
5,41388,"[4, 9, 3, 0, 6]",1590,1056,292681,557040
6,51388,"[4, 9, 3, 0, 5, 8]",1753,1072,300353,574056
4,31388,"[4, 9, 3, 1]",1150,872,172539,379756
4,31388,"[4, 9, 3, 7]",952,781,118879,304590
6,51388,"[4, 9, 3, 0, 6, 7]",1787,1102,306399,606651
5,41388,"[4, 9, 3, 0, 8]",1537,1022,284014,521731
5,41388,"[4, 9, 3, 0, 7]",1575,1027,287783,526851
5,41388,"[4, 9, 3, 1, 5]",1366,978,193538,477753
6,51388,"[4, 9, 3, 0, 7, 8]",1734,1068,297702,569778
4,31388,"[4, 9, 3, 5]",971,799,122931,318801
5,41388,"[4, 9, 3, 1, 6]",1362,959,191856,459361
6,51382,"[4, 9, 3, 2, 1, 8]",1693,998,235939,497503
6,51388,"[4, 9, 3, 1, 5, 6]",1578,1052,212720,552826
6,51388,"[4, 9, 3, 1, 5, 8]",1525,1023,204315,522753
