subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,2960,[5],198,198,19503,19503
3,13160,"[5, 4, 1]",702,511,76906,130305
2,7360,"[5, 4]",406,306,36081,46665
4,23355,"[5, 4, 2, 3]",844,543,77979,147153
4,19155,"[5, 4, 1, 2]",929,589,95951,173166
4,23160,"[5, 4, 1, 3]",913,568,92566,161028
4,22760,"[5, 4, 1, 6]",837,582,85019,169071
4,21160,"[5, 4, 1, 0]",1011,613,113642,187578
5,28755,"[5, 4, 1, 2, 6]",1064,625,102277,195000
5,27155,"[5, 4, 1, 2, 0]",1238,654,129163,213531
5,29155,"[5, 4, 1, 2, 3]",1140,624,110876,194376
5,30760,"[5, 4, 1, 0, 6]",1146,649,120606,210276
3,13355,"[5, 4, 2]",633,471,60513,110685
3,15360,"[5, 4, 0]",715,493,78262,121278
5,31355,"[5, 4, 2, 0, 3]",1153,608,111695,184528
2,8760,"[5, 1]",494,438,61623,95703
4,26960,"[5, 4, 6, 3]",752,495,62788,122265
3,14755,"[5, 1, 2]",721,540,81424,145530
3,16960,"[5, 4, 6]",541,407,44719,82621
4,24960,"[5, 4, 0, 6]",850,553,85736,152628
3,17360,"[5, 4, 3]",617,413,54360,85078
4,25360,"[5, 4, 0, 3]",926,547,92512,149331
4,22955,"[5, 4, 2, 6]",768,521,67244,135460
4,21355,"[5, 4, 2, 0]",942,576,98180,165600
4,24355,"[5, 1, 2, 6]",856,585,88043,170820
2,8955,"[5, 2]",425,395,44719,77815
5,31160,"[5, 4, 1, 0, 3]",1222,645,125651,207690
4,26760,"[5, 1, 0, 3]",1014,608,113681,184528
4,24755,"[5, 1, 2, 3]",932,594,97893,176121
4,22755,"[5, 1, 2, 0]",1030,628,116504,196878
3,16760,"[5, 1, 0]",803,572,100263,163306
3,18760,"[5, 1, 3]",705,516,78828,132870
5,30955,"[5, 4, 2, 0, 6]",1077,606,103957,183315
4,26360,"[5, 1, 0, 6]",938,623,107559,193753
4,28360,"[5, 1, 6, 3]",840,590,87075,173755
3,18360,"[5, 1, 6]",629,528,70074,139128
2,12560,"[5, 6]",333,321,28482,51360
1,4400,[4],208,208,21528,21528
4,24195,"[4, 1, 2, 0]",1040,635,119189,201295
2,10960,"[5, 0]",507,423,63603,89253
3,18955,"[5, 2, 3]",636,502,63849,125751
3,16955,"[5, 2, 0]",734,529,84269,139656
2,12960,"[5, 3]",409,342,39447,58311
3,18200,"[4, 1, 0]",813,588,103324,172578
3,18555,"[5, 2, 6]",560,457,51746,104196
2,10200,"[4, 1]",504,449,63703,100576
3,16195,"[4, 1, 2]",731,538,83102,144453
3,22560,"[5, 6, 3]",544,445,48216,98790
3,20960,"[5, 0, 3]",718,497,79382,123256
3,20560,"[5, 0, 6]",642,501,71412,125250
4,28555,"[5, 2, 6, 3]",771,551,70687,151525
4,26195,"[4, 1, 2, 3]",942,600,99845,179700
4,30560,"[5, 0, 6, 3]",853,561,86996,157080
4,25795,"[4, 1, 2, 6]",866,579,89483,167331
4,26555,"[5, 2, 0, 6]",869,567,90336,160461
4,26955,"[5, 2, 0, 3]",945,579,99312,167331
1,5800,[1],296,296,43660,43660
4,27800,"[4, 1, 0, 6]",948,627,110338,196251
3,19800,"[4, 1, 6]",639,527,71872,138601
2,14000,"[4, 6]",343,316,30222,49770
2,10395,"[4, 2]",435,394,46359,77421
2,14400,"[4, 3]",419,355,41667,62835
3,24000,"[4, 6, 3]",554,443,50151,97903
2,12400,"[4, 0]",517,447,66699,99681
4,28395,"[4, 2, 0, 3]",955,589,102075,173166
4,29995,"[4, 2, 6, 3]",781,544,72276,147696
2,11795,"[1, 2]",523,418,63851,87153
3,20200,"[4, 1, 3]",715,537,81187,143916
3,22000,"[4, 0, 6]",652,510,74223,129795
2,15400,"[1, 6]",431,398,52177,79003
3,22400,"[4, 0, 3]",728,516,82509,132870
3,21395,"[1, 2, 6]",658,473,70535,111628
4,29800,"[4, 1, 6, 3]",850,599,89152,179101
3,21795,"[1, 2, 3]",734,526,82489,138075
4,27995,"[4, 2, 0, 6]",879,577,92832,166176
3,19995,"[4, 2, 6]",570,449,53145,100576
3,23800,"[1, 0, 3]",816,568,100974,161028
3,18395,"[4, 2, 0]",744,546,87006,148785
2,13800,"[1, 0]",605,499,85681,124251
3,20395,"[4, 2, 3]",646,502,65679,125751
2,15800,"[1, 3]",507,432,63040,93096
3,19795,"[1, 2, 0]",832,570,102302,162165
4,31395,"[1, 2, 6, 3]",869,571,88990,162735
4,28200,"[4, 1, 0, 3]",1024,626,116857,195625
3,25400,"[1, 6, 3]",642,517,71353,133386
4,29795,"[1, 2, 0, 3]",1043,624,116931,194376
3,23400,"[1, 0, 6]",740,558,93037,155403
4,29395,"[1, 2, 0, 6]",967,603,108035,181503
2,15595,"[2, 6]",362,299,32743,44551
2,13995,"[2, 0]",536,440,68677,96580
2,17600,"[0, 6]",444,395,55455,77815
3,27600,"[0, 6, 3]",655,496,72950,122760
3,23595,"[2, 0, 6]",671,484,74803,116886
3,25595,"[2, 6, 3]",573,455,53889,103285
1,5995,[2],227,227,25651,25651
3,23995,"[2, 0, 3]",747,528,85625,139128
1,8000,[0],309,309,47586,47586
1,9600,[6],135,135,9045,9045
1,10000,[3],211,211,22155,22155
2,15995,"[2, 3]",438,397,46986,78606
2,18000,"[0, 3]",520,425,65276,90100
2,19600,"[6, 3]",346,325,30990,52650
