subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
2,15995,"[6, 1]",704,606,126368,183315
1,5995,[6],265,265,34980,34980
3,25959,"[6, 8, 2]",797,685,110811,234270
3,25959,"[6, 8, 1]",877,736,140768,270480
2,15959,"[6, 8]",438,420,49705,87990
2,15995,"[6, 0]",817,737,183896,271216
3,25959,"[6, 8, 9]",599,524,61597,137026
3,25959,"[6, 8, 5]",726,624,89138,194376
3,25959,"[6, 8, 7]",631,565,67567,159330
3,25959,"[6, 8, 3]",781,684,106627,233586
3,25959,"[6, 8, 4]",779,682,106022,232221
3,25995,"[6, 3, 4]",949,813,147838,330078
3,25959,"[6, 8, 0]",990,829,196605,343206
3,25995,"[6, 0, 9]",978,838,195776,350703
3,25995,"[6, 3, 7]",801,684,109647,233586
3,25995,"[6, 0, 1]",1256,942,261072,443211
3,25995,"[6, 0, 3]",1160,921,232266,423660
3,25995,"[6, 0, 7]",1010,816,198223,332520
2,15995,"[6, 2]",624,546,96238,148785
3,25995,"[6, 0, 2]",1176,895,235437,400065
3,25995,"[6, 1, 2]",1063,788,181092,310078
3,25995,"[6, 1, 3]",1047,845,181008,356590
3,25995,"[6, 0, 5]",1105,928,222752,430128
3,25995,"[6, 1, 5]",992,810,165371,327645
3,25995,"[6, 1, 7]",897,751,144202,281625
3,25995,"[6, 1, 4]",1045,846,181248,357435
3,25995,"[6, 1, 9]",865,705,138173,248160
3,25995,"[6, 2, 3]",967,837,154186,349866
3,25995,"[6, 2, 5]",912,751,135591,281625
3,25995,"[6, 2, 9]",785,630,107284,198135
3,25995,"[6, 2, 4]",965,740,147557,273430
1,9964,[8],173,173,14878,14878
3,25995,"[6, 3, 5]",896,764,131564,291466
2,15995,"[6, 7]",458,424,52947,89676
2,15995,"[6, 4]",606,561,91960,157080
3,25995,"[6, 3, 9]",769,674,105014,226801
3,29964,"[8, 2, 3]",875,774,135802,299151
2,15995,"[6, 5]",553,512,75488,130816
3,25995,"[6, 4, 5]",894,746,130329,277885
2,15995,"[6, 9]",426,388,47157,75078
3,25995,"[6, 4, 7]",799,701,109737,245350
3,25995,"[6, 4, 9]",767,646,103054,208335
2,19964,"[8, 0]",725,661,164938,218130
3,25995,"[6, 7, 9]",619,524,64802,137026
3,25995,"[6, 5, 9]",714,602,87071,180901
3,25995,"[6, 5, 7]",746,654,93268,213531
2,19964,"[8, 1]",612,586,110694,171405
3,29964,"[8, 2, 5]",820,709,118060,250986
3,25995,"[6, 0, 4]",1158,964,238254,464166
3,29964,"[8, 0, 1]",1164,907,245891,410871
3,29964,"[8, 0, 3]",1068,825,212285,339900
3,29964,"[8, 0, 2]",1084,864,219179,372816
3,29964,"[8, 1, 2]",971,811,168132,328455
3,29964,"[8, 0, 7]",918,760,179727,288420
3,29964,"[8, 0, 5]",1013,852,203560,362526
2,19964,"[8, 2]",532,514,78986,131841
3,29964,"[8, 1, 3]",955,797,164211,317206
3,29964,"[8, 0, 9]",886,776,177224,300700
3,29964,"[8, 1, 5]",900,776,149360,300700
3,29964,"[8, 0, 4]",1066,901,219650,405450
3,29964,"[8, 1, 4]",953,826,165854,340725
3,29964,"[8, 1, 7]",805,747,128981,278631
3,29964,"[8, 1, 9]",773,696,122897,241860
2,19964,"[8, 3]",516,462,72100,106491
3,29964,"[8, 2, 4]",873,717,130634,256686
2,15995,"[6, 3]",608,583,93333,169653
3,25995,"[6, 2, 7]",817,678,113503,229503
3,29964,"[8, 2, 7]",725,653,96629,212878
3,29964,"[8, 2, 9]",693,602,90390,180901
3,29964,"[8, 3, 4]",857,702,126940,246051
3,29964,"[8, 3, 7]",709,584,88871,170236
3,29964,"[8, 3, 5]",804,648,110147,209628
3,29964,"[8, 3, 9]",677,571,84194,162735
2,19964,"[8, 4]",514,477,72182,113526
1,10000,[0],552,552,152076,152076
2,19964,"[8, 5]",461,414,55125,85491
3,29964,"[8, 4, 7]",707,637,90416,202566
3,29964,"[8, 4, 5]",802,659,110305,216811
2,19964,"[8, 7]",366,351,33301,61425
3,29964,"[8, 4, 9]",675,566,83634,159895
2,19964,"[8, 9]",334,309,27458,47586
3,29964,"[8, 5, 7]",654,573,73358,163878
3,29964,"[8, 5, 9]",622,519,67116,134421
2,20000,"[0, 1]",991,818,233339,334153
3,29964,"[8, 7, 9]",527,462,45556,106491
3,30000,"[0, 1, 9]",1152,930,245547,431985
3,30000,"[0, 1, 2]",1350,987,283271,486591
3,30000,"[0, 1, 5]",1279,997,271433,496506
3,30000,"[0, 1, 7]",1184,913,248086,416328
2,20000,"[0, 2]",911,770,206467,296065
3,30000,"[0, 1, 3]",1334,961,278646,461280
3,30000,"[0, 1, 4]",1332,1027,286557,526851
3,30000,"[0, 2, 3]",1254,955,254781,455535
3,30000,"[0, 2, 5]",1199,959,244994,459361
3,30000,"[0, 2, 4]",1252,955,256414,455535
3,30000,"[0, 2, 7]",1104,841,220566,353220
3,30000,"[0, 2, 9]",1072,860,217874,369370
2,20000,"[0, 3]",895,753,200718,283128
3,30000,"[0, 3, 4]",1236,963,253653,463203
2,20000,"[0, 7]",745,659,166949,216811
3,30000,"[0, 3, 7]",1088,840,214641,352380
2,20000,"[0, 4]",893,820,207418,335790
3,30000,"[0, 3, 5]",1183,928,238193,430128
2,20000,"[0, 5]",840,782,191751,305371
1,10000,[1],439,439,96141,96141
3,30000,"[0, 3, 9]",1056,858,212802,367653
3,30000,"[0, 4, 5]",1181,992,244976,491536
3,30000,"[0, 4, 7]",1086,908,222101,411778
3,30000,"[0, 5, 7]",1033,875,206449,382375
3,30000,"[0, 4, 9]",1054,911,218873,414505
2,20000,"[0, 9]",713,688,164656,236328
2,20000,"[1, 2]",798,682,153732,232221
3,30000,"[0, 5, 9]",1001,886,203739,392055
3,30000,"[0, 7, 9]",906,773,179210,298378
3,30000,"[1, 2, 5]",1086,866,192289,374545
2,20000,"[1, 3]",782,695,151053,241165
3,30000,"[1, 2, 3]",1141,912,208241,415416
3,30000,"[1, 2, 4]",1139,863,203964,371953
3,30000,"[1, 2, 9]",959,767,165058,293761
3,30000,"[1, 2, 7]",991,821,171347,336610
2,20000,"[1, 4]",780,714,151966,254541
3,30000,"[1, 3, 4]",1123,915,204513,418155
3,30000,"[1, 3, 5]",1070,872,188598,379756
3,30000,"[1, 3, 7]",975,816,167795,332520
2,20000,"[1, 5]",727,670,135873,224115
1,10000,[2],359,359,64261,64261
3,30000,"[1, 4, 5]",1068,884,189563,390286
3,30000,"[1, 3, 9]",943,799,163062,318801
3,30000,"[1, 4, 7]",973,872,170169,379756
3,30000,"[1, 4, 9]",941,805,163355,323610
3,30000,"[1, 5, 7]",920,826,154075,340725
2,20000,"[1, 7]",632,615,114533,188805
2,20000,"[1, 9]",600,572,108643,163306
3,30000,"[1, 5, 9]",888,774,147795,299151
3,30000,"[1, 7, 9]",793,722,126710,260281
2,20000,"[2, 3]",702,673,122508,226128
2,20000,"[2, 4]",700,593,116560,175528
3,30000,"[2, 3, 5]",990,845,160382,356590
3,30000,"[2, 3, 4]",1043,842,172337,354061
3,30000,"[2, 3, 7]",895,769,138603,295296
3,30000,"[2, 3, 9]",863,755,133717,284635
3,30000,"[2, 4, 7]",893,733,134139,268278
