subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,5800,[2],339,339,57291,57291
2,11795,"[2, 4]",648,518,96492,133903
2,15800,"[2, 3]",649,576,102558,165600
3,21595,"[2, 4, 0]",1279,893,275259,398278
2,15600,"[2, 0]",970,812,243653,329266
1,5995,[4],309,309,47586,47586
3,21795,"[2, 4, 3]",958,695,138009,241165
3,21795,"[2, 4, 5]",866,634,116446,200661
3,25600,"[2, 0, 3]",1280,921,279384,423660
4,31595,"[2, 4, 0, 3]",1589,958,307360,458403
4,31395,"[2, 4, 0, 1]",1859,992,355576,491536
2,19600,"[0, 1]",1211,824,291984,339076
4,31595,"[2, 4, 0, 5]",1497,944,290908,445096
4,31595,"[2, 4, 1, 5]",1446,894,261878,399171
4,31595,"[2, 4, 1, 3]",1538,913,276784,416328
2,15600,"[2, 1]",919,773,214616,298378
3,21595,"[2, 4, 1]",1228,848,245445,359128
2,15800,"[2, 5]",557,488,78598,118828
2,15795,"[4, 0]",940,813,238350,330078
3,25400,"[2, 0, 1]",1550,944,329857,445096
2,15795,"[4, 1]",889,756,206718,285390
4,31795,"[2, 4, 3, 5]",1176,774,156116,299151
3,25600,"[2, 0, 5]",1188,886,260610,392055
3,25600,"[2, 1, 5]",1137,844,232374,355746
3,25600,"[2, 1, 3]",1229,879,249534,385881
3,25800,"[2, 3, 5]",867,674,121927,226801
3,25795,"[4, 0, 3]",1250,907,272496,410871
1,9800,[0],631,631,198765,198765
3,25795,"[4, 0, 5]",1158,887,255835,392941
3,25595,"[4, 0, 1]",1520,944,325276,445096
3,25795,"[4, 1, 5]",1107,839,225176,351541
2,15995,"[4, 5]",527,469,69586,109746
3,25795,"[4, 1, 3]",1199,847,240066,358281
1,10000,[3],310,310,47895,47895
2,15995,"[4, 3]",619,526,91203,138075
2,20000,"[3, 5]",528,464,69532,107416
1,9800,[1],580,580,167910,167910
3,29600,"[0, 1, 5]",1429,911,308732,414505
3,29600,"[0, 1, 3]",1521,938,323676,439453
2,19800,"[1, 3]",890,745,205365,277140
2,19800,"[0, 5]",849,753,217858,283128
3,25995,"[4, 3, 5]",837,636,111278,201930
3,29800,"[1, 3, 5]",1108,830,223552,344035
2,19800,"[1, 5]",798,713,187993,253828
3,29800,"[0, 3, 5]",1159,873,254224,380628
1,10000,[5],218,218,23653,23653
2,19800,"[0, 3]",941,802,237069,321201
