subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,3250,[8],99,99,4851,4851
2,9245,"[8, 7]",212,207,11169,21321
4,25995,"[8, 7, 5, 1]",586,444,46838,98346
3,15995,"[8, 7, 5]",340,310,19116,47895
4,25895,"[8, 7, 5, 0]",645,489,62433,119316
4,29145,"[8, 7, 0, 4]",659,504,64618,126756
4,25995,"[8, 7, 5, 2]",570,451,43702,101475
3,19145,"[8, 7, 0]",517,434,55758,93961
4,25995,"[8, 7, 5, 6]",456,362,24220,65341
4,25995,"[8, 7, 5, 4]",482,400,28437,79800
4,29145,"[8, 7, 0, 1]",763,532,78527,141246
4,25995,"[8, 7, 5, 3]",554,457,40910,104196
4,29145,"[8, 7, 0, 3]",731,533,74680,141778
3,19245,"[8, 7, 6]",328,268,16354,35778
2,10000,"[8, 5]",227,209,12826,21736
4,29245,"[8, 7, 1, 2]",688,478,61223,114003
3,19245,"[8, 7, 2]",442,397,36980,78606
3,19245,"[8, 7, 1]",458,366,39216,66795
4,29245,"[8, 7, 2, 4]",584,464,45708,107416
4,29145,"[8, 7, 0, 2]",747,556,78809,154290
4,29145,"[8, 7, 0, 6]",633,473,60624,111628
3,19245,"[8, 7, 3]",426,381,33397,72390
4,29245,"[8, 7, 2, 6]",558,435,41728,94395
4,29245,"[8, 7, 1, 3]",672,510,60886,129795
3,19245,"[8, 7, 4]",354,318,20931,50403
4,29245,"[8, 7, 3, 6]",542,421,38141,88410
4,29245,"[8, 7, 1, 6]",574,414,44193,85491
4,29245,"[8, 7, 1, 4]",600,419,46909,87571
4,29245,"[8, 7, 2, 3]",656,516,57268,132870
4,29245,"[8, 7, 4, 6]",470,371,26032,68635
4,29245,"[8, 7, 3, 4]",568,462,42694,106491
3,20000,"[8, 5, 1]",473,372,40983,69006
3,19900,"[8, 5, 0]",532,410,56374,83845
4,29900,"[8, 5, 0, 2]",762,525,78817,137550
4,29900,"[8, 5, 0, 1]",778,510,79244,129795
4,29900,"[8, 5, 0, 6]",648,488,62629,118828
4,29900,"[8, 5, 0, 4]",674,482,64926,115921
4,30000,"[8, 5, 1, 4]",615,418,48318,87153
4,30000,"[8, 5, 1, 3]",687,517,62743,133386
3,23250,"[8, 1, 6]",461,380,39750,72010
4,30000,"[8, 5, 1, 2]",703,473,62331,111628
3,20000,"[8, 5, 2]",457,381,37908,72390
2,13150,"[8, 0]",404,348,49671,60378
3,20000,"[8, 5, 6]",343,311,19405,48205
4,30000,"[8, 5, 1, 6]",589,452,47309,101926
3,20000,"[8, 5, 4]",369,311,22225,48205
3,20000,"[8, 5, 3]",441,386,35147,74305
2,13250,"[8, 1]",345,287,33333,41041
3,23150,"[8, 0, 2]",634,496,73203,122760
4,30000,"[8, 5, 3, 6]",557,457,41230,104196
4,30000,"[8, 5, 2, 6]",573,457,44032,104196
4,30000,"[8, 5, 2, 3]",671,506,58307,127765
2,13250,"[8, 2]",329,321,31158,51360
3,23150,"[8, 0, 1]",650,469,72860,109746
3,23150,"[8, 0, 6]",520,438,56016,95703
4,30000,"[8, 5, 4, 6]",485,398,28699,79003
3,23150,"[8, 0, 3]",618,472,69105,111156
4,30000,"[8, 5, 3, 4]",583,459,44082,105111
3,23250,"[8, 1, 2]",575,424,55815,89676
4,29900,"[8, 5, 0, 3]",746,519,75452,134421
3,23250,"[8, 1, 4]",487,350,41103,61075
3,23150,"[8, 0, 4]",546,430,58609,92235
3,23250,"[8, 1, 3]",559,459,55527,105111
4,30000,"[8, 5, 2, 4]",599,441,46278,97020
3,23250,"[8, 2, 3]",543,466,51963,108345
3,23250,"[8, 2, 4]",471,398,39963,79003
1,5995,[7],113,113,6328,6328
3,23250,"[8, 3, 4]",455,396,36981,78210
2,13250,"[8, 3]",313,304,27606,46056
3,23250,"[8, 4, 6]",357,323,21256,52003
2,13250,"[8, 6]",215,215,11521,11521
2,13250,"[8, 4]",241,222,14691,24531
3,23250,"[8, 3, 6]",429,388,33780,75078
3,23250,"[8, 2, 6]",445,406,37363,82215
2,12745,"[7, 5]",241,233,14428,27028
2,15895,"[7, 0]",418,396,52457,78210
3,25995,"[7, 1, 3]",573,479,57733,114481
3,22645,"[7, 5, 0]",546,465,59282,107880
2,15995,"[7, 1]",359,329,36028,53956
3,22745,"[7, 5, 6]",357,285,19532,40470
3,22745,"[7, 5, 2]",471,382,39042,72771
3,25895,"[7, 0, 4]",560,482,61487,115921
3,22745,"[7, 5, 4]",383,330,23865,54285
2,15995,"[7, 6]",229,174,11513,15051
2,15995,"[7, 2]",343,311,32167,48205
3,25895,"[7, 0, 6]",534,435,57323,94395
3,25895,"[7, 0, 3]",632,501,71414,125250
3,22745,"[7, 5, 3]",455,385,36256,73920
3,22745,"[7, 5, 1]",487,423,43803,89253
3,25995,"[7, 2, 3]",557,434,52487,93961
3,25895,"[7, 0, 2]",648,525,75536,137550
3,25995,"[7, 1, 6]",475,377,41005,70876
3,25895,"[7, 0, 1]",664,505,75844,127260
3,25995,"[7, 1, 4]",501,395,43882,77815
3,25995,"[7, 1, 2]",589,446,58060,99235
2,15995,"[7, 3]",327,294,28591,43071
3,25995,"[7, 2, 4]",485,396,41066,78210
1,6750,[5],128,128,8128,8128
3,25995,"[7, 3, 6]",443,334,33335,55611
2,15995,"[7, 4]",255,242,16261,29161
3,25995,"[7, 4, 6]",371,295,21362,43365
3,25995,"[7, 2, 6]",459,349,36915,60726
3,25995,"[7, 3, 4]",469,393,38059,77028
