subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,9200,[0],413,413,85078,85078
3,29160,"[0, 5, 2]",872,621,125664,192510
2,19164,"[0, 5]",590,516,97953,132870
4,39164,"[0, 5, 3, 4]",1096,684,144344,233586
4,39160,"[0, 5, 2, 1]",1272,707,173138,249571
3,29164,"[0, 5, 3]",846,627,123401,196251
3,29164,"[0, 5, 1]",990,638,149810,203203
4,39160,"[0, 5, 2, 3]",1128,687,147875,235641
1,9964,[5],177,177,15576,15576
4,39164,"[0, 5, 1, 3]",1246,719,172734,258121
4,39164,"[0, 5, 1, 4]",1240,705,169494,248160
4,39160,"[0, 5, 2, 4]",1122,671,146302,224785
5,49160,"[0, 5, 2, 3, 4]",1378,722,166668,260281
5,49160,"[0, 5, 2, 1, 3]",1528,757,192916,286146
5,49160,"[0, 5, 2, 1, 4]",1522,745,190560,277140
5,49164,"[0, 5, 1, 3, 4]",1496,760,190419,288420
3,29164,"[0, 5, 4]",840,608,120931,184528
2,19200,"[0, 1]",813,599,142087,179101
3,29196,"[0, 2, 1]",1095,679,165895,230181
3,29196,"[0, 2, 3]",951,636,136104,201930
2,19200,"[0, 4]",663,543,109063,147153
2,19200,"[0, 3]",669,553,111048,152628
3,29196,"[0, 2, 4]",945,627,135009,196251
4,39196,"[0, 2, 1, 3]",1351,736,186021,270480
4,39196,"[0, 2, 1, 4]",1345,728,184083,264628
4,39196,"[0, 2, 3, 4]",1201,698,155879,243253
3,29200,"[0, 3, 4]",919,642,132983,205761
3,29200,"[0, 1, 3]",1069,690,165362,237705
3,29200,"[0, 1, 4]",1063,682,162547,232221
5,49196,"[0, 2, 1, 3, 4]",1601,773,202385,298378
4,39200,"[0, 1, 3, 4]",1319,741,183808,274170
3,29960,"[5, 2, 1]",859,611,121703,186355
5,49960,"[5, 2, 1, 3, 4]",1365,733,167347,268278
2,19196,"[0, 2]",695,544,113374,147696
4,39960,"[5, 2, 1, 3]",1115,698,146734,243253
3,29964,"[5, 3, 4]",683,539,75308,144991
3,29960,"[5, 2, 3]",715,557,82496,154846
2,19964,"[5, 1]",577,464,89048,107416
4,39964,"[5, 1, 3, 4]",1083,697,141207,242556
2,19960,"[5, 2]",459,423,54567,89253
1,9996,[2],282,282,39621,39621
4,39960,"[5, 2, 3, 4]",965,647,107615,208981
4,39960,"[5, 2, 1, 4]",1109,682,144560,232221
2,19964,"[5, 4]",427,381,45666,72390
2,19964,"[5, 3]",433,400,47688,79800
3,29960,"[5, 2, 4]",709,558,81966,155403
3,29964,"[5, 1, 3]",833,626,118171,195625
2,19996,"[2, 4]",532,458,68045,104653
3,29996,"[2, 3, 4]",788,571,94204,162735
2,19996,"[2, 1]",682,568,112980,161028
2,20000,"[1, 4]",650,551,106074,151525
1,10000,[3],256,256,32640,32640
2,19996,"[2, 3]",538,446,68075,99235
3,29996,"[2, 1, 3]",938,666,138365,221445
1,10000,[4],250,250,31125,31125
1,10000,[1],400,400,79800,79800
2,20000,"[1, 3]",656,576,109280,165600
3,29996,"[2, 1, 4]",932,658,136631,216153
3,29964,"[5, 1, 4]",827,591,114518,174345
4,39996,"[2, 1, 3, 4]",1188,714,159757,254541
3,30000,"[1, 3, 4]",906,665,133105,220780
2,20000,"[3, 4]",506,435,61280,94395
