subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,4600,[1],216,216,23220,23220
2,10595,"[1, 4]",259,246,24045,30135
3,20045,"[1, 4, 2]",466,314,38211,49141
4,30035,"[1, 4, 2, 0]",735,375,56319,70125
5,40035,"[1, 4, 2, 0, 3]",799,389,57586,75466
5,40035,"[1, 4, 2, 0, 5]",777,393,57013,77028
4,30045,"[1, 4, 2, 3]",530,336,39774,56280
5,40045,"[1, 4, 2, 3, 5]",572,345,40379,59340
5,40035,"[1, 4, 2, 0, 7]",758,390,56559,75855
5,40045,"[1, 4, 2, 3, 6]",557,344,40023,58996
5,40045,"[1, 4, 2, 3, 7]",553,345,39965,59340
5,40035,"[1, 4, 2, 0, 6]",762,388,56599,75078
5,40045,"[1, 4, 2, 5, 6]",535,341,39202,57970
5,40585,"[1, 4, 0, 3, 5]",634,376,49966,70500
5,40045,"[1, 4, 2, 5, 7]",531,343,39152,58653
4,30045,"[1, 4, 2, 5]",508,338,38984,56953
4,30045,"[1, 4, 2, 6]",493,327,38495,53301
4,30045,"[1, 4, 2, 7]",489,332,38457,54946
5,40585,"[1, 4, 0, 6, 7]",578,369,48400,67896
5,40045,"[1, 4, 2, 6, 7]",516,336,38696,56280
3,20585,"[1, 4, 0]",528,342,47859,58311
4,30585,"[1, 4, 0, 5]",570,364,48611,66066
5,40585,"[1, 4, 0, 3, 7]",615,374,49561,69751
5,40585,"[1, 4, 0, 5, 6]",597,373,48885,69378
3,20595,"[1, 4, 5]",301,278,24882,38503
3,20595,"[1, 4, 6]",286,270,24395,36315
4,30595,"[1, 4, 3, 6]",350,299,26178,44551
5,40595,"[1, 4, 5, 6, 7]",351,296,25316,43660
5,40595,"[1, 4, 3, 5, 7]",388,303,26673,45753
4,30595,"[1, 4, 5, 6]",328,291,25166,42195
5,40595,"[1, 4, 3, 6, 7]",373,302,26331,45451
4,30595,"[1, 4, 5, 7]",324,286,25056,40755
4,30595,"[1, 4, 6, 7]",309,281,24602,39340
5,40585,"[1, 4, 0, 5, 7]",593,368,48779,67528
4,30585,"[1, 4, 0, 3]",592,366,49370,66795
4,30585,"[1, 4, 0, 6]",555,362,48199,65341
2,14050,"[1, 2]",423,305,37638,46360
5,40585,"[1, 4, 0, 3, 6]",619,376,49665,70500
5,40595,"[1, 4, 3, 5, 6]",392,305,26781,46360
3,20595,"[1, 4, 3]",323,285,25873,40470
4,34040,"[1, 2, 0, 6]",719,385,56246,73920
4,34040,"[1, 2, 0, 3]",756,386,57260,74305
4,30585,"[1, 4, 0, 7]",551,359,48105,64261
4,30595,"[1, 4, 3, 5]",365,299,26539,44551
3,24050,"[1, 2, 3]",487,332,39235,54946
4,34040,"[1, 2, 0, 5]",734,390,56661,75855
4,34040,"[1, 2, 0, 7]",715,386,56205,74305
4,34050,"[1, 2, 3, 7]",510,341,39426,57970
4,30595,"[1, 4, 3, 7]",346,296,26070,43660
4,34050,"[1, 2, 3, 5]",529,342,39842,58311
4,34050,"[1, 2, 3, 6]",514,341,39485,57970
4,34050,"[1, 2, 5, 6]",492,333,38632,55278
3,24050,"[1, 2, 6]",450,319,37923,50721
3,20595,"[1, 4, 7]",282,267,24297,35511
3,24040,"[1, 2, 0]",692,371,55965,68635
2,14590,"[1, 0]",485,330,47331,54285
3,24050,"[1, 2, 5]",465,330,38413,54285
4,34050,"[1, 2, 6, 7]",473,328,38124,53628
3,24050,"[1, 2, 7]",446,323,37884,52003
4,34050,"[1, 2, 5, 7]",488,335,38581,55945
2,14600,"[1, 3]",280,262,25083,34191
4,34590,"[1, 0, 3, 5]",591,370,49470,68265
3,24590,"[1, 0, 3]",549,357,48871,63546
1,5995,[4],43,43,903,903
4,34590,"[1, 0, 5, 6]",554,365,48361,66430
2,14600,"[1, 5]",258,251,24060,31375
2,14600,"[1, 6]",243,242,23571,29161
3,24600,"[1, 6, 7]",266,253,23778,31878
4,34590,"[1, 0, 3, 6]",576,369,49167,67896
3,24600,"[1, 3, 6]",307,278,25389,38503
