subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
4,248748,"[9, 5, 11, 6]",780,691,94677,238395
1,35950,[9],125,125,7750,7750
2,73950,"[9, 1]",978,943,370533,444153
2,145950,"[9, 8]",302,287,23221,41041
3,126450,"[9, 1, 5]",1280,1117,410019,623286
2,88450,"[9, 5]",427,402,52901,80601
2,97000,"[9, 11]",195,191,10159,18145
2,135198,"[9, 6]",408,397,47598,78606
3,183950,"[9, 1, 8]",1155,1074,385477,576201
3,221564,"[9, 1, 7]",1195,1035,387563,535095
3,135000,"[9, 1, 11]",1048,971,372239,470935
3,173198,"[9, 1, 6]",1261,1165,409156,678030
3,267640,"[9, 5, 12]",494,460,55076,105570
4,187500,"[9, 1, 5, 11]",1350,1140,411650,649230
3,244614,"[9, 11, 7]",412,393,33514,77028
3,236091,"[9, 1, 0]",1979,1682,843079,1413721
3,236064,"[9, 5, 7]",644,576,75824,165600
3,149500,"[9, 5, 11]",497,450,55157,101025
3,207000,"[9, 11, 8]",372,351,25629,61425
4,225698,"[9, 1, 5, 6]",1563,1318,448345,867903
3,196248,"[9, 11, 6]",478,455,49979,103285
3,259141,"[9, 11, 0]",1196,1158,510191,669903
4,245000,"[9, 1, 11, 8]",1225,1100,387182,604450
3,253140,"[9, 1, 12]",1045,983,372419,482653
3,276190,"[9, 11, 12]",262,247,12325,30381
3,187698,"[9, 5, 6]",710,650,92449,210925
3,198450,"[9, 5, 8]",604,552,68294,152076
4,236450,"[9, 1, 5, 8]",1457,1236,424885,763230
4,274064,"[9, 1, 5, 7]",1497,1184,426624,700336
3,250591,"[9, 5, 0]",1428,1322,551361,873181
4,234248,"[9, 1, 11, 6]",1331,1186,410834,702705
2,183564,"[9, 7]",342,329,31108,53956
2,215140,"[9, 12]",192,191,9961,18145
3,245198,"[9, 6, 8]",585,497,60930,123256
1,38000,[1],853,853,363378,363378
4,259500,"[9, 5, 11, 8]",674,598,70549,178503
2,198091,"[9, 0]",1126,1095,507785,598965
2,272950,"[9, 3]",549,529,97236,139656
2,90500,"[1, 5]",1155,1048,403158,548628
1,52500,[5],302,302,45451,45451
2,99050,"[1, 11]",923,885,365090,391170
2,148000,"[1, 8]",1030,997,378426,496506
2,137248,"[1, 6]",1136,1086,402056,589155
3,209050,"[1, 11, 8]",1100,1027,380137,526851
2,200141,"[1, 0]",1854,1619,836383,1309771
3,200500,"[1, 5, 8]",1332,1179,418128,694431
3,151550,"[1, 5, 11]",1225,1075,404795,577275
2,113550,"[5, 11]",372,354,47713,62481
3,189748,"[1, 5, 6]",1438,1259,441539,791911
3,238114,"[1, 5, 7]",1372,1127,419841,634501
3,269690,"[1, 5, 12]",1222,1081,405008,583740
2,185614,"[1, 7]",1070,957,380486,457446
3,252641,"[1, 5, 0]",2156,1767,874612,1560261
3,198298,"[1, 11, 6]",1206,1111,403740,616605
3,261191,"[1, 11, 0]",1924,1648,838092,1357128
3,247248,"[1, 6, 8]",1313,1167,414962,680361
2,217190,"[1, 12]",920,894,365264,399171
3,246664,"[1, 11, 7]",1140,986,382195,485605
2,275000,"[1, 3]",1277,1187,449049,703891
3,278240,"[1, 11, 12]",990,922,366946,424581
4,250798,"[1, 5, 11, 6]",1508,1280,443148,818560
3,212798,"[5, 11, 6]",655,605,87288,182710
4,261550,"[1, 5, 11, 8]",1402,1204,419764,724206
1,237000,[3],424,424,89676,89676
3,223550,"[5, 11, 8]",549,516,63210,132870
2,151748,"[5, 6]",585,560,85054,156520
2,162500,"[5, 8]",479,466,60949,108345
1,61050,[11],70,70,2415,2415
3,261748,"[5, 6, 8]",762,663,98417,219453
3,261164,"[5, 11, 7]",589,538,70711,144453
3,275691,"[5, 11, 0]",1373,1295,546614,837865
2,261389,"[6, 0]",1284,1227,538807,752151
2,200114,"[5, 7]",519,489,68452,119316
2,223191,"[11, 0]",1071,1068,502912,569778
1,99248,[6],283,283,39903,39903
2,246862,"[6, 7]",500,465,62744,107880
2,231690,"[5, 12]",369,360,47626,64620
2,214641,"[5, 0]",1303,1246,544355,775635
1,110000,[8],177,177,15576,15576
1,147614,[7],217,217,23436,23436
2,160298,"[11, 6]",353,345,42290,59340
1,179190,[12],67,67,2211,2211
1,278628,[10],95,95,4465,4465
2,208664,"[11, 7]",287,284,25848,40186
1,162141,[0],1001,1001,500500,500500
1,280260,[2],790,790,311655,311655
2,240240,"[11, 12]",137,127,4581,8001
3,270298,"[11, 6, 8]",530,455,55720,103285
1,280350,[4],391,391,76245,76245
2,171050,"[11, 8]",247,245,17990,29890
2,209248,"[6, 8]",460,394,53334,77421
2,272141,"[8, 0]",1178,1139,515335,648091
2,278438,"[6, 12]",350,344,42099,58996
2,257614,"[8, 7]",394,374,38822,69751
