subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
3,26664,"[2, 6, 5]",1496,1218,381395,741153
1,7500,[2],679,679,230181,230181
1,9200,[6],393,393,77028,77028
2,16700,"[2, 6]",1072,983,303293,482653
2,17005,"[2, 1]",1460,1092,467243,595686
3,26205,"[2, 6, 1]",1853,1302,532600,846951
3,28680,"[6, 1, 3]",1816,1486,566764,1103355
3,26675,"[2, 6, 3]",1714,1440,499759,1036080
3,26700,"[2, 6, 7]",1454,1234,371229,760761
3,26700,"[2, 6, 4]",1660,1404,467995,984906
3,26700,"[2, 6, 0]",1906,1461,612883,1066530
2,17500,"[2, 0]",1513,1268,547652,803278
2,17475,"[2, 3]",1321,1211,429947,732655
2,18705,"[6, 1]",1174,1044,373233,544446
2,17500,"[2, 4]",1267,1163,397403,675703
3,26980,"[2, 1, 3]",2102,1526,658630,1163575
3,27005,"[2, 1, 4]",2048,1515,630256,1146855
2,17500,"[2, 7]",1061,976,299382,475800
3,26969,"[2, 1, 5]",1884,1280,536504,818560
3,27005,"[2, 1, 7]",1842,1310,530914,857395
3,27005,"[2, 1, 0]",2294,1504,746305,1130256
3,27475,"[2, 3, 7]",1703,1433,495698,1026028
3,27475,"[2, 3, 4]",1909,1416,552529,1001820
3,27475,"[2, 3, 0]",2155,1653,734629,1365378
3,27500,"[2, 4, 7]",1649,1407,465067,989121
3,27500,"[2, 0, 7]",1895,1427,603536,1017451
3,27464,"[2, 5, 7]",1485,1218,378081,741153
3,27439,"[2, 5, 3]",1745,1413,504974,997578
3,27500,"[2, 0, 4]",2101,1647,707524,1355481
3,27464,"[2, 5, 4]",1691,1378,474047,948753
3,27464,"[2, 5, 0]",1937,1472,622718,1082656
2,17464,"[2, 5]",1103,962,309987,462241
3,28705,"[6, 1, 0]",2008,1484,666669,1100386
3,28669,"[6, 1, 5]",1598,1261,448644,794430
3,29164,"[6, 5, 0]",1651,1373,499380,941878
2,19164,"[6, 5]",817,757,164934,286146
1,9505,[1],781,781,304590,304590
3,28705,"[6, 1, 4]",1762,1465,538315,1072380
3,28705,"[6, 1, 7]",1556,1277,438800,814726
2,19175,"[6, 3]",1035,953,279468,453628
3,29139,"[6, 5, 3]",1459,1226,362460,750925
2,19200,"[6, 0]",1227,1100,416388,604450
2,19200,"[6, 4]",981,909,247050,412686
2,19200,"[6, 7]",775,724,148524,261726
2,19469,"[1, 5]",1205,1046,381705,546535
3,29164,"[6, 5, 7]",1199,1043,235305,543403
3,29164,"[6, 5, 4]",1405,1206,331807,726615
3,29175,"[6, 3, 4]",1623,1190,404850,707455
3,29200,"[6, 0, 4]",1815,1498,578917,1121253
3,29175,"[6, 3, 0]",1869,1515,606068,1146855
3,29175,"[6, 3, 7]",1417,1204,347484,724206
3,29200,"[6, 4, 7]",1363,1187,317009,703891
2,19505,"[1, 0]",1615,1309,605286,856086
2,19480,"[1, 3]",1423,1288,501306,828828
3,29200,"[6, 0, 7]",1609,1288,474442,828828
3,29480,"[1, 3, 0]",2257,1683,789500,1415403
3,29469,"[1, 5, 0]",2039,1500,677776,1124250
3,29469,"[1, 5, 4]",1793,1460,546114,1065070
3,29469,"[1, 5, 7]",1587,1281,447408,819840
3,29480,"[1, 3, 4]",2011,1496,624274,1118260
3,29444,"[1, 5, 3]",1847,1467,573562,1075311
3,29480,"[1, 3, 7]",1805,1485,564632,1101870
3,29505,"[1, 0, 4]",2203,1695,765621,1435665
1,9964,[5],424,424,89676,89676
1,10000,[7],382,382,72771,72771
2,19505,"[1, 4]",1369,1269,472218,804546
3,29964,"[5, 4, 7]",1394,1214,329127,736291
3,29505,"[1, 0, 7]",1997,1457,659228,1060696
2,19505,"[1, 7]",1163,1053,371366,553878
3,30000,"[0, 4, 7]",1804,1469,570017,1078246
2,19939,"[5, 3]",1066,966,290487,466095
2,19975,"[3, 0]",1476,1315,540242,863955
3,29939,"[5, 3, 0]",1900,1558,620189,1212903
3,29505,"[1, 4, 7]",1751,1488,537457,1106328
1,9975,[3],642,642,205761,205761
1,10000,[0],834,834,347361,347361
2,19964,"[5, 0]",1258,1158,432087,669903
2,19975,"[3, 4]",1230,930,333489,431985
2,19964,"[5, 4]",1012,931,259014,432915
2,19964,"[5, 7]",806,758,161319,286903
1,10000,[4],588,588,172578,172578
3,29975,"[3, 4, 7]",1612,1198,401559,717003
3,29939,"[5, 3, 4]",1654,1202,415381,721801
3,29939,"[5, 3, 7]",1448,1219,358647,742371
3,29975,"[3, 0, 4]",2064,1522,661328,1157481
2,20000,"[0, 4]",1422,1299,512436,843051
3,29964,"[5, 0, 4]",1846,1545,593925,1192740
2,19975,"[3, 7]",1024,940,275046,441330
3,29964,"[5, 0, 7]",1640,1344,490188,902496
3,29975,"[3, 0, 7]",1858,1473,596157,1084128
2,20000,"[0, 7]",1216,1050,406437,550725
2,20000,"[4, 7]",970,914,243809,417241
