subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,5995,[5],257,257,32896,32896
2,15645,"[5, 4]",655,563,107713,158203
1,9650,[4],398,398,79003,79003
3,25445,"[5, 4, 1]",1278,989,290065,488566
3,25445,"[5, 4, 0]",1314,915,291327,418155
2,15795,"[5, 0]",916,803,243379,322003
3,25445,"[5, 4, 3]",1132,911,216679,414505
4,35245,"[5, 4, 0, 3]",1791,1124,388859,631126
2,15995,"[5, 2]",771,680,160642,230860
2,15795,"[5, 1]",880,776,221293,300700
2,15795,"[5, 3]",734,671,144469,224785
4,35245,"[5, 4, 0, 1]",1937,1136,446403,644680
4,35445,"[5, 4, 3, 2]",1646,1064,319548,565516
4,35445,"[5, 4, 0, 2]",1828,1032,359452,531996
3,25595,"[5, 0, 1]",1539,1099,404347,603351
3,25645,"[5, 4, 2]",1169,810,216011,327645
4,35445,"[5, 4, 1, 2]",1792,1069,378551,570846
3,25795,"[5, 0, 2]",1430,954,320941,454581
4,35245,"[5, 4, 1, 3]",1755,1070,335899,571915
3,25595,"[5, 1, 3]",1357,876,268653,383250
3,25795,"[5, 1, 2]",1394,1011,329017,510555
3,25795,"[5, 3, 2]",1248,992,266758,491536
3,25595,"[5, 0, 3]",1393,1069,343482,570846
5,45245,"[5, 4, 0, 1, 2]",2451,1169,498119,682696
5,45045,"[5, 4, 0, 1, 3]",2414,1196,487706,714610
5,45245,"[5, 4, 0, 3, 2]",2305,1161,451646,673380
4,35395,"[5, 0, 1, 3]",2016,1169,447140,682696
4,35595,"[5, 0, 1, 2]",2053,1145,465290,654940
5,45245,"[5, 4, 1, 3, 2]",2269,1135,422037,643545
4,35595,"[5, 0, 3, 2]",1907,1132,415678,640146
4,35595,"[5, 1, 3, 2]",1871,1088,374001,591328
5,45395,"[5, 0, 1, 3, 2]",2530,1206,505798,726615
2,19450,"[4, 0]",1057,821,268084,336610
2,19450,"[4, 1]",1021,909,266540,412686
3,29450,"[4, 1, 2]",1535,1044,358790,544446
3,29250,"[4, 0, 1]",1680,1115,428279,621055
3,29600,"[0, 1, 2]",1796,1122,446853,628881
1,9800,[0],659,659,216811,216811
4,39050,"[4, 0, 1, 3]",2157,1179,470380,694431
1,9800,[1],623,623,193753,193753
2,19450,"[4, 3]",875,802,189901,321201
3,29450,"[4, 0, 2]",1571,957,338875,457446
3,29250,"[4, 0, 3]",1534,1082,367542,584821
1,9800,[3],477,477,113526,113526
2,19600,"[0, 3]",1136,984,318861,483636
1,10000,[2],514,514,131841,131841
2,19600,"[0, 1]",1282,1047,383069,547581
2,19650,"[4, 2]",912,713,191143,253828
3,29250,"[4, 1, 3]",1498,998,313178,497503
4,39400,"[0, 1, 3, 2]",2273,1191,488177,708645
4,39250,"[4, 0, 1, 2]",2194,1154,482583,665281
4,39250,"[4, 0, 3, 2]",2048,1135,432992,643545
4,39250,"[4, 1, 3, 2]",2012,1115,403077,621055
2,19800,"[0, 2]",1173,852,297292,362526
3,29600,"[1, 3, 2]",1614,1025,351300,524800
2,19800,"[3, 2]",991,886,239907,392055
2,19800,"[1, 2]",1137,936,305494,437580
2,19600,"[1, 3]",1100,738,241938,271953
3,29450,"[4, 3, 2]",1389,1020,296609,519690
5,49050,"[4, 0, 1, 3, 2]",2671,1214,522424,736291
3,29600,"[0, 3, 2]",1650,1086,393973,589155
3,29400,"[0, 1, 3]",1759,1128,426681,635628
