subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,18600,[5],264,264,34716,34716
1,20000,[7],138,138,9453,9453
1,294200,[6],140,140,9730,9730
1,139000,[4],366,366,66795,66795
1,314999,[3],405,405,81810,81810
2,38600,"[5, 7]",402,368,43608,67528
1,317070,[2],433,433,93528,93528
2,157600,"[5, 4]",630,577,100133,166176
1,317070,[0],451,451,101475,101475
2,312800,"[5, 6]",404,378,44121,71253
2,159000,"[7, 4]",504,474,75813,112101
2,314200,"[7, 6]",278,257,18973,32896
1,317000,[1],448,448,100128,100128
3,177600,"[5, 7, 4]",768,654,108593,213531
