subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
2,19350,"[0, 3]",887,747,188241,278631
1,9350,[0],485,485,117370,117370
2,19340,"[0, 1]",915,788,201604,310078
1,9990,[1],430,430,92235,92235
2,19340,"[0, 2]",905,773,196714,298378
2,19340,"[0, 6]",814,731,167923,266815
2,19990,"[1, 3]",832,730,167685,266085
3,29330,"[0, 1, 6]",1244,878,237415,385003
3,29340,"[0, 1, 5]",1253,1036,255488,536130
3,29340,"[0, 1, 4]",1291,931,255662,432915
3,29340,"[0, 6, 3]",1216,950,237289,450775
3,29340,"[0, 1, 3]",1317,966,267477,466095
3,29330,"[0, 2, 6]",1234,862,230939,371091
3,29340,"[0, 2, 3]",1307,982,265412,481671
2,19350,"[0, 4]",861,707,176089,249571
3,29340,"[0, 6, 4]",1190,916,225421,419070
2,19350,"[0, 5]",823,746,171397,277885
2,19980,"[1, 2]",850,595,147840,176715
3,29340,"[0, 6, 5]",1152,978,221747,477753
3,29330,"[0, 1, 2]",1335,883,250454,389403
2,19980,"[1, 6]",759,586,131313,171405
3,29340,"[0, 2, 4]",1281,950,253768,450775
3,29340,"[0, 2, 5]",1243,1015,250456,514605
3,29980,"[1, 2, 3]",1252,854,221363,364231
3,29350,"[0, 3, 5]",1225,964,240530,464166
3,29350,"[0, 4, 5]",1199,915,227678,418155
3,29350,"[0, 3, 4]",1263,844,231710,355746
3,29970,"[1, 2, 6]",1179,699,178780,243951
3,29980,"[1, 2, 5]",1188,896,204355,400960
3,29980,"[1, 2, 4]",1226,831,211890,344865
3,29980,"[1, 6, 3]",1161,840,205222,352380
3,29980,"[2, 6, 3]",1151,854,202075,364231
1,9990,[2],420,420,87990,87990
3,29990,"[1, 3, 4]",1208,865,217217,373680
3,29990,"[1, 3, 5]",1170,988,222594,487578
2,19990,"[1, 4]",806,707,157884,249571
1,10000,[5],338,338,56953,56953
2,19990,"[1, 5]",768,750,149035,280875
3,29990,"[6, 3, 4]",1107,828,185220,342378
2,19990,"[2, 3]",822,754,166313,283881
1,9990,[6],329,329,53956,53956
3,29990,"[1, 4, 5]",1144,957,212059,457446
1,10000,[3],402,402,80601,80601
2,19980,"[2, 6]",749,566,125293,159895
3,29990,"[2, 3, 4]",1198,897,218089,401856
2,19990,"[2, 4]",796,736,156720,270480
3,29980,"[1, 6, 4]",1135,819,195664,334971
3,29980,"[1, 6, 5]",1097,888,187888,393828
2,20000,"[4, 5]",714,641,124825,205120
1,10000,[4],376,376,70500,70500
3,29980,"[2, 6, 5]",1087,862,181725,371091
3,29980,"[2, 6, 4]",1125,837,192718,349866
2,19990,"[6, 5]",667,645,110678,207690
2,19990,"[2, 5]",758,733,144643,268278
2,19990,"[6, 3]",731,674,132961,226801
2,19990,"[6, 4]",705,653,123130,212878
3,29990,"[2, 4, 5]",1134,980,210751,479710
2,20000,"[3, 4]",778,593,134081,175528
2,20000,"[3, 5]",740,678,135663,229503
3,29990,"[6, 3, 5]",1069,928,187792,430128
3,29990,"[2, 3, 5]",1160,1006,221075,505515
3,29990,"[6, 4, 5]",1043,901,177234,405450
3,30000,"[3, 4, 5]",1116,832,187145,345696
