subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,75000,[3],524,524,137026,137026
1,10000,[5],382,382,72771,72771
1,355000,[7],281,281,39340,39340
1,92800,[8],273,273,37128,37128
1,175000,[1],739,739,272691,272691
2,85000,"[5, 3]",906,767,200206,293761
2,360000,"[5, 2]",1112,1080,338360,582660
2,102800,"[5, 8]",655,626,109493,195625
2,360000,"[5, 6]",761,682,141321,232221
3,277800,"[5, 8, 1]",1394,1182,371781,697971
2,430000,"[3, 7]",805,787,176213,309291
2,442800,"[8, 6]",652,620,108263,191890
2,267800,"[8, 1]",1012,954,308166,454581
2,167800,"[3, 8]",797,628,159958,196878
2,365000,"[5, 7]",663,633,111676,200028
3,177800,"[5, 3, 8]",1179,851,222768,361675
2,185000,"[5, 1]",1121,988,336684,487578
2,445000,"[5, 0]",1168,1034,372365,534061
2,447800,"[8, 7]",554,545,76432,148240
3,452800,"[5, 8, 2]",1385,1303,374746,848253
2,425000,"[3, 6]",903,839,206641,351541
2,250000,"[3, 1]",1263,1159,404361,671061
3,440000,"[5, 3, 7]",1187,1002,238959,501501
2,425000,"[3, 2]",1254,1208,402076,729028
3,435000,"[5, 3, 6]",1285,1016,266818,515620
3,435000,"[5, 3, 2]",1636,1427,464788,1017451
2,442800,"[8, 2]",1003,976,302862,475800
3,452800,"[5, 8, 6]",1034,904,177592,408156
3,260000,"[5, 3, 1]",1645,1281,458829,819840
4,352800,"[5, 3, 8, 1]",1918,1330,479901,883785
1,457000,[4],425,425,90100,90100
3,342800,"[3, 8, 1]",1536,1222,425776,746031
1,435000,[0],786,786,308505,308505
1,350000,[2],730,730,266085,266085
1,350000,[6],379,379,71631,71631
