subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,10000,[2],433,433,93528,93528
4,120000,"[2, 6, 0, 8]",1401,929,278071,431056
2,20000,"[2, 6]",708,612,126643,186966
3,35000,"[2, 6, 0]",1333,900,276277,404550
5,220000,"[2, 6, 0, 8, 3]",1780,1097,335110,601156
5,260000,"[2, 6, 0, 8, 4]",1723,1038,315174,538203
5,315000,"[2, 6, 0, 3, 7]",1934,1140,352363,649230
4,124900,"[2, 6, 0, 1]",1845,1130,380820,637885
5,209900,"[2, 6, 0, 8, 1]",1913,1136,381848,644680
6,349900,"[2, 6, 0, 8, 1, 4]",2235,1166,403908,679195
6,389900,"[2, 6, 0, 8, 1, 7]",2135,1167,392914,680361
6,412900,"[2, 6, 0, 8, 1, 5]",2218,1182,404888,697971
6,423000,"[2, 6, 0, 8, 3, 5]",2085,1163,364431,675703
5,323000,"[2, 6, 0, 8, 5]",1706,1037,312091,537166
4,135000,"[2, 6, 0, 3]",1712,1071,333335,572985
5,300000,"[2, 6, 0, 8, 7]",1623,1020,298135,519690
6,360000,"[2, 6, 0, 8, 3, 4]",2102,1169,368684,682696
6,463000,"[2, 6, 0, 8, 4, 5]",2028,1102,341088,606651
6,440000,"[2, 6, 0, 8, 4, 7]",1945,1092,330301,595686
6,309900,"[2, 6, 0, 8, 1, 3]",2292,1203,420657,723003
5,264900,"[2, 6, 0, 1, 4]",2167,1161,403160,673380
5,304900,"[2, 6, 0, 1, 7]",2067,1164,392300,676866
5,224900,"[2, 6, 0, 1, 3]",2224,1198,419642,717003
5,275000,"[2, 6, 0, 3, 4]",2034,1161,367537,673380
5,327900,"[2, 6, 0, 1, 5]",2150,1176,403944,690900
7,449900,"[2, 6, 0, 8, 1, 3, 4]",2614,1224,440378,748476
6,404900,"[2, 6, 0, 1, 3, 7]",2446,1224,430256,748476
6,427900,"[2, 6, 0, 1, 3, 5]",2529,1237,440258,764466
6,444900,"[2, 6, 0, 1, 4, 7]",2389,1183,411808,699153
6,467900,"[2, 6, 0, 1, 4, 5]",2472,1198,421427,717003
6,364900,"[2, 6, 0, 1, 3, 4]",2546,1219,439643,742371
6,478000,"[2, 6, 0, 3, 4, 5]",2339,1204,389684,724206
4,175000,"[2, 6, 0, 4]",1655,1028,314008,527878
5,338000,"[2, 6, 0, 3, 5]",2017,1149,362874,659526
5,378000,"[2, 6, 0, 4, 5]",1960,1093,339975,596778
3,105000,"[2, 6, 8]",776,650,128696,210925
4,215000,"[2, 6, 0, 7]",1555,1016,297283,515620
4,238000,"[2, 6, 0, 5]",1638,1021,310516,520710
5,418000,"[2, 6, 0, 7, 5]",1860,1096,329235,600060
4,194900,"[2, 6, 8, 1]",1288,903,242012,407253
5,355000,"[2, 6, 0, 4, 7]",1877,1089,329630,592416
5,294900,"[2, 6, 8, 1, 3]",1667,977,283164,476776
3,109900,"[2, 6, 1]",1220,894,240784,399171
4,289900,"[2, 6, 1, 7]",1442,932,252810,433846
4,205000,"[2, 6, 8, 3]",1155,840,189037,352380
4,245000,"[2, 6, 8, 4]",1098,781,169351,304590
4,285000,"[2, 6, 8, 7]",998,759,149713,287661
4,308000,"[2, 6, 8, 5]",1081,777,164831,301476
6,434900,"[2, 6, 8, 1, 3, 4]",1989,1004,305151,503506
4,209900,"[2, 6, 1, 3]",1599,969,281949,468996
5,334900,"[2, 6, 8, 1, 4]",1610,940,266466,441330
5,385000,"[2, 6, 8, 3, 7]",1377,904,208080,408156
6,400000,"[2, 6, 0, 8, 3, 7]",2002,1144,353202,653796
5,425000,"[2, 6, 8, 4, 7]",1320,842,185149,354061
5,374900,"[2, 6, 8, 1, 7]",1510,937,253593,438516
5,408000,"[2, 6, 8, 3, 5]",1460,921,220315,423660
5,345000,"[2, 6, 8, 3, 4]",1477,930,226009,431985
5,448000,"[2, 6, 8, 4, 5]",1403,852,196716,362526
5,397900,"[2, 6, 8, 1, 5]",1593,952,266277,452676
5,412900,"[2, 6, 1, 3, 5]",1904,1011,303696,510555
5,349900,"[2, 6, 1, 3, 4]",1921,996,304253,495510
5,389900,"[2, 6, 1, 3, 7]",1821,999,293107,498501
6,474900,"[2, 6, 8, 1, 3, 7]",1889,1004,293880,503506
4,249900,"[2, 6, 1, 4]",1542,932,265555,433846
5,429900,"[2, 6, 1, 4, 7]",1764,956,274569,456490
5,452900,"[2, 6, 1, 4, 5]",1847,971,284605,470935
4,340000,"[2, 6, 4, 7]",1252,837,184312,349866
6,455000,"[2, 6, 0, 3, 4, 7]",2256,1196,381574,714610
3,120000,"[2, 6, 3]",1087,805,187003,323610
4,312900,"[2, 6, 1, 5]",1525,943,265135,444153
4,260000,"[2, 6, 3, 4]",1409,918,224660,420903
3,160000,"[2, 6, 4]",1030,767,167983,293761
4,300000,"[2, 6, 3, 7]",1309,896,207033,400960
2,25000,"[2, 0]",1058,771,247487,296835
3,200000,"[2, 6, 7]",930,751,148653,281625
3,223000,"[2, 6, 5]",1013,754,163000,283881
4,323000,"[2, 6, 3, 5]",1392,900,218502,404550
5,440000,"[2, 6, 3, 4, 7]",1631,961,239402,461280
5,463000,"[2, 6, 3, 4, 5]",1714,966,248129,466095
3,110000,"[2, 0, 8]",1126,808,249380,326028
4,403000,"[2, 6, 7, 5]",1235,840,182633,352380
4,363000,"[2, 6, 4, 5]",1335,839,195403,351541
4,199900,"[2, 0, 8, 1]",1638,1086,360883,589155
4,210000,"[2, 0, 8, 3]",1505,1028,310468,527878
5,390000,"[2, 0, 8, 3, 7]",1727,1095,330181,598965
5,299900,"[2, 0, 8, 1, 3]",2017,1170,402519,683865
4,250000,"[2, 0, 8, 4]",1448,939,288441,440391
5,350000,"[2, 0, 8, 3, 4]",1827,1108,345773,613278
5,402900,"[2, 0, 8, 1, 5]",1943,1137,384967,645816
5,379900,"[2, 0, 8, 1, 7]",1860,1126,373062,633375
5,339900,"[2, 0, 8, 1, 4]",1960,1122,384477,628881
4,290000,"[2, 0, 8, 7]",1348,930,271155,431985
5,413000,"[2, 0, 8, 3, 5]",1810,1104,341022,608856
5,430000,"[2, 0, 8, 4, 7]",1670,1012,304908,511566
5,453000,"[2, 0, 8, 4, 5]",1753,1020,315489,519690
4,214900,"[2, 0, 1, 3]",1949,1162,401420,674541
3,114900,"[2, 0, 1]",1570,1076,359770,578350
4,313000,"[2, 0, 8, 5]",1431,941,284828,442270
6,439900,"[2, 0, 8, 1, 3, 4]",2339,1192,423602,709836
5,354900,"[2, 0, 1, 3, 4]",2271,1187,422805,703891
5,394900,"[2, 0, 1, 3, 7]",2171,1194,413126,712221
4,254900,"[2, 0, 1, 4]",1892,1116,383666,622170
3,125000,"[2, 0, 3]",1437,996,308595,495510
5,417900,"[2, 0, 1, 3, 5]",2254,1207,422969,727821
4,294900,"[2, 0, 1, 7]",1792,1122,372417,628881
4,317900,"[2, 0, 1, 5]",1875,1130,383944,637885
4,265000,"[2, 0, 3, 4]",1759,1097,344550,601156
5,457900,"[2, 0, 1, 4, 5]",2197,1156,402713,667590
2,95000,"[2, 8]",501,486,95701,117855
5,434900,"[2, 0, 1, 4, 7]",2114,1144,393163,653796
3,165000,"[2, 0, 4]",1380,924,287198,426426
4,305000,"[2, 0, 3, 7]",1659,1090,329307,593505
4,328000,"[2, 0, 3, 5]",1742,1088,339373,591328
3,205000,"[2, 0, 7]",1280,924,270267,426426
3,184900,"[2, 8, 1]",1013,838,217927,350703
4,368000,"[2, 0, 4, 5]",1685,1007,314302,506521
3,228000,"[2, 0, 5]",1363,921,283160,423660
4,345000,"[2, 0, 4, 7]",1602,1007,304201,506521
5,468000,"[2, 0, 3, 4, 5]",2064,1149,367660,659526
5,445000,"[2, 0, 3, 4, 7]",1981,1147,359888,657231
4,408000,"[2, 0, 7, 5]",1585,1024,303581,523776
4,284900,"[2, 8, 1, 3]",1392,936,262265,437580
4,324900,"[2, 8, 1, 4]",1335,884,244201,390286
3,195000,"[2, 8, 3]",880,743,160526,275653
4,364900,"[2, 8, 1, 7]",1235,882,230744,388521
4,387900,"[2, 8, 1, 5]",1318,892,243278,397386
5,464900,"[2, 8, 1, 3, 7]",1614,967,274142,467061
5,424900,"[2, 8, 1, 3, 4]",1714,966,285895,466095
4,335000,"[2, 8, 3, 4]",1202,850,199578,360825
4,375000,"[2, 8, 3, 7]",1102,833,181361,346528
3,235000,"[2, 8, 4]",823,650,138668,210925
4,398000,"[2, 8, 3, 5]",1185,837,193091,349866
3,275000,"[2, 8, 7]",723,632,118600,199396
4,415000,"[2, 8, 4, 7]",1045,732,155939,267546
2,99900,"[2, 1]",945,820,216594,335790
3,298000,"[2, 8, 5]",806,641,133318,205120
4,438000,"[2, 8, 4, 5]",1128,741,167221,274170
4,478000,"[2, 8, 7, 5]",1028,740,153888,273430
2,110000,"[2, 3]",812,695,158373,241165
3,199900,"[2, 1, 3]",1324,920,260946,422740
3,239900,"[2, 1, 4]",1267,874,243213,381501
2,150000,"[2, 4]",755,628,137208,196878
4,339900,"[2, 1, 3, 4]",1646,957,284921,457446
4,402900,"[2, 1, 3, 5]",1629,968,283668,468028
1,10000,[6],275,275,37675,37675
3,279900,"[2, 1, 7]",1167,875,229924,382375
4,419900,"[2, 1, 4, 7]",1489,904,253172,408156
3,302900,"[2, 1, 5]",1250,877,242037,384126
3,250000,"[2, 3, 4]",1134,832,198138,345696
4,379900,"[2, 1, 3, 7]",1546,961,273333,461280
3,290000,"[2, 3, 7]",1034,823,180273,338253
3,313000,"[2, 3, 5]",1117,807,191165,325221
2,190000,"[2, 7]",655,621,117498,192510
4,442900,"[2, 1, 4, 5]",1572,916,263085,419070
3,353000,"[2, 4, 5]",1060,721,165819,259560
4,453000,"[2, 3, 4, 5]",1439,892,222624,397386
2,213000,"[2, 5]",738,607,131373,183921
3,393000,"[2, 7, 5]",960,733,152894,268278
2,25000,"[6, 0]",900,788,226459,310078
3,330000,"[2, 4, 7]",977,724,155060,261726
4,430000,"[2, 3, 4, 7]",1356,894,214323,399171
3,110000,"[6, 0, 8]",968,821,228313,336610
4,199900,"[6, 0, 8, 1]",1480,1051,335502,551775
5,299900,"[6, 0, 8, 1, 3]",1859,1133,376999,641278
4,210000,"[6, 0, 8, 3]",1347,1014,288501,513591
5,339900,"[6, 0, 8, 1, 4]",1802,1095,361457,598965
5,379900,"[6, 0, 8, 1, 7]",1702,1086,346845,589155
5,402900,"[6, 0, 8, 1, 5]",1785,1121,363051,627760
6,439900,"[6, 0, 8, 1, 3, 4]",2181,1163,400215,675703
3,114900,"[6, 0, 1]",1412,1044,334429,544446
4,250000,"[6, 0, 8, 4]",1290,957,270086,457446
5,350000,"[6, 0, 8, 3, 4]",1669,1103,326300,607753
5,413000,"[6, 0, 8, 3, 5]",1652,1104,322357,608856
4,290000,"[6, 0, 8, 7]",1190,920,248717,422740
5,390000,"[6, 0, 8, 3, 7]",1569,1066,306924,567645
4,313000,"[6, 0, 8, 5]",1273,965,267435,465130
4,214900,"[6, 0, 1, 3]",1791,1127,375939,634501
5,354900,"[6, 0, 1, 3, 4]",2113,1158,399451,669903
3,125000,"[6, 0, 3]",1279,984,286666,483636
5,430000,"[6, 0, 8, 4, 7]",1512,1012,285386,511566
4,254900,"[6, 0, 1, 4]",1734,1090,360680,593505
5,453000,"[6, 0, 8, 4, 5]",1595,1040,299425,540280
5,394900,"[6, 0, 1, 3, 7]",2013,1157,386829,668746
4,294900,"[6, 0, 1, 7]",1634,1083,346193,585903
4,265000,"[6, 0, 3, 4]",1601,1095,325118,598965
5,434900,"[6, 0, 1, 4, 7]",1956,1113,369467,618828
5,417900,"[6, 0, 1, 3, 5]",2096,1183,400562,699153
3,165000,"[6, 0, 4]",1222,947,268885,447931
4,317900,"[6, 0, 1, 5]",1717,1115,362065,621055
5,457900,"[6, 0, 1, 4, 5]",2039,1143,381978,652653
4,328000,"[6, 0, 3, 5]",1584,1088,320743,591328
4,305000,"[6, 0, 3, 7]",1501,1061,306035,562330
5,445000,"[6, 0, 3, 4, 7]",1823,1131,339326,639015
5,468000,"[6, 0, 3, 4, 5]",1906,1149,350200,659526
4,345000,"[6, 0, 4, 7]",1444,1009,284684,508536
2,95000,"[6, 8]",343,327,39833,53301
4,368000,"[6, 0, 4, 5]",1527,1031,298279,530965
3,228000,"[6, 0, 5]",1205,947,265803,447931
3,205000,"[6, 0, 7]",1122,915,247815,418155
3,184900,"[6, 8, 1]",855,665,160350,220780
4,408000,"[6, 0, 7, 5]",1427,1030,284843,529935
4,284900,"[6, 8, 1, 3]",1234,786,206815,308505
3,195000,"[6, 8, 3]",722,601,106494,180300
2,99900,"[6, 1]",787,649,159038,210276
3,235000,"[6, 8, 4]",665,539,87720,144991
4,387900,"[6, 8, 1, 5]",1160,769,191544,295296
3,275000,"[6, 8, 7]",565,450,61281,101025
4,335000,"[6, 8, 3, 4]",1044,740,149978,273430
3,298000,"[6, 8, 5]",648,551,84015,151525
4,364900,"[6, 8, 1, 7]",1077,707,172284,249571
4,398000,"[6, 8, 3, 5]",1027,735,144559,269745
4,324900,"[6, 8, 1, 4]",1177,746,190807,277885
5,464900,"[6, 8, 1, 3, 7]",1456,820,217876,335790
5,424900,"[6, 8, 1, 3, 4]",1556,835,234140,348195
3,199900,"[6, 1, 3]",1166,772,205517,297606
4,415000,"[6, 8, 4, 7]",887,604,103773,182106
4,375000,"[6, 8, 3, 7]",944,676,125959,228150
4,478000,"[6, 8, 7, 5]",870,629,103173,197506
3,239900,"[6, 1, 4]",1109,733,189830,268278
4,339900,"[6, 1, 3, 4]",1488,823,233177,338253
4,379900,"[6, 1, 3, 7]",1388,810,217027,327645
3,279900,"[6, 1, 7]",1009,696,171424,241860
4,419900,"[6, 1, 4, 7]",1331,760,199050,288420
4,438000,"[6, 8, 4, 5]",970,657,120663,215496
4,402900,"[6, 1, 3, 5]",1471,844,233089,355746
4,442900,"[6, 1, 4, 5]",1414,798,213594,318003
2,110000,"[6, 3]",654,554,104356,153181
3,302900,"[6, 1, 5]",1092,755,190321,284635
3,250000,"[6, 3, 4]",976,723,148553,261003
3,290000,"[6, 3, 7]",876,660,124818,217470
1,15000,[0],625,625,195000,195000
3,313000,"[6, 3, 5]",959,704,142645,247456
2,150000,"[6, 4]",597,518,86275,133903
4,430000,"[6, 3, 4, 7]",1198,771,163548,296835
4,453000,"[6, 3, 4, 5]",1281,791,176495,312445
2,213000,"[6, 5]",580,517,82082,133386
2,190000,"[6, 7]",497,432,60126,93096
2,100000,"[0, 8]",693,667,196953,222111
3,353000,"[6, 4, 5]",902,638,119275,203203
3,330000,"[6, 4, 7]",819,593,102863,175528
3,393000,"[6, 7, 5]",802,616,102126,189420
3,189900,"[0, 8, 1]",1205,976,312096,475800
3,200000,"[0, 8, 3]",1072,921,261424,423660
4,289900,"[0, 8, 1, 3]",1584,1082,356641,584821
4,369900,"[0, 8, 1, 7]",1427,1024,324623,523776
2,104900,"[0, 1]",1137,964,310938,464166
4,392900,"[0, 8, 1, 5]",1510,1063,341011,564453
4,329900,"[0, 8, 1, 4]",1527,1043,340164,543403
3,280000,"[0, 8, 7]",915,802,219143,321201
4,340000,"[0, 8, 3, 4]",1394,1034,301539,534061
5,469900,"[0, 8, 1, 3, 7]",1806,1116,368222,622170
