subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,10000,[5],305,305,46360,46360
6,517500,"[5, 6, 0, 4, 7, 1]",2526,1770,602177,1565565
2,20000,"[5, 6]",577,484,78938,116886
3,35000,"[5, 6, 2]",1140,891,229004,396495
4,74500,"[5, 6, 2, 0]",1894,1530,508595,1169685
3,59500,"[5, 6, 0]",1331,1156,360650,667590
5,120500,"[5, 6, 2, 0, 4]",2252,1674,559189,1400301
4,81000,"[5, 6, 2, 4]",1498,1058,281142,559153
5,436500,"[5, 6, 2, 0, 1]",2495,1954,681543,1908081
4,85000,"[5, 6, 2, 7]",1376,998,251566,497503
4,485000,"[5, 6, 2, 3]",1696,1314,378944,862641
4,421500,"[5, 6, 0, 1]",1932,1613,535258,1300078
5,131000,"[5, 6, 2, 4, 7]",1734,1125,301858,632250
5,124500,"[5, 6, 2, 0, 7]",2130,1622,530579,1314631
4,397000,"[5, 6, 2, 1]",1741,1337,402906,893116
4,509500,"[5, 6, 0, 3]",1887,1590,511158,1263255
4,109500,"[5, 6, 0, 7]",1567,1257,382965,789396
4,105500,"[5, 6, 0, 4]",1689,1350,418041,910575
6,482500,"[5, 6, 2, 0, 4, 1]",2853,2035,726458,2069595
5,531000,"[5, 6, 2, 4, 3]",2054,1426,427370,1016025
6,170500,"[5, 6, 2, 0, 4, 7]",2488,1732,579362,1499046
5,443000,"[5, 6, 2, 4, 1]",2099,1434,449227,1027461
5,535000,"[5, 6, 2, 7, 3]",1932,1361,397045,925480
5,447000,"[5, 6, 2, 7, 1]",1977,1380,419162,951510
5,524500,"[5, 6, 2, 0, 3]",2450,1931,657872,1863415
5,478000,"[5, 6, 4, 7, 1]",1772,1161,323720,673380
6,486500,"[5, 6, 2, 0, 7, 1]",2731,1995,697402,1989015
5,467500,"[5, 6, 0, 4, 1]",2290,1731,586772,1497315
5,155500,"[5, 6, 0, 4, 7]",1925,1411,438518,994755
5,471500,"[5, 6, 0, 7, 1]",2168,1656,551323,1370340
7,532500,"[5, 6, 2, 0, 4, 7, 1]",3089,2072,741663,2145556
4,116000,"[5, 6, 4, 7]",1171,793,159363,314028
3,66000,"[5, 6, 4]",935,723,138336,261003
4,428000,"[5, 6, 4, 1]",1536,1121,307925,627760
4,516000,"[5, 6, 4, 3]",1491,1110,285617,615495
3,70000,"[5, 6, 7]",813,600,101838,179700
2,25000,"[5, 2]",868,779,200647,303031
6,493000,"[5, 6, 2, 4, 7, 1]",2335,1472,464815,1082656
3,470000,"[5, 6, 3]",1133,942,230118,443211
3,382000,"[5, 6, 1]",1178,969,254548,468996
4,432000,"[5, 6, 7, 1]",1414,1014,271017,513591
3,64500,"[5, 2, 0]",1622,1434,480902,1027461
3,71000,"[5, 2, 4]",1226,960,253390,460320
4,520000,"[5, 6, 7, 3]",1369,990,248505,489555
2,49500,"[5, 0]",1059,1009,329016,508536
3,475000,"[5, 2, 3]",1424,1223,351421,747253
3,75000,"[5, 2, 7]",1104,921,224966,423660
3,387000,"[5, 2, 1]",1469,1251,375974,781875
4,110500,"[5, 2, 0, 4]",1980,1589,532080,1261666
4,114500,"[5, 2, 0, 7]",1858,1552,504580,1203576
3,95500,"[5, 0, 4]",1417,1231,387309,757065
4,514500,"[5, 2, 0, 3]",2178,1853,630986,1715878
4,426500,"[5, 2, 0, 1]",2223,1879,655221,1764381
4,521000,"[5, 2, 4, 3]",1782,1347,400440,906531
4,433000,"[5, 2, 4, 1]",1827,1359,422864,922761
4,121000,"[5, 2, 4, 7]",1462,1056,275820,557040
5,476500,"[5, 2, 0, 7, 1]",2459,1935,672462,1871145
5,160500,"[5, 2, 0, 4, 7]",2216,1668,553905,1390278
4,437000,"[5, 2, 7, 1]",1705,1315,393672,863955
4,525000,"[5, 2, 7, 3]",1660,1295,371178,837865
5,472500,"[5, 2, 0, 4, 1]",2581,1971,700687,1941435
5,483000,"[5, 2, 4, 7, 1]",2063,1413,439856,997578
6,522500,"[5, 2, 0, 4, 7, 1]",2817,2018,717237,2035153
4,145500,"[5, 0, 4, 7]",1653,1318,409505,867903
4,457500,"[5, 0, 4, 1]",2018,1636,557471,1337430
3,99500,"[5, 0, 7]",1295,1142,353093,651511
5,507500,"[5, 0, 4, 7, 1]",2254,1687,574270,1422141
1,10000,[6],272,272,36856,36856
2,56000,"[5, 4]",663,578,106693,166753
4,545500,"[5, 0, 4, 3]",1973,1623,534832,1316253
3,499500,"[5, 0, 3]",1615,1468,480390,1076778
4,461500,"[5, 0, 7, 1]",1896,1554,522591,1206681
2,60000,"[5, 7]",541,463,71087,106953
3,411500,"[5, 0, 1]",1660,1494,505094,1115271
3,106000,"[5, 4, 7]",899,682,129503,232221
4,549500,"[5, 0, 7, 3]",1851,1534,499983,1175811
2,372000,"[5, 1]",906,826,223500,340725
2,460000,"[5, 3]",861,794,198439,314821
3,418000,"[5, 4, 1]",1264,1005,277770,504510
2,25000,"[6, 2]",835,738,190403,271953
3,506000,"[5, 4, 3]",1219,991,254858,490545
3,422000,"[5, 7, 1]",1142,895,241463,400065
3,510000,"[5, 7, 3]",1097,871,218549,378885
4,468000,"[5, 4, 7, 1]",1500,1063,295020,564453
3,64500,"[6, 2, 0]",1589,1398,470873,976503
3,71000,"[6, 2, 4]",1193,949,245411,449826
4,110500,"[6, 2, 0, 4]",1947,1578,524253,1244253
4,114500,"[6, 2, 0, 7]",1825,1529,495420,1168156
4,426500,"[6, 2, 0, 1]",2190,1863,646559,1734453
4,514500,"[6, 2, 0, 3]",2145,1841,622217,1693720
5,472500,"[6, 2, 0, 4, 1]",2548,1969,694116,1937496
5,160500,"[6, 2, 0, 4, 7]",2183,1669,546954,1391946
4,121000,"[6, 2, 4, 7]",1429,1053,268710,553878
5,476500,"[6, 2, 0, 7, 1]",2426,1929,664561,1859556
6,522500,"[6, 2, 0, 4, 7, 1]",2784,2029,711449,2057406
5,483000,"[6, 2, 4, 7, 1]",2030,1421,433908,1008910
3,75000,"[6, 2, 7]",1071,889,215583,394716
4,433000,"[6, 2, 4, 1]",1794,1358,416143,921403
2,49500,"[6, 0]",1026,980,319702,479710
4,521000,"[6, 2, 4, 3]",1749,1353,393648,914628
3,387000,"[6, 2, 1]",1436,1232,367102,758296
3,475000,"[6, 2, 3]",1391,1209,342443,730236
3,95500,"[6, 0, 4]",1384,1236,380506,763230
2,56000,"[6, 4]",630,585,99769,170820
4,525000,"[6, 2, 7, 3]",1627,1285,363027,824970
4,437000,"[6, 2, 7, 1]",1672,1302,385550,846951
3,99500,"[6, 0, 7]",1262,1124,344677,631126
3,411500,"[6, 0, 1]",1627,1484,497110,1100386
4,145500,"[6, 0, 4, 7]",1620,1334,403608,889111
3,499500,"[6, 0, 3]",1582,1461,472297,1066530
3,106000,"[6, 4, 7]",866,703,123511,246753
4,457500,"[6, 0, 4, 1]",1985,1653,551893,1365378
4,545500,"[6, 0, 4, 3]",1940,1644,529177,1350546
4,461500,"[6, 0, 7, 1]",1863,1552,515390,1203576
4,549500,"[6, 0, 7, 3]",1818,1537,492759,1180416
1,15000,[2],563,563,158203,158203
