subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,5000,[8],475,475,112575,112575
2,11900,"[8, 7]",996,938,246382,439453
3,21900,"[8, 7, 5]",1616,1325,423724,877150
4,51400,"[8, 7, 5, 12]",1764,1411,433667,994755
5,121150,"[8, 7, 5, 12, 6]",2336,1687,581709,1422141
6,222150,"[8, 7, 5, 12, 6, 1]",3087,2019,821453,2037171
7,526250,"[8, 7, 5, 12, 6, 11, 2]",3411,1987,822656,1973091
6,251150,"[8, 7, 5, 12, 6, 10]",2681,1776,621301,1576200
7,539750,"[8, 7, 5, 12, 6, 10, 4]",3374,1907,763720,1817371
7,403850,"[8, 7, 5, 12, 6, 10, 11]",3023,1871,665633,1749385
7,510750,"[8, 7, 5, 12, 6, 1, 4]",3780,2192,985016,2401336
7,503550,"[8, 7, 5, 12, 6, 10, 2]",3414,1934,797343,1869211
6,273850,"[8, 7, 5, 12, 6, 11]",2678,1784,626121,1590436
5,152400,"[8, 7, 5, 12, 1]",2515,1847,695875,1704781
7,572150,"[8, 7, 5, 12, 6, 1, 9]",3433,2188,875190,2392578
6,409750,"[8, 7, 5, 12, 6, 4]",3029,1885,747785,1775670
7,474550,"[8, 7, 5, 12, 6, 1, 2]",3820,2204,1014427,2427706
7,374850,"[8, 7, 5, 12, 6, 1, 11]",3429,2092,862670,2187186
6,471150,"[8, 7, 5, 12, 6, 9]",2682,1868,636288,1743778
6,373550,"[8, 7, 5, 12, 6, 2]",3069,1904,779099,1811656
5,181400,"[8, 7, 5, 12, 10]",2109,1507,473487,1134771
6,282400,"[8, 7, 5, 12, 1, 10]",2860,1936,735208,1873080
6,541150,"[8, 7, 5, 12, 6, 3]",3049,1935,792345,1871145
7,352150,"[8, 7, 5, 12, 6, 1, 10]",3432,2104,860587,2212356
6,305100,"[8, 7, 5, 12, 1, 11]",2857,1954,742649,1908081
7,601150,"[8, 7, 5, 12, 6, 10, 9]",3027,1949,675768,1898326
8,504850,"[8, 7, 5, 12, 6, 1, 10, 11]",3774,2175,901724,2364225
7,562450,"[8, 7, 5, 12, 6, 11, 4]",3371,1978,791942,1955253
