subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
2,13000,"[11, 1]",900,792,258772,313236
3,23000,"[11, 1, 3]",1480,1247,421092,776881
1,5000,[11],200,200,19900,19900
8,585700,"[11, 1, 3, 9, 8, 6, 5, 2]",3627,2133,826736,2273778
4,48000,"[11, 1, 3, 9]",1763,1431,457899,1023165
6,233000,"[11, 1, 3, 9, 8, 6]",2502,1826,584066,1666225
5,128000,"[11, 1, 3, 9, 8]",2055,1556,491486,1209790
7,407400,"[11, 1, 3, 9, 8, 6, 7]",2918,1964,653625,1927666
7,408000,"[11, 1, 3, 9, 8, 6, 5]",2965,1953,663996,1906128
6,302400,"[11, 1, 3, 9, 8, 7]",2471,1726,563101,1488675
8,585100,"[11, 1, 3, 9, 8, 6, 7, 2]",3580,2134,821175,2275911
8,582400,"[11, 1, 3, 9, 8, 6, 7, 5]",3381,2055,727456,2110485
7,410700,"[11, 1, 3, 9, 8, 6, 2]",3164,2055,762300,2110485
7,533000,"[11, 1, 3, 9, 8, 6, 10]",2738,1918,607509,1838403
5,153000,"[11, 1, 3, 9, 6]",2210,1718,551170,1474903
6,303000,"[11, 1, 3, 9, 8, 5]",2518,1721,575157,1480060
6,428000,"[11, 1, 3, 9, 8, 10]",2291,1662,515192,1380291
6,305700,"[11, 1, 3, 9, 8, 2]",2717,1864,679184,1736316
6,327400,"[11, 1, 3, 9, 6, 7]",2626,1911,626582,1825005
6,563000,"[11, 1, 3, 9, 8, 0]",2904,2220,842938,2463090
7,480100,"[11, 1, 3, 9, 8, 7, 2]",3133,1963,739832,1925703
7,477400,"[11, 1, 3, 9, 8, 7, 5]",2934,1846,640483,1702935
7,602400,"[11, 1, 3, 9, 8, 7, 10]",2707,1796,583736,1611910
7,480700,"[11, 1, 3, 9, 8, 5, 2]",3180,1960,746681,1919820
7,605700,"[11, 1, 3, 9, 8, 2, 10]",2953,1922,697883,1846081
7,603000,"[11, 1, 3, 9, 8, 5, 10]",2754,1808,597781,1633528
7,627400,"[11, 1, 3, 9, 6, 7, 10]",2862,1982,647545,1963171
7,505100,"[11, 1, 3, 9, 6, 7, 2]",3288,2099,797327,2201851
7,502400,"[11, 1, 3, 9, 6, 7, 5]",3089,2013,702193,2025078
7,505700,"[11, 1, 3, 9, 6, 5, 2]",3335,2068,799118,2137278
8,655100,"[11, 1, 3, 9, 8, 7, 5, 2]",3596,2040,802924,2079780
6,328000,"[11, 1, 3, 9, 6, 5]",2673,1866,633155,1740045
7,628000,"[11, 1, 3, 9, 6, 5, 10]",2909,1961,656319,1921780
6,330700,"[11, 1, 3, 9, 6, 2]",2872,1980,733093,1959210
6,453000,"[11, 1, 3, 9, 6, 10]",2446,1830,575395,1673535
7,630700,"[11, 1, 3, 9, 6, 2, 10]",3108,2044,752313,2087946
5,222400,"[11, 1, 3, 9, 7]",2179,1663,535502,1381953
6,588000,"[11, 1, 3, 9, 6, 0]",3059,2308,894656,2662278
6,397400,"[11, 1, 3, 9, 7, 5]",2642,1798,614729,1615503
5,223000,"[11, 1, 3, 9, 5]",2226,1623,543696,1316253
6,400100,"[11, 1, 3, 9, 7, 2]",2841,1923,715523,1848003
5,225700,"[11, 1, 3, 9, 2]",2425,1781,649406,1585090
6,522400,"[11, 1, 3, 9, 7, 10]",2415,1744,556701,1519896
4,103000,"[11, 1, 3, 8]",1772,1385,455151,958420
5,348000,"[11, 1, 3, 9, 10]",1999,1559,482388,1214461
6,400700,"[11, 1, 3, 9, 5, 2]",2888,1891,718557,1786995
7,575100,"[11, 1, 3, 9, 7, 5, 2]",3304,2007,780033,2013021
6,523000,"[11, 1, 3, 9, 5, 10]",2462,1730,567085,1495585
6,525700,"[11, 1, 3, 9, 2, 10]",2661,1851,668813,1712175
5,483000,"[11, 1, 3, 9, 0]",2612,2127,811054,2261001
5,208000,"[11, 1, 3, 8, 6]",2219,1669,548049,1391946
5,277400,"[11, 1, 3, 8, 7]",2188,1571,527342,1233235
