subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,10000,[3],91,91,4095,4095
3,54900,"[3, 2, 5]",396,358,34686,63903
2,29900,"[3, 2]",332,308,32739,47278
4,84900,"[3, 2, 5, 0]",710,606,82576,183315
4,139900,"[3, 2, 5, 4]",464,372,35575,69006
5,169900,"[3, 2, 5, 0, 4]",778,619,83396,191271
4,320900,"[3, 2, 5, 1]",665,543,68788,147153
5,350900,"[3, 2, 5, 0, 1]",979,686,106537,234955
5,405900,"[3, 2, 5, 4, 1]",733,546,69061,148785
4,325900,"[3, 2, 0, 1]",915,685,106355,234270
4,380900,"[3, 2, 4, 1]",669,540,68690,145530
4,144900,"[3, 2, 0, 4]",714,617,83125,190036
3,59900,"[3, 2, 0]",646,594,81606,176121
2,35000,"[3, 5]",155,152,6108,11476
3,65000,"[3, 5, 0]",469,409,54157,83436
3,114900,"[3, 2, 4]",400,363,34950,65703
3,295900,"[3, 2, 1]",601,536,68325,143380
5,410900,"[3, 2, 0, 4, 1]",983,689,106655,237016
3,120000,"[3, 5, 4]",223,167,7008,13861
2,95000,"[3, 4]",159,157,6372,12246
2,40000,"[3, 0]",405,390,53131,75855
1,19900,[2],241,241,28920,28920
3,74900,"[2, 5, 0]",619,547,78841,149331
4,150000,"[3, 5, 0, 4]",537,422,54984,88831
3,301000,"[3, 5, 1]",424,344,40362,58996
4,391000,"[3, 0, 4, 1]",742,496,78366,122760
3,306000,"[3, 0, 1]",674,492,78052,120786
2,44900,"[2, 5]",305,293,30870,42778
4,159900,"[2, 5, 0, 4]",687,560,79661,156520
4,331000,"[3, 5, 0, 1]",738,493,78241,121278
3,125000,"[3, 0, 4]",473,420,54706,87990
2,49900,"[2, 0]",555,535,77871,142845
4,386000,"[3, 5, 4, 1]",492,348,40646,60378
2,276000,"[3, 1]",360,337,39888,56616
4,340900,"[2, 5, 0, 1]",888,645,103047,207690
3,361000,"[3, 4, 1]",428,342,40274,58311
3,134900,"[2, 0, 4]",623,558,79390,155403
2,285900,"[2, 1]",510,489,64756,119316
3,310900,"[2, 5, 1]",574,496,65221,122760
3,129900,"[2, 5, 4]",373,307,31759,46971
4,395900,"[2, 5, 4, 1]",642,499,65494,124251
3,315900,"[2, 0, 1]",824,644,102865,207046
3,370900,"[2, 4, 1]",578,493,65122,121278
2,104900,"[2, 4]",309,297,31132,43956
4,400900,"[2, 0, 4, 1]",892,648,103165,209628
2,110000,"[5, 4]",132,79,2916,3081
1,266000,[1],269,269,36046,36046
2,291000,"[5, 1]",333,277,36522,38226
3,140000,"[5, 0, 4]",446,346,50994,59685
3,376000,"[5, 4, 1]",401,281,36806,39340
2,296000,"[0, 1]",583,435,74309,94395
3,381000,"[0, 4, 1]",651,439,74623,96141
1,25000,[5],64,64,2016,2016
1,85000,[4],68,68,2278,2278
1,30000,[0],314,314,49141,49141
2,55000,"[5, 0]",378,333,50167,55278
2,115000,"[0, 4]",382,344,50716,58996
4,406000,"[5, 0, 4, 1]",715,439,74744,96141
3,321000,"[5, 0, 1]",647,436,74498,94830
2,351000,"[4, 1]",337,275,36433,37675
