subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,8000,[3],409,409,83436,83436
2,29000,"[3, 2]",856,775,179877,299925
4,109000,"[3, 2, 8, 12]",1006,855,185102,365085
6,242965,"[3, 2, 8, 12, 0, 4]",1748,1112,295612,617716
7,337965,"[3, 2, 8, 12, 0, 4, 10]",1816,1123,296889,630003
7,522965,"[3, 2, 8, 12, 0, 10, 11]",1611,1108,282856,613278
7,454565,"[3, 2, 8, 12, 0, 10, 5]",1801,1154,302186,665281
7,497965,"[3, 2, 8, 12, 0, 4, 11]",1807,1122,296674,628881
7,429565,"[3, 2, 8, 12, 0, 4, 5]",1997,1166,315428,679195
7,529965,"[3, 2, 8, 12, 0, 4, 1]",2218,1211,358980,732655
8,524565,"[3, 2, 8, 12, 0, 4, 10, 5]",2065,1177,316698,692076
3,59000,"[3, 2, 8]",955,836,184112,349030
5,172965,"[3, 2, 8, 12, 0]",1484,1080,280271,582660
6,267965,"[3, 2, 8, 12, 0, 10]",1552,1093,281622,596778
7,554965,"[3, 2, 8, 12, 0, 10, 1]",2022,1196,346152,714610
6,427965,"[3, 2, 8, 12, 0, 11]",1543,1096,281513,600060
6,359565,"[3, 2, 8, 12, 0, 5]",1733,1141,300843,650370
6,522965,"[3, 2, 8, 12, 0, 7]",1615,1118,286207,624403
6,379565,"[3, 2, 8, 0, 4, 5]",1946,1161,314697,673380
5,179000,"[3, 2, 8, 12, 4]",1270,915,203486,418155
6,491000,"[3, 2, 8, 12, 10, 1]",1544,1099,278885,603351
5,204000,"[3, 2, 8, 12, 10]",1074,890,187130,395605
6,557965,"[3, 2, 8, 12, 0, 9]",1581,1106,283531,611065
6,365600,"[3, 2, 8, 12, 4, 5]",1519,1001,226384,500500
6,459965,"[3, 2, 8, 12, 0, 1]",1954,1185,344883,701520
6,274000,"[3, 2, 8, 12, 4, 10]",1338,940,205377,441330
6,434000,"[3, 2, 8, 12, 4, 11]",1329,929,204637,431056
4,122965,"[3, 2, 8, 0]",1433,1068,279397,569778
7,529000,"[3, 2, 8, 12, 4, 10, 11]",1397,953,206521,453628
6,550600,"[3, 2, 8, 12, 5, 11]",1314,976,210154,475800
5,364000,"[3, 2, 8, 12, 11]",1065,878,186442,385003
5,459000,"[3, 2, 8, 12, 7]",1137,906,191643,409965
6,390600,"[3, 2, 8, 12, 10, 5]",1323,988,210874,487578
6,564000,"[3, 2, 8, 12, 4, 9]",1367,949,206910,449826
5,396000,"[3, 2, 8, 12, 1]",1476,1077,277137,579426
5,494000,"[3, 2, 8, 12, 9]",1103,898,188833,402753
6,554000,"[3, 2, 8, 12, 10, 7]",1205,934,193636,435711
6,529000,"[3, 2, 8, 12, 4, 7]",1401,958,209564,458403
6,466000,"[3, 2, 8, 12, 4, 1]",1740,1120,293562,626640
7,460600,"[3, 2, 8, 12, 4, 10, 5]",1587,1026,228267,525825
7,561000,"[3, 2, 8, 12, 4, 10, 1]",1808,1139,295217,648091
5,192965,"[3, 2, 8, 0, 4]",1697,1103,294804,607753
6,287965,"[3, 2, 8, 0, 4, 10]",1765,1114,296082,619941
7,542965,"[3, 2, 8, 0, 4, 10, 11]",1824,1125,297139,632250
5,295600,"[3, 2, 8, 12, 5]",1255,954,208855,454581
6,459000,"[3, 2, 8, 12, 10, 11]",1133,911,188461,414505
7,474565,"[3, 2, 8, 0, 4, 10, 5]",2014,1172,315968,686206
5,217965,"[3, 2, 8, 0, 10]",1501,1081,280749,583740
6,447965,"[3, 2, 8, 0, 4, 11]",1756,1114,295867,619941
6,542965,"[3, 2, 8, 0, 4, 7]",1828,1136,300326,644680
6,479965,"[3, 2, 8, 0, 4, 1]",2167,1204,358223,724206
4,129000,"[3, 2, 8, 4]",1219,900,202571,404550
4,154000,"[3, 2, 8, 10]",1023,871,186141,378885
5,309565,"[3, 2, 8, 0, 5]",1682,1134,300061,642411
5,377965,"[3, 2, 8, 0, 11]",1492,1085,280640,588070
5,507965,"[3, 2, 8, 0, 9]",1530,1096,282666,600060
5,472965,"[3, 2, 8, 0, 7]",1564,1107,285339,612171
5,224000,"[3, 2, 8, 4, 10]",1287,925,204463,427350
6,404565,"[3, 2, 8, 0, 10, 5]",1750,1147,301405,657231
5,514000,"[3, 2, 8, 4, 9]",1316,935,206003,436645
6,472965,"[3, 2, 8, 0, 10, 11]",1560,1097,281984,601156
5,384000,"[3, 2, 8, 4, 11]",1278,915,203723,418155
5,409965,"[3, 2, 8, 0, 1]",1903,1176,344063,690900
5,340600,"[3, 2, 8, 10, 5]",1272,975,209978,474825
5,416000,"[3, 2, 8, 4, 1]",1689,1109,292715,614386
5,479000,"[3, 2, 8, 4, 7]",1350,944,208655,445096
5,315600,"[3, 2, 8, 4, 5]",1468,990,225547,489555
6,567965,"[3, 2, 8, 0, 10, 7]",1632,1114,286656,619941
6,504965,"[3, 2, 8, 0, 10, 1]",1971,1187,345333,703891
6,564565,"[3, 2, 8, 0, 5, 11]",1741,1149,301263,659526
6,479000,"[3, 2, 8, 4, 10, 11]",1346,939,205608,440391
6,511000,"[3, 2, 8, 4, 10, 1]",1757,1128,294371,635628
6,570600,"[3, 2, 8, 4, 5, 11]",1527,1003,226658,502503
5,409000,"[3, 2, 8, 10, 11]",1082,893,187473,398278
6,410600,"[3, 2, 8, 4, 10, 5]",1536,1015,227431,514605
5,441000,"[3, 2, 8, 10, 1]",1493,1085,277967,588070
5,504000,"[3, 2, 8, 10, 7]",1154,916,192653,419070
5,539000,"[3, 2, 8, 10, 9]",1120,910,189829,413595
4,245600,"[3, 2, 8, 5]",1204,941,207958,442270
5,500600,"[3, 2, 8, 5, 11]",1263,963,209258,463203
4,314000,"[3, 2, 8, 11]",1014,860,185453,369370
4,346000,"[3, 2, 8, 1]",1425,1063,276218,564453
5,532600,"[3, 2, 8, 5, 1]",1674,1135,297642,643545
3,79000,"[3, 2, 12]",907,800,180882,319600
4,444000,"[3, 2, 8, 9]",1052,881,187852,387640
4,142965,"[3, 2, 12, 0]",1385,1049,276739,549676
4,409000,"[3, 2, 8, 7]",1086,888,190659,393828
4,149000,"[3, 2, 12, 4]",1171,865,199329,373680
5,212965,"[3, 2, 12, 0, 4]",1649,1086,292140,589155
5,397965,"[3, 2, 12, 0, 11]",1444,1065,277986,566580
5,237965,"[3, 2, 12, 0, 10]",1453,1064,278148,565516
5,492965,"[3, 2, 12, 0, 7]",1516,1091,282708,594595
5,527965,"[3, 2, 12, 0, 9]",1482,1077,280014,579426
5,429965,"[3, 2, 12, 0, 1]",1855,1168,342106,681528
6,467965,"[3, 2, 12, 0, 4, 11]",1708,1096,293207,600060
5,329565,"[3, 2, 12, 0, 5]",1634,1112,297350,617716
6,399565,"[3, 2, 12, 0, 4, 5]",1898,1142,311995,651511
6,562965,"[3, 2, 12, 0, 4, 7]",1780,1122,297689,628881
5,244000,"[3, 2, 12, 4, 10]",1239,898,201305,402753
6,424565,"[3, 2, 12, 0, 10, 5]",1702,1127,298751,634501
6,307965,"[3, 2, 12, 0, 4, 10]",1717,1099,293475,603351
6,492965,"[3, 2, 12, 0, 10, 11]",1512,1079,279387,581581
6,524965,"[3, 2, 12, 0, 10, 1]",1923,1180,343425,695610
6,499965,"[3, 2, 12, 0, 4, 1]",2119,1196,356254,714610
7,562965,"[3, 2, 12, 0, 4, 10, 11]",1776,1109,294536,614386
7,494565,"[3, 2, 12, 0, 4, 10, 5]",1966,1155,313323,666435
6,430600,"[3, 2, 12, 4, 10, 5]",1488,989,224244,488566
6,499000,"[3, 2, 12, 4, 10, 11]",1298,913,202455,416328
5,404000,"[3, 2, 12, 4, 11]",1230,881,200486,387640
6,531000,"[3, 2, 12, 4, 10, 1]",1709,1119,292171,625521
5,335600,"[3, 2, 12, 4, 5]",1420,956,222276,456490
4,174000,"[3, 2, 12, 10]",975,843,182995,354903
5,436000,"[3, 2, 12, 4, 1]",1641,1099,290466,603351
5,499000,"[3, 2, 12, 4, 7]",1302,915,205443,418155
5,534000,"[3, 2, 12, 4, 9]",1268,900,202768,404550
5,360600,"[3, 2, 12, 10, 5]",1224,946,206788,446985
5,524000,"[3, 2, 12, 10, 7]",1106,894,189537,399171
5,429000,"[3, 2, 12, 10, 11]",1034,866,184332,374545
5,461000,"[3, 2, 12, 10, 1]",1445,1077,275785,579426
4,265600,"[3, 2, 12, 5]",1156,904,204684,408156
4,334000,"[3, 2, 12, 11]",966,825,182228,339900
3,92965,"[3, 2, 0]",1334,1032,275850,531996
4,429000,"[3, 2, 12, 7]",1038,858,187459,367653
4,366000,"[3, 2, 12, 1]",1377,1054,273987,554931
5,559000,"[3, 2, 12, 10, 9]",1072,881,186689,387640
4,464000,"[3, 2, 12, 9]",1004,845,184628,356590
5,520600,"[3, 2, 12, 5, 11]",1215,927,205988,429201
4,162965,"[3, 2, 0, 4]",1598,1072,291317,574056
5,552600,"[3, 2, 12, 5, 1]",1626,1123,295360,630003
5,257965,"[3, 2, 0, 4, 10]",1666,1086,292653,589155
4,187965,"[3, 2, 0, 10]",1402,1048,277260,548628
5,512965,"[3, 2, 0, 4, 7]",1729,1109,296872,614386
5,374565,"[3, 2, 0, 10, 5]",1651,1116,297955,622170
5,449965,"[3, 2, 0, 4, 1]",2068,1186,355483,702705
6,444565,"[3, 2, 0, 4, 10, 5]",1915,1146,312578,656085
5,417965,"[3, 2, 0, 4, 11]",1657,1084,292385,586986
6,512965,"[3, 2, 0, 4, 10, 11]",1725,1098,293715,602253
5,349565,"[3, 2, 0, 4, 5]",1847,1132,311249,640146
5,547965,"[3, 2, 0, 4, 9]",1695,1097,294368,601156
6,544965,"[3, 2, 0, 4, 10, 1]",2136,1198,356745,717003
5,442965,"[3, 2, 0, 10, 11]",1461,1065,278500,566580
5,474965,"[3, 2, 0, 10, 1]",1872,1169,342592,682696
5,537965,"[3, 2, 0, 10, 7]",1533,1085,283200,588070
4,279565,"[3, 2, 0, 5]",1583,1100,296553,604450
4,347965,"[3, 2, 0, 11]",1393,1050,277098,550725
5,534565,"[3, 2, 0, 5, 11]",1642,1116,297759,622170
5,566565,"[3, 2, 0, 5, 1]",2053,1212,360365,733866
4,379965,"[3, 2, 0, 1]",1804,1156,341272,667590
3,99000,"[3, 2, 4]",1120,845,198399,356590
4,442965,"[3, 2, 0, 7]",1465,1075,281825,577275
4,477965,"[3, 2, 0, 9]",1431,1063,279134,564453
4,194000,"[3, 2, 4, 10]",1188,879,200376,385881
4,285600,"[3, 2, 4, 5]",1369,940,221424,441330
4,449000,"[3, 2, 4, 7]",1251,896,204519,400960
4,354000,"[3, 2, 4, 11]",1179,863,199557,371953
5,380600,"[3, 2, 4, 10, 5]",1437,974,223393,473851
4,386000,"[3, 2, 4, 1]",1590,1085,289605,588070
5,449000,"[3, 2, 4, 10, 11]",1247,896,201527,400960
5,544000,"[3, 2, 4, 10, 7]",1319,925,206464,427350
3,124000,"[3, 2, 10]",924,819,181991,334971
5,481000,"[3, 2, 4, 10, 1]",1658,1106,291311,611065
5,540600,"[3, 2, 4, 5, 11]",1428,955,222540,455535
4,484000,"[3, 2, 4, 9]",1217,882,201846,388521
