subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,20000,[6],83,83,3403,3403
2,70000,"[6, 2]",315,278,29533,38503
4,300000,"[6, 2, 4, 3]",555,374,40154,69751
3,130000,"[6, 2, 1]",599,443,64123,97903
3,157000,"[6, 2, 5]",412,313,32618,48828
3,180000,"[6, 2, 4]",422,341,34577,57970
4,217000,"[6, 2, 1, 5]",696,458,66119,104653
4,240000,"[6, 2, 1, 4]",706,491,68861,120295
4,267000,"[6, 2, 5, 4]",519,370,37483,68265
2,80000,"[6, 1]",367,323,42643,52003
2,107000,"[6, 5]",180,138,7198,9453
3,190000,"[6, 2, 3]",448,320,35338,51040
5,360000,"[6, 2, 1, 4, 3]",839,511,73042,130305
5,387000,"[6, 2, 5, 4, 3]",652,386,41916,74305
4,277000,"[6, 2, 5, 3]",545,334,37211,55611
4,250000,"[6, 2, 1, 3]",732,468,68500,109278
5,327000,"[6, 2, 1, 5, 4]",803,504,70714,126756
3,190000,"[6, 1, 4]",474,393,47868,77028
2,130000,"[6, 4]",190,175,8969,15225
3,200000,"[6, 1, 3]",500,361,47830,64980
3,217000,"[6, 5, 4]",287,216,12533,23220
2,110000,"[2, 1]",516,416,62032,86320
3,227000,"[6, 5, 3]",313,183,12923,16653
3,167000,"[6, 1, 5]",464,347,45074,60031
4,277000,"[6, 1, 5, 4]",571,409,50107,83436
4,307000,"[2, 1, 5, 4]",720,488,68997,118828
5,337000,"[6, 2, 1, 5, 3]",829,475,69821,112575
4,287000,"[6, 1, 5, 3]",597,374,49474,69751
4,310000,"[6, 1, 4, 3]",607,422,52833,88831
3,250000,"[6, 4, 3]",323,236,15896,27730
4,337000,"[6, 5, 4, 3]",420,253,18080,31878
5,397000,"[6, 1, 5, 4, 3]",704,430,54344,92235
1,50000,[2],232,232,26796,26796
3,197000,"[2, 1, 5]",613,438,64348,95703
1,60000,[1],284,284,40186,40186
4,317000,"[2, 1, 5, 3]",746,467,68795,108811
3,230000,"[2, 1, 3]",649,457,67304,104196
2,140000,"[6, 3]",216,159,10585,12561
2,170000,"[2, 3]",365,307,33921,46971
3,280000,"[2, 4, 3]",472,364,38792,66066
3,257000,"[1, 5, 4]",488,387,48161,74691
2,137000,"[2, 5]",329,283,30417,39903
3,220000,"[2, 1, 4]",623,472,66860,111156
3,257000,"[2, 5, 3]",462,325,36024,52650
1,120000,[3],133,133,8778,8778
2,160000,"[2, 4]",339,306,31939,46665
3,247000,"[2, 5, 4]",436,344,35339,58996
2,230000,"[4, 3]",240,215,14149,23005
2,147000,"[1, 5]",381,321,43072,51360
3,317000,"[5, 4, 3]",337,240,16681,28680
4,340000,"[2, 1, 4, 3]",756,503,71895,126253
4,367000,"[2, 5, 4, 3]",569,379,40769,71631
2,170000,"[1, 4]",391,364,45506,66066
4,377000,"[1, 5, 4, 3]",621,421,53196,88410
3,290000,"[1, 4, 3]",524,409,51464,83436
3,267000,"[1, 5, 3]",514,363,48287,65703
1,87000,[5],97,97,4656,4656
1,110000,[4],107,107,5671,5671
1,400000,[0],541,541,146070,146070
2,207000,"[5, 3]",230,167,11481,13861
2,197000,"[5, 4]",204,180,10051,16110
2,180000,"[1, 3]",417,345,46408,59340
