subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,13000,[4],134,134,8911,8911
2,27000,"[4, 3]",326,233,22969,27028
2,53000,"[4, 1]",441,353,52054,62128
1,14000,[3],192,192,18336,18336
3,67000,"[4, 3, 1]",633,426,64097,90525
3,137000,"[4, 3, 2]",583,397,51839,78606
2,443000,"[4, 0]",695,601,161620,180300
2,54000,"[3, 1]",499,408,61212,83028
4,177000,"[4, 3, 1, 2]",890,488,79872,118828
1,40000,[1],307,307,46971,46971
3,163000,"[4, 1, 2]",698,424,68522,89676
2,124000,"[3, 2]",449,370,48151,68265
2,444000,"[3, 0]",753,613,165686,187578
3,164000,"[3, 1, 2]",756,474,77307,112101
2,123000,"[4, 2]",391,316,39032,49770
1,430000,[0],561,561,157080,157080
1,110000,[2],257,257,32896,32896
2,150000,"[1, 2]",564,385,63936,73920
