subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,6000,[3],74,74,2701,2701
2,20600,"[3, 4]",129,119,4141,7021
3,49600,"[3, 4, 2]",224,185,8238,17020
3,120600,"[3, 4, 5]",183,165,5550,13530
3,120600,"[3, 4, 0]",408,372,42669,69006
2,35000,"[3, 2]",169,159,7121,12561
4,149600,"[3, 4, 2, 5]",278,220,9522,24090
5,349600,"[3, 4, 2, 5, 1]",479,379,29331,71631
4,220600,"[3, 4, 0, 5]",462,403,43958,81003
4,320600,"[3, 4, 5, 1]",384,340,25529,57630
4,320600,"[3, 4, 0, 1]",609,532,62292,141246
5,249600,"[3, 4, 2, 0, 5]",557,441,47335,97020
5,349600,"[3, 4, 2, 0, 1]",704,564,65634,158766
3,135000,"[3, 2, 0]",448,394,45136,77421
4,149600,"[3, 4, 2, 0]",503,416,46161,86320
3,220600,"[3, 4, 1]",330,307,24198,46971
4,249600,"[3, 4, 2, 1]",425,355,28124,62835
3,206000,"[3, 0, 5]",407,378,42750,71253
2,106000,"[3, 0]",353,345,41454,59340
3,306000,"[3, 5, 1]",329,304,24124,46056
3,135000,"[3, 2, 5]",223,194,8407,18721
3,314600,"[4, 0, 1]",535,477,59673,113526
4,235000,"[3, 2, 0, 5]",502,419,46312,87571
4,335000,"[3, 2, 0, 1]",649,548,64636,149878
3,235000,"[3, 2, 1]",370,336,27035,56280
4,335000,"[3, 2, 5, 1]",424,360,28244,64620
1,14600,[4],55,55,1485,1485
1,29000,[2],95,95,4465,4465
2,114600,"[4, 5]",109,104,2906,5356
2,106000,"[3, 5]",128,122,4117,7381
2,114600,"[4, 0]",334,312,40035,48516
2,43600,"[4, 2]",150,123,5599,7503
4,243600,"[4, 2, 0, 5]",483,383,44725,73153
2,206000,"[3, 1]",275,269,22786,36046
3,243600,"[4, 2, 1]",351,298,25500,44253
2,214600,"[4, 1]",256,248,21557,30628
3,214600,"[4, 0, 5]",388,345,41336,59340
4,406000,"[3, 0, 5, 1]",608,532,62322,141246
3,306000,"[3, 0, 1]",554,511,61104,130305
3,314600,"[4, 5, 1]",310,284,22900,40186
2,300000,"[0, 1]",480,450,58446,101025
2,129000,"[2, 0]",374,335,42505,55945
4,343600,"[4, 2, 5, 1]",405,323,26714,52003
1,200000,[1],201,201,20100,20100
4,343600,"[4, 2, 0, 1]",630,511,63032,130305
1,100000,[0],279,279,38781,38781
2,129000,"[2, 5]",149,132,5760,8646
3,400000,"[0, 5, 1]",534,476,59679,113050
2,229000,"[2, 1]",296,277,24394,38226
3,229000,"[2, 0, 5]",428,361,43690,64980
3,143600,"[4, 2, 0]",429,358,43544,63903
1,100000,[5],54,54,1431,1431
3,143600,"[4, 2, 5]",204,159,6890,12561
2,200000,"[0, 5]",333,317,40092,50086
3,329000,"[2, 5, 1]",350,303,25612,45753
3,329000,"[2, 0, 1]",575,494,62020,121771
2,300000,"[5, 1]",255,242,21453,29161
