subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,10000,[10],320,320,51040,51040
2,25000,"[10, 3]",1156,1035,392810,535095
3,45000,"[10, 3, 5]",1928,1327,597172,879801
4,75000,"[10, 3, 5, 7]",2389,1550,681319,1200475
4,295000,"[10, 3, 5, 1]",2851,1831,964269,1675365
4,125000,"[10, 3, 5, 4]",2759,1741,881490,1514670
5,155000,"[10, 3, 5, 7, 4]",3220,1895,957680,1794565
5,325000,"[10, 3, 5, 7, 1]",3312,1922,1020878,1846081
5,410000,"[10, 3, 5, 7, 9]",2737,1773,738423,1570878
4,345000,"[10, 3, 5, 11]",2206,1514,632812,1145341
5,347000,"[10, 3, 5, 7, 0]",3812,2156,1506043,2323090
4,317000,"[10, 3, 5, 0]",3351,2075,1454312,2151775
5,375000,"[10, 3, 5, 7, 11]",2667,1704,715842,1450956
5,425000,"[10, 3, 5, 7, 6]",3047,1879,870544,1764381
4,395000,"[10, 3, 5, 6]",2586,1767,797354,1560261
5,470000,"[10, 3, 5, 7, 2]",3260,2013,1016823,2025078
6,490000,"[10, 3, 5, 7, 4, 9]",3568,2089,1013377,2180916
4,380000,"[10, 3, 5, 9]",2276,1583,655186,1252153
6,505000,"[10, 3, 5, 7, 4, 6]",3878,2154,1137652,2318781
5,460000,"[10, 3, 5, 4, 9]",3107,1964,938079,1927666
6,427000,"[10, 3, 5, 7, 4, 0]",4643,2356,1705319,2774190
5,397000,"[10, 3, 5, 4, 0]",4182,2298,1658638,2639253
5,520000,"[10, 3, 5, 4, 2]",3630,2159,1199498,2329561
5,475000,"[10, 3, 5, 4, 6]",3417,2083,1071761,2168403
6,455000,"[10, 3, 5, 7, 4, 11]",3498,2035,991570,2069595
5,425000,"[10, 3, 5, 4, 11]",3037,1910,916483,1823095
5,595000,"[10, 3, 5, 1, 11]",3129,1967,996721,1933561
5,375000,"[10, 3, 5, 4, 1]",3682,2099,1215001,2201851
6,405000,"[10, 3, 5, 7, 4, 1]",4143,2161,1265669,2333880
6,550000,"[10, 3, 5, 7, 4, 2]",4091,2260,1269153,2552670
5,567000,"[10, 3, 5, 1, 0]",4274,2250,1670225,2530125
6,597000,"[10, 3, 5, 7, 1, 0]",4735,2280,1704515,2598060
3,55000,"[10, 3, 7]",1617,1275,478802,812175
4,440000,"[10, 3, 5, 2]",2799,1864,939610,1736316
4,135000,"[10, 3, 7, 4]",2448,1693,773470,1432278
3,105000,"[10, 3, 4]",1987,1526,695515,1163575
5,385000,"[10, 3, 7, 4, 1]",3371,1989,1089527,1977066
3,275000,"[10, 3, 1]",2079,1600,769370,1279200
3,297000,"[10, 3, 0]",2579,1919,1301732,1840321
3,325000,"[10, 3, 11]",1434,1230,428738,755835
3,360000,"[10, 3, 9]",1504,1305,451097,850860
4,327000,"[10, 3, 7, 0]",3040,2003,1354417,2005003
4,305000,"[10, 3, 7, 1]",2540,1698,827519,1440753
4,355000,"[10, 3, 7, 11]",1895,1437,513613,1031766
4,405000,"[10, 3, 7, 6]",2275,1626,670181,1321125
4,355000,"[10, 3, 4, 1]",2910,1923,1037397,1848003
4,390000,"[10, 3, 7, 9]",1965,1511,536179,1140805
4,450000,"[10, 3, 7, 2]",2488,1828,834535,1669878
4,377000,"[10, 3, 4, 0]",3410,2159,1514653,2329561
4,405000,"[10, 3, 4, 11]",2265,1701,730783,1445850
4,500000,"[10, 3, 4, 2]",2858,2004,1030923,2007006
4,547000,"[10, 3, 1, 0]",3502,2107,1522777,2218671
4,610000,"[10, 3, 1, 9]",2427,1758,819009,1544403
4,575000,"[10, 3, 1, 11]",2357,1742,802099,1516411
5,407000,"[10, 3, 7, 4, 0]",3871,2220,1562238,2463090
5,470000,"[10, 3, 7, 4, 9]",2796,1896,829426,1796460
5,435000,"[10, 3, 7, 4, 11]",2726,1839,807635,1690041
4,597000,"[10, 3, 0, 11]",2857,2043,1331792,2085903
4,455000,"[10, 3, 4, 6]",2645,1892,887926,1788886
4,440000,"[10, 3, 4, 9]",2335,1759,752363,1546161
5,485000,"[10, 3, 7, 4, 6]",3106,1971,955542,1941435
5,530000,"[10, 3, 7, 4, 2]",3319,2109,1102019,2222886
5,605000,"[10, 3, 7, 1, 11]",2818,1821,859306,1657110
5,577000,"[10, 3, 7, 1, 0]",3963,2138,1557840,2284453
3,375000,"[10, 3, 6]",1814,1502,595186,1127251
3,420000,"[10, 3, 2]",2027,1673,755802,1398628
2,30000,"[10, 5]",1092,968,341020,468028
3,60000,"[10, 5, 7]",1553,1307,442039,853471
4,140000,"[10, 5, 7, 4]",2384,1722,743334,1481781
3,110000,"[10, 5, 4]",1923,1500,652134,1124250
3,280000,"[10, 5, 1]",2015,1641,747534,1345620
4,310000,"[10, 5, 7, 1]",2476,1774,815202,1572651
3,302000,"[10, 5, 0]",2515,1886,1259785,1777555
4,360000,"[10, 5, 7, 11]",1831,1495,478584,1116765
4,332000,"[10, 5, 7, 0]",2976,2021,1323489,2041210
4,395000,"[10, 5, 7, 9]",1901,1566,500910,1225395
4,410000,"[10, 5, 7, 6]",2211,1712,642406,1464616
5,475000,"[10, 5, 7, 4, 9]",2732,1943,800711,1886653
4,455000,"[10, 5, 7, 2]",2424,1799,783198,1617301
5,390000,"[10, 5, 7, 4, 1]",3307,2056,1082087,2112540
4,410000,"[10, 5, 4, 11]",2201,1702,689143,1447551
5,490000,"[10, 5, 7, 4, 6]",3042,2034,933626,2067561
4,382000,"[10, 5, 4, 0]",3346,2165,1482204,2342530
4,360000,"[10, 5, 4, 1]",2846,1977,1021898,1953276
5,412000,"[10, 5, 7, 4, 0]",3807,2253,1539368,2536878
5,440000,"[10, 5, 7, 4, 11]",2662,1889,779157,1783216
4,615000,"[10, 5, 1, 9]",2363,1818,798589,1651653
5,535000,"[10, 5, 7, 4, 2]",3255,2107,1059883,2218671
4,445000,"[10, 5, 4, 9]",2271,1756,710436,1540890
4,505000,"[10, 5, 4, 2]",2794,1945,975380,1890540
4,460000,"[10, 5, 4, 6]",2581,1915,853295,1832655
5,610000,"[10, 5, 7, 1, 11]",2754,1910,848409,1823095
4,602000,"[10, 5, 0, 11]",2793,2024,1291168,2047276
4,580000,"[10, 5, 1, 11]",2293,1798,781752,1615503
4,552000,"[10, 5, 1, 0]",3438,2127,1502040,2261001
5,582000,"[10, 5, 7, 1, 0]",3899,2182,1544248,2379471
3,330000,"[10, 5, 11]",1370,1196,378766,714610
3,365000,"[10, 5, 9]",1440,1269,400837,804546
3,380000,"[10, 5, 6]",1750,1514,552959,1145341
3,425000,"[10, 5, 2]",1963,1544,689278,1191196
2,40000,"[10, 7]",781,738,156167,271953
2,90000,"[10, 4]",1151,1032,388884,531996
3,120000,"[10, 7, 4]",1612,1315,484021,863955
2,260000,"[10, 1]",1243,1157,472888,668746
3,290000,"[10, 7, 1]",1704,1334,544034,889111
4,420000,"[10, 7, 4, 11]",1890,1504,520461,1130256
3,340000,"[10, 7, 11]",1059,955,193357,455535
3,312000,"[10, 7, 0]",2204,1705,1109155,1452660
3,375000,"[10, 7, 9]",1129,1022,215389,521731
3,390000,"[10, 4, 11]",1429,1262,426531,795691
3,362000,"[10, 4, 0]",2574,1886,1279371,1777555
4,370000,"[10, 7, 4, 1]",2535,1732,836011,1499046
3,340000,"[10, 4, 1]",2074,1624,772512,1317876
4,392000,"[10, 7, 4, 0]",3035,1990,1338759,1979055
3,390000,"[10, 7, 6]",1439,1210,360098,731445
3,435000,"[10, 7, 2]",1652,1400,522411,979300
3,560000,"[10, 1, 11]",1521,1343,507751,901153
3,425000,"[10, 4, 9]",1499,1308,447522,854778
4,455000,"[10, 7, 4, 9]",1960,1555,541734,1208235
3,485000,"[10, 4, 2]",2022,1597,733956,1274406
3,440000,"[10, 4, 6]",1809,1512,593574,1142316
3,532000,"[10, 1, 0]",2666,1846,1294810,1702935
4,470000,"[10, 7, 4, 6]",2270,1682,677787,1413721
3,595000,"[10, 1, 9]",1591,1356,524288,918690
3,610000,"[10, 1, 6]",1901,1482,641213,1097421
4,590000,"[10, 7, 1, 11]",1982,1492,577865,1112286
4,515000,"[10, 7, 4, 2]",2483,1799,822006,1617301
4,562000,"[10, 7, 1, 0]",3127,1912,1338937,1826916
4,612000,"[10, 7, 0, 11]",2482,1844,1140306,1699246
