subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,3000,[9],254,254,32131,32131
2,13000,"[9, 8]",510,501,64735,125250
5,61000,"[9, 8, 7, 12, 10]",1133,891,128608,396495
3,25000,"[9, 8, 7]",786,709,101397,250986
4,41000,"[9, 8, 7, 12]",935,780,110864,303810
8,208600,"[9, 8, 7, 12, 10, 0, 3, 4]",2777,1623,541199,1316253
6,83000,"[9, 8, 7, 12, 10, 0]",1918,1314,400624,862641
7,113000,"[9, 8, 7, 12, 10, 0, 3]",2445,1407,489572,989121
8,143000,"[9, 8, 7, 12, 10, 0, 3, 5]",2753,1482,518280,1097421
10,393000,"[9, 8, 7, 12, 10, 0, 3, 5, 1, 6]",3617,1681,662201,1412040
9,238600,"[9, 8, 7, 12, 10, 0, 3, 5, 4]",3085,1695,569837,1435665
10,411100,"[9, 8, 7, 12, 10, 0, 3, 4, 1, 2]",3866,1862,742935,1732591
10,543000,"[9, 8, 7, 12, 10, 0, 3, 5, 1, 11]",3486,1727,652907,1490401
9,245500,"[9, 8, 7, 12, 10, 0, 3, 5, 2]",3281,1654,627182,1367031
10,338600,"[9, 8, 7, 12, 10, 0, 3, 5, 4, 1]",3646,1844,691964,1699246
10,341100,"[9, 8, 7, 12, 10, 0, 3, 5, 4, 2]",3613,1852,678160,1714026
10,388600,"[9, 8, 7, 12, 10, 0, 3, 5, 4, 6]",3388,1759,603414,1546161
10,395500,"[9, 8, 7, 12, 10, 0, 3, 5, 2, 6]",3584,1690,656002,1427205
11,488600,"[9, 8, 7, 12, 10, 0, 3, 5, 4, 1, 6]",3949,1863,711749,1734453
9,293000,"[9, 8, 7, 12, 10, 0, 3, 5, 6]",3056,1558,552230,1212903
9,308600,"[9, 8, 7, 12, 10, 0, 3, 4, 1]",3338,1798,666584,1615503
10,458600,"[9, 8, 7, 12, 10, 0, 3, 4, 1, 6]",3641,1832,688486,1677196
9,443000,"[9, 8, 7, 12, 10, 0, 3, 5, 11]",2925,1616,532743,1304920
10,545500,"[9, 8, 7, 12, 10, 0, 3, 5, 2, 11]",3453,1726,638610,1488675
10,538600,"[9, 8, 7, 12, 10, 0, 3, 5, 4, 11]",3257,1826,584275,1666225
9,243000,"[9, 8, 7, 12, 10, 0, 3, 5, 1]",3314,1658,642203,1373653
11,441100,"[9, 8, 7, 12, 10, 0, 3, 5, 4, 1, 2]",4174,1895,767397,1794565
11,561100,"[9, 8, 7, 12, 10, 0, 3, 4, 1, 2, 6]",4169,1881,761927,1768140
11,491100,"[9, 8, 7, 12, 10, 0, 3, 5, 4, 2, 6]",3916,1882,706642,1770021
10,345500,"[9, 8, 7, 12, 10, 0, 3, 5, 1, 2]",3842,1714,718113,1468041
