subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
2,16500,"[12, 9]",415,404,52300,81406
1,5500,[12],110,110,5995,5995
3,28900,"[12, 9, 11]",666,593,81894,175528
4,41900,"[12, 9, 11, 10]",955,838,123072,350703
9,522150,"[12, 9, 11, 10, 3, 5, 1, 7, 2]",5583,2753,1915915,3788128
5,61900,"[12, 9, 11, 10, 3]",1841,1535,508681,1177345
6,81900,"[12, 9, 11, 10, 3, 5]",2591,1841,722819,1693720
7,108900,"[12, 9, 11, 10, 3, 5, 8]",3201,2213,890333,2447578
7,156900,"[12, 9, 11, 10, 3, 5, 1]",3896,2386,1441116,2845305
10,549150,"[12, 9, 11, 10, 3, 5, 8, 1, 7, 2]",6193,3043,2070318,4628403
8,183900,"[12, 9, 11, 10, 3, 5, 8, 1]",4506,2726,1603662,3714175
8,258900,"[12, 9, 11, 10, 3, 5, 8, 7]",3895,2525,1102532,3186550
8,188900,"[12, 9, 11, 10, 3, 5, 8, 4]",4020,2496,1157105,3113760
8,324150,"[12, 9, 11, 10, 3, 5, 8, 2]",4194,2630,1312516,3457135
8,708900,"[12, 9, 11, 10, 3, 5, 8, 0]",4600,2792,1723822,3896236
8,236900,"[12, 9, 11, 10, 3, 5, 1, 4]",4715,2494,1571401,3108771
8,306900,"[12, 9, 11, 10, 3, 5, 1, 7]",4590,2572,1607112,3306306
9,333900,"[12, 9, 11, 10, 3, 5, 8, 1, 7]",5200,2894,1768124,4186171
9,263900,"[12, 9, 11, 10, 3, 5, 8, 1, 4]",5325,2820,1732609,3974790
9,338900,"[12, 9, 11, 10, 3, 5, 8, 4, 7]",4714,2739,1358698,3749691
9,404150,"[12, 9, 11, 10, 3, 5, 8, 4, 2]",5013,2829,1559084,4000206
9,474150,"[12, 9, 11, 10, 3, 5, 8, 7, 2]",4888,2756,1464685,3796390
9,386900,"[12, 9, 11, 10, 3, 5, 1, 4, 7]",5409,2663,1733012,3544453
9,452150,"[12, 9, 11, 10, 3, 5, 1, 4, 2]",5708,2752,1920500,3785376
10,479150,"[12, 9, 11, 10, 3, 5, 8, 1, 4, 2]",6318,3040,2074719,4619280
10,413900,"[12, 9, 11, 10, 3, 5, 8, 1, 4, 7]",6019,2972,1892706,4414906
10,554150,"[12, 9, 11, 10, 3, 5, 8, 4, 7, 2]",5707,2935,1702290,4305645
10,602150,"[12, 9, 11, 10, 3, 5, 1, 4, 7, 2]",6402,2833,2033831,4011528
8,372150,"[12, 9, 11, 10, 3, 5, 1, 2]",4889,2666,1798897,3552445
11,629150,"[12, 9, 11, 10, 3, 5, 8, 1, 4, 7, 2]",7012,3118,2187058,4859403
8,756900,"[12, 9, 11, 10, 3, 5, 1, 0]",5295,2747,2081680,3771631
9,399150,"[12, 9, 11, 10, 3, 5, 8, 1, 2]",5499,2960,1954312,4379320
7,161900,"[12, 9, 11, 10, 3, 5, 4]",3410,2148,991811,2305878
8,311900,"[12, 9, 11, 10, 3, 5, 4, 7]",4104,2411,1195014,2905255
9,527150,"[12, 9, 11, 10, 3, 5, 4, 7, 2]",5097,2639,1545437,3480841
7,231900,"[12, 9, 11, 10, 3, 5, 7]",3285,2177,936666,2368576
8,377150,"[12, 9, 11, 10, 3, 5, 4, 2]",4403,2530,1401146,3199185
8,761900,"[12, 9, 11, 10, 3, 5, 4, 0]",4809,2593,1720282,3360528
6,88900,"[12, 9, 11, 10, 3, 8]",2451,1970,685470,1939465
8,447150,"[12, 9, 11, 10, 3, 5, 7, 2]",4278,2451,1305848,3002475
7,297150,"[12, 9, 11, 10, 3, 5, 2]",3584,2318,1152556,2685403
7,681900,"[12, 9, 11, 10, 3, 5, 0]",3990,2479,1564421,3071481
7,163900,"[12, 9, 11, 10, 3, 8, 1]",3756,2570,1424071,3301165
7,168900,"[12, 9, 11, 10, 3, 8, 4]",3270,2300,961910,2643850
8,243900,"[12, 9, 11, 10, 3, 8, 1, 4]",4575,2680,1558337,3589860
8,313900,"[12, 9, 11, 10, 3, 8, 1, 7]",4450,2774,1595417,3846151
7,238900,"[12, 9, 11, 10, 3, 8, 7]",3145,2343,905398,2743653
6,136900,"[12, 9, 11, 10, 3, 1]",3146,2192,1253173,2401336
8,318900,"[12, 9, 11, 10, 3, 8, 4, 7]",3964,2590,1171097,3352755
8,763900,"[12, 9, 11, 10, 3, 8, 1, 0]",5155,2946,2081491,4337985
7,304150,"[12, 9, 11, 10, 3, 8, 2]",3444,2505,1136713,3136260
8,379150,"[12, 9, 11, 10, 3, 8, 1, 2]",4749,2891,1801838,4177495
7,688900,"[12, 9, 11, 10, 3, 8, 0]",3850,2645,1546970,3496690
8,384150,"[12, 9, 11, 10, 3, 8, 4, 2]",4263,2737,1392419,3744216
9,393900,"[12, 9, 11, 10, 3, 8, 1, 4, 7]",5269,2861,1725219,4091230
8,768900,"[12, 9, 11, 10, 3, 8, 4, 0]",4669,2772,1708138,3840606
9,459150,"[12, 9, 11, 10, 3, 8, 1, 4, 2]",5568,2981,1927212,4441690
9,529150,"[12, 9, 11, 10, 3, 8, 1, 7, 2]",5443,2986,1922842,4456605
9,534150,"[12, 9, 11, 10, 3, 8, 4, 7, 2]",4957,2856,1541243,4076940
7,216900,"[12, 9, 11, 10, 3, 1, 4]",3965,2319,1388914,2687721
8,454150,"[12, 9, 11, 10, 3, 8, 7, 2]",4138,2657,1294635,3528496
10,609150,"[12, 9, 11, 10, 3, 8, 1, 4, 7, 2]",6262,3064,2044450,4692516
8,366900,"[12, 9, 11, 10, 3, 1, 4, 7]",4659,2524,1557545,3184026
9,582150,"[12, 9, 11, 10, 3, 1, 4, 7, 2]",5652,2766,1884407,3823995
8,432150,"[12, 9, 11, 10, 3, 1, 4, 2]",4958,2679,1765981,3587181
7,286900,"[12, 9, 11, 10, 3, 1, 7]",3840,2422,1426289,2931831
6,141900,"[12, 9, 11, 10, 3, 4]",2660,1902,787544,1807851
7,352150,"[12, 9, 11, 10, 3, 1, 2]",4139,2580,1639274,3326910
7,736900,"[12, 9, 11, 10, 3, 1, 0]",4545,2621,1918326,3433510
8,502150,"[12, 9, 11, 10, 3, 1, 7, 2]",4833,2681,1761487,3592540
7,291900,"[12, 9, 11, 10, 3, 4, 7]",3354,2227,998612,2478651
7,357150,"[12, 9, 11, 10, 3, 4, 2]",3653,2411,1226648,2905255
6,211900,"[12, 9, 11, 10, 3, 7]",2535,1949,730529,1898326
7,741900,"[12, 9, 11, 10, 3, 4, 0]",4059,2432,1542023,2956096
8,507150,"[12, 9, 11, 10, 3, 4, 7, 2]",4347,2542,1376789,3229611
5,61900,"[12, 9, 11, 10, 5]",1705,1448,399861,1047628
6,277150,"[12, 9, 11, 10, 3, 2]",2834,2157,968723,2325246
6,661900,"[12, 9, 11, 10, 3, 0]",3240,2293,1379216,2627778
6,88900,"[12, 9, 11, 10, 5, 8]",2315,1845,571054,1701090
7,427150,"[12, 9, 11, 10, 3, 7, 2]",3528,2327,1128001,2706301
7,163900,"[12, 9, 11, 10, 5, 8, 1]",3620,2533,1350577,3206778
7,168900,"[12, 9, 11, 10, 5, 8, 4]",3134,2266,876604,2566245
8,243900,"[12, 9, 11, 10, 5, 8, 1, 4]",4439,2653,1494770,3517878
8,313900,"[12, 9, 11, 10, 5, 8, 1, 7]",4314,2744,1525304,3763396
8,379150,"[12, 9, 11, 10, 5, 8, 1, 2]",4613,2824,1719978,3986076
8,763900,"[12, 9, 11, 10, 5, 8, 1, 0]",5019,2952,2042415,4355676
9,393900,"[12, 9, 11, 10, 5, 8, 1, 4, 7]",5133,2843,1664796,4039903
8,318900,"[12, 9, 11, 10, 5, 8, 4, 7]",3828,2572,1090976,3306306
9,459150,"[12, 9, 11, 10, 5, 8, 1, 4, 2]",5432,2920,1854382,4261740
9,529150,"[12, 9, 11, 10, 5, 8, 1, 7, 2]",5307,2920,1844318,4261740
8,384150,"[12, 9, 11, 10, 5, 8, 4, 2]",4127,2669,1299597,3560446
8,768900,"[12, 9, 11, 10, 5, 8, 4, 0]",4533,2790,1658627,3890655
10,609150,"[12, 9, 11, 10, 5, 8, 1, 4, 7, 2]",6126,3009,1974728,4525536
7,238900,"[12, 9, 11, 10, 5, 8, 7]",3009,2260,797394,2552670
9,534150,"[12, 9, 11, 10, 5, 8, 4, 7, 2]",4821,2800,1453511,3918600
7,304150,"[12, 9, 11, 10, 5, 8, 2]",3308,2380,1016530,2831010
6,136900,"[12, 9, 11, 10, 5, 1]",3010,2180,1184651,2375110
7,688900,"[12, 9, 11, 10, 5, 8, 0]",3714,2655,1484976,3523185
8,454150,"[12, 9, 11, 10, 5, 8, 7, 2]",4002,2566,1180759,3290895
7,216900,"[12, 9, 11, 10, 5, 1, 4]",3829,2316,1330298,2680770
8,366900,"[12, 9, 11, 10, 5, 1, 4, 7]",4523,2526,1501984,3189075
6,141900,"[12, 9, 11, 10, 5, 4]",2524,1906,707813,1815465
7,286900,"[12, 9, 11, 10, 5, 1, 7]",3704,2413,1361061,2910078
9,582150,"[12, 9, 11, 10, 5, 1, 4, 7, 2]",5516,2717,1818682,3689686
7,352150,"[12, 9, 11, 10, 5, 1, 2]",4003,2522,1561499,3178981
7,736900,"[12, 9, 11, 10, 5, 1, 0]",4409,2648,1883883,3504628
8,432150,"[12, 9, 11, 10, 5, 1, 4, 2]",4822,2625,1697213,3444000
8,502150,"[12, 9, 11, 10, 5, 1, 7, 2]",4697,2623,1686985,3438753
7,291900,"[12, 9, 11, 10, 5, 4, 7]",3218,2235,923941,2496495
7,357150,"[12, 9, 11, 10, 5, 4, 2]",3517,2363,1138493,2790703
6,211900,"[12, 9, 11, 10, 5, 7]",2399,1894,628001,1792671
7,741900,"[12, 9, 11, 10, 5, 4, 0]",3923,2474,1497613,3059101
8,507150,"[12, 9, 11, 10, 5, 4, 7, 2]",4211,2497,1293623,3116256
5,68900,"[12, 9, 11, 10, 8]",1565,1389,308098,963966
6,277150,"[12, 9, 11, 10, 5, 2]",2698,2051,853225,2102275
6,661900,"[12, 9, 11, 10, 5, 0]",3104,2326,1322336,2703975
6,143900,"[12, 9, 11, 10, 8, 1]",2870,2232,1118232,2489796
7,427150,"[12, 9, 11, 10, 5, 7, 2]",3392,2248,1018714,2525628
7,223900,"[12, 9, 11, 10, 8, 1, 4]",3689,2380,1269438,2831010
6,148900,"[12, 9, 11, 10, 8, 4]",2384,1904,626021,1811656
7,293900,"[12, 9, 11, 10, 8, 1, 7]",3564,2495,1300319,3111265
7,359150,"[12, 9, 11, 10, 8, 1, 2]",3863,2639,1517128,3480841
8,373900,"[12, 9, 11, 10, 8, 1, 4, 7]",4383,2615,1446725,3417805
