subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,5000,[11],243,243,29403,29403
2,20000,"[11, 1]",977,867,292419,375411
3,35000,"[11, 1, 9]",1225,958,313816,458403
4,51700,"[11, 1, 9, 5]",1752,1425,451240,1014600
5,71700,"[11, 1, 9, 5, 8]",2138,1600,512069,1279200
8,351700,"[11, 1, 9, 5, 8, 0, 2, 6]",4148,2258,981521,2548153
6,127100,"[11, 1, 9, 5, 8, 4]",2697,1949,656609,1898326
7,287100,"[11, 1, 9, 5, 8, 4, 6]",3215,2042,717129,2083861
9,521700,"[11, 1, 9, 5, 8, 0, 2, 6, 3]",4713,2326,1060248,2703975
7,187100,"[11, 1, 9, 5, 8, 4, 2]",3317,2094,798551,2191371
7,187100,"[11, 1, 9, 5, 8, 4, 0]",3569,2193,945589,2403528
8,461700,"[11, 1, 9, 5, 8, 0, 6, 3]",4093,2295,1016646,2632365
6,131700,"[11, 1, 9, 5, 8, 0]",3010,1949,814461,1898326
7,297100,"[11, 1, 9, 5, 8, 4, 3]",3262,2118,776188,2241903
8,457100,"[11, 1, 9, 5, 8, 4, 6, 3]",3780,2201,834377,2421100
8,247100,"[11, 1, 9, 5, 8, 4, 0, 2]",4189,2228,992774,2480878
7,545100,"[11, 1, 9, 5, 8, 4, 10]",2942,2107,684953,2218671
9,407100,"[11, 1, 9, 5, 8, 4, 0, 2, 6]",4707,2312,1049792,2671516
7,191700,"[11, 1, 9, 5, 8, 0, 2]",3630,1988,863378,1975078
6,131700,"[11, 1, 9, 5, 8, 2]",2758,1822,661646,1658931
8,357100,"[11, 1, 9, 5, 8, 4, 0, 3]",4134,2256,1024081,2543640
7,291700,"[11, 1, 9, 5, 8, 0, 6]",3528,2222,933342,2467531
7,301700,"[11, 1, 9, 5, 8, 0, 3]",3575,2044,902247,2087946
8,347100,"[11, 1, 9, 5, 8, 4, 0, 6]",4087,2278,1002952,2593503
8,357100,"[11, 1, 9, 5, 8, 4, 2, 3]",3882,2230,904947,2485335
9,517100,"[11, 1, 9, 5, 8, 4, 0, 6, 3]",4652,2338,1079663,2731953
8,347100,"[11, 1, 9, 5, 8, 4, 2, 6]",3835,2181,857961,2377290
9,417100,"[11, 1, 9, 5, 8, 4, 0, 2, 3]",4754,2286,1066979,2611755
8,361700,"[11, 1, 9, 5, 8, 0, 2, 3]",4195,2076,946412,2153850
9,517100,"[11, 1, 9, 5, 8, 4, 2, 6, 3]",4400,2312,962298,2671516
10,577100,"[11, 1, 9, 5, 8, 4, 0, 2, 6, 3]",5272,2368,1122332,2802528
7,549700,"[11, 1, 9, 5, 8, 0, 10]",3255,2100,842437,2203950
5,107100,"[11, 1, 9, 5, 4]",2311,1823,598941,1660753
6,231700,"[11, 1, 9, 5, 8, 6]",2656,1938,637016,1876953
6,556700,"[11, 1, 9, 5, 8, 7]",2608,1743,592600,1518153
6,241700,"[11, 1, 9, 5, 8, 3]",2703,1855,643560,1719585
6,489700,"[11, 1, 9, 5, 8, 10]",2383,1765,540537,1556730
6,167100,"[11, 1, 9, 5, 4, 0]",3183,2138,905044,2284453
7,291700,"[11, 1, 9, 5, 8, 2, 6]",3276,2119,784205,2244021
7,549700,"[11, 1, 9, 5, 8, 2, 10]",3003,1976,689737,1951300
7,301700,"[11, 1, 9, 5, 8, 2, 3]",3323,2003,778331,2005003
7,401700,"[11, 1, 9, 5, 8, 6, 3]",3221,2143,763177,2295153
7,227100,"[11, 1, 9, 5, 4, 0, 2]",3803,2180,955128,2375110
