subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,5000,[7],325,325,52650,52650
3,29600,"[7, 12, 9]",708,620,99071,191890
2,15000,"[7, 12]",409,367,55275,67161
8,412600,"[7, 12, 9, 8, 10, 5, 11, 1]",3354,2420,1352549,2926990
8,404600,"[7, 12, 9, 8, 10, 5, 2, 6]",3353,2210,1102358,2440945
4,49600,"[7, 12, 9, 8]",1019,763,139426,290703
5,114600,"[7, 12, 9, 8, 10]",1260,906,165435,409965
6,204600,"[7, 12, 9, 8, 10, 5]",1699,1232,259453,758296
6,204600,"[7, 12, 9, 8, 10, 11]",1425,1006,178151,505515
7,294600,"[7, 12, 9, 8, 10, 5, 11]",1864,1322,272114,873181
7,304600,"[7, 12, 9, 8, 10, 5, 2]",2988,2138,1057681,2284453
7,304600,"[7, 12, 9, 8, 10, 5, 6]",2064,1322,306813,873181
7,364600,"[7, 12, 9, 8, 10, 5, 4]",2168,1393,349025,969528
7,322600,"[7, 12, 9, 8, 10, 5, 1]",3189,2353,1341111,2767128
8,394600,"[7, 12, 9, 8, 10, 5, 11, 6]",2229,1404,319234,984906
8,454600,"[7, 12, 9, 8, 10, 5, 11, 4]",2333,1440,358548,1036080
7,304600,"[7, 12, 9, 8, 10, 11, 2]",2714,1930,978336,1861485
7,417600,"[7, 12, 9, 8, 10, 5, 0]",3199,2459,1372289,3022111
8,394600,"[7, 12, 9, 8, 10, 5, 11, 2]",3153,2207,1069261,2434321
7,304600,"[7, 12, 9, 8, 10, 11, 6]",1790,1103,225904,607753
8,464600,"[7, 12, 9, 8, 10, 5, 2, 4]",3457,2264,1139199,2561716
8,422600,"[7, 12, 9, 8, 10, 5, 2, 1]",4478,3200,2125573,5118400
8,464600,"[7, 12, 9, 8, 10, 5, 6, 4]",2533,1448,389682,1047628
8,422600,"[7, 12, 9, 8, 10, 5, 6, 1]",3554,2386,1373482,2845305
8,482600,"[7, 12, 9, 8, 10, 5, 1, 4]",3658,2440,1414059,2975580
8,422600,"[7, 12, 9, 8, 10, 11, 2, 1]",4204,2984,2045750,4450636
8,404600,"[7, 12, 9, 8, 10, 11, 2, 6]",3079,2009,1023403,2017036
8,464600,"[7, 12, 9, 8, 10, 11, 2, 4]",3183,2033,1057877,2065528
9,494600,"[7, 12, 9, 8, 10, 5, 11, 2, 6]",3518,2275,1113725,2586675
8,422600,"[7, 12, 9, 8, 10, 11, 6, 1]",3280,2160,1292054,2331720
7,322600,"[7, 12, 9, 8, 10, 11, 1]",2915,2120,1259300,2246140
8,464600,"[7, 12, 9, 8, 10, 11, 6, 4]",2259,1209,306885,730236
7,364600,"[7, 12, 9, 8, 10, 11, 4]",1894,1144,265770,653796
7,417600,"[7, 12, 9, 8, 10, 11, 0]",2925,2231,1290812,2487565
6,214600,"[7, 12, 9, 8, 10, 2]",2549,1855,966707,1719585
8,482600,"[7, 12, 9, 8, 10, 11, 1, 4]",3384,2195,1330595,2407915
7,314600,"[7, 12, 9, 8, 10, 2, 6]",2914,1938,1011987,1876953
8,432600,"[7, 12, 9, 8, 10, 2, 6, 1]",4404,2961,2066105,4382280
8,474600,"[7, 12, 9, 8, 10, 2, 6, 4]",3383,2046,1088096,2092035
7,332600,"[7, 12, 9, 8, 10, 2, 1]",4039,2924,2035138,4273426
5,139600,"[7, 12, 9, 8, 5]",1458,1122,234358,628881
6,214600,"[7, 12, 9, 8, 10, 6]",1625,1011,213428,510555
7,374600,"[7, 12, 9, 8, 10, 2, 4]",3018,1990,1049171,1979055
7,427600,"[7, 12, 9, 8, 10, 2, 0]",4049,2826,2019805,3991725
6,232600,"[7, 12, 9, 8, 10, 1]",2750,2046,1247810,2092035
6,274600,"[7, 12, 9, 8, 10, 4]",1729,1090,256198,593505
6,229600,"[7, 12, 9, 8, 5, 11]",1623,1222,247162,746031
6,327600,"[7, 12, 9, 8, 10, 0]",2760,2146,1278458,2301585
7,332600,"[7, 12, 9, 8, 10, 6, 1]",3115,2090,1280764,2183005
7,427600,"[7, 12, 9, 8, 10, 6, 0]",3125,2221,1321665,2465310
7,374600,"[7, 12, 9, 8, 10, 6, 4]",2094,1157,297436,668746
8,492600,"[7, 12, 9, 8, 10, 2, 1, 4]",4508,3001,2101744,4501500
7,487600,"[7, 12, 9, 8, 10, 4, 0]",3229,2286,1364626,2611755
7,392600,"[7, 12, 9, 8, 10, 1, 4]",3219,2149,1321881,2308026
7,445600,"[7, 12, 9, 8, 10, 1, 0]",4250,2339,1736538,2734291
7,329600,"[7, 12, 9, 8, 5, 11, 2]",2912,2126,1046349,2258875
7,329600,"[7, 12, 9, 8, 5, 11, 6]",1988,1318,294899,867903
8,492600,"[7, 12, 9, 8, 10, 6, 1, 4]",3584,2184,1350491,2383836
8,429600,"[7, 12, 9, 8, 5, 11, 2, 6]",3277,2202,1091356,2423301
