subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,10000,[8],54,54,1431,1431
3,68000,"[8, 6, 4]",287,207,12974,21321
2,29000,"[8, 6]",162,159,7206,12561
5,194500,"[8, 6, 4, 7, 1]",531,248,20228,30628
4,124500,"[8, 6, 4, 7]",371,227,14852,25651
6,344500,"[8, 6, 4, 7, 1, 3]",660,327,27914,53301
6,344500,"[8, 6, 4, 7, 1, 5]",654,327,27295,53301
5,239500,"[8, 6, 4, 7, 0]",616,368,42221,67528
6,309500,"[8, 6, 4, 7, 1, 0]",776,384,46739,73536
4,138000,"[8, 6, 4, 1]",447,245,19731,29890
6,389500,"[8, 6, 4, 7, 0, 5]",739,372,42791,69006
5,274500,"[8, 6, 4, 7, 5]",494,311,22014,48205
6,389500,"[8, 6, 4, 7, 0, 3]",745,373,42943,69378
5,274500,"[8, 6, 4, 7, 3]",500,311,22728,48205
5,406000,"[8, 6, 4, 7, 2]",517,269,21681,36046
5,368000,"[8, 6, 4, 3, 5]",539,302,21673,45451
4,218000,"[8, 6, 4, 5]",410,291,20136,42195
4,218000,"[8, 6, 4, 3]",416,296,20870,43660
4,183000,"[8, 6, 4, 0]",532,360,40884,64620
4,349500,"[8, 6, 4, 2]",433,255,20298,32385
4,155500,"[8, 6, 7, 1]",406,233,17455,27028
5,288000,"[8, 6, 4, 1, 5]",570,324,26798,52326
3,85500,"[8, 6, 7]",246,197,9997,19306
5,333000,"[8, 6, 4, 0, 3]",661,365,41606,66430
5,333000,"[8, 6, 4, 0, 5]",655,364,41454,66066
5,253000,"[8, 6, 4, 1, 0]",692,381,46343,72390
5,270500,"[8, 6, 7, 1, 0]",651,380,44705,72010
6,403000,"[8, 6, 4, 1, 0, 3]",821,385,47030,73920
5,288000,"[8, 6, 4, 1, 3]",576,324,27427,52326
4,200500,"[8, 6, 7, 0]",491,359,38352,64261
6,403000,"[8, 6, 4, 1, 0, 5]",815,384,46889,73536
5,305500,"[8, 6, 7, 1, 5]",529,320,24706,51040
5,305500,"[8, 6, 7, 1, 3]",535,320,25343,51040
4,235500,"[8, 6, 7, 5]",369,294,17358,43071
5,385500,"[8, 6, 7, 3, 5]",498,301,18915,45150
5,350500,"[8, 6, 7, 0, 5]",614,363,38938,65703
4,249000,"[8, 6, 1, 3]",451,314,24546,49141
5,350500,"[8, 6, 7, 0, 3]",620,364,39092,66066
4,235500,"[8, 6, 7, 3]",375,295,18096,43365
3,99000,"[8, 6, 1]",322,225,16647,25200
4,367000,"[8, 6, 7, 2]",392,248,17883,30628
4,380500,"[8, 6, 1, 2]",468,269,23091,36046
3,144000,"[8, 6, 0]",407,346,36235,59685
5,364000,"[8, 6, 1, 0, 3]",696,380,44765,72010
4,214000,"[8, 6, 1, 0]",567,376,44066,70500
3,179000,"[8, 6, 5]",285,258,14568,33153
4,294000,"[8, 6, 0, 3]",536,351,36975,61425
2,49000,"[8, 4]",179,161,9028,12880
3,105500,"[8, 4, 7]",263,192,11259,18336
5,399000,"[8, 6, 1, 3, 5]",574,320,25365,51040
4,249000,"[8, 6, 1, 5]",445,314,23899,49141
3,179000,"[8, 6, 3]",291,264,15326,34716
5,364000,"[8, 6, 1, 0, 5]",690,379,44623,71631
4,329000,"[8, 6, 3, 5]",414,270,16145,36315
4,294000,"[8, 6, 0, 5]",530,350,36821,61075
3,310500,"[8, 6, 2]",308,226,15964,25425
4,175500,"[8, 4, 7, 1]",423,226,17958,25425
4,255500,"[8, 4, 7, 3]",392,284,19179,40186
4,220500,"[8, 4, 7, 0]",508,349,39090,60726
5,370500,"[8, 4, 7, 0, 5]",631,353,39660,62128
5,325500,"[8, 4, 7, 1, 3]",552,308,25678,47278
5,405500,"[8, 4, 7, 3, 5]",515,290,19982,41905
5,325500,"[8, 4, 7, 1, 5]",546,308,25051,47278
5,290500,"[8, 4, 7, 1, 0]",668,371,44785,68635
5,370500,"[8, 4, 7, 0, 3]",637,354,39812,62481
4,255500,"[8, 4, 7, 5]",386,284,18457,40186
3,119000,"[8, 4, 1]",339,223,17405,24753
4,314000,"[8, 4, 0, 3]",553,344,38185,58996
2,66500,"[8, 7]",138,126,4851,7875
4,387000,"[8, 4, 7, 2]",409,243,18754,29403
3,199000,"[8, 4, 3]",308,258,16968,33153
4,269000,"[8, 4, 1, 5]",462,305,24498,46360
4,234000,"[8, 4, 1, 0]",584,368,44342,67528
3,164000,"[8, 4, 0]",424,339,37463,57291
3,199000,"[8, 4, 5]",302,253,16226,31878
4,286500,"[8, 7, 1, 5]",421,299,22217,44551
4,400500,"[8, 4, 1, 2]",485,265,23570,34980
3,136500,"[8, 7, 1]",298,208,14940,21528
3,330500,"[8, 4, 2]",325,227,17207,25651
4,314000,"[8, 4, 0, 5]",547,343,38033,58653
5,384000,"[8, 4, 1, 0, 3]",713,372,45029,69006
4,349000,"[8, 4, 3, 5]",431,264,17771,34716
5,384000,"[8, 4, 1, 0, 5]",707,371,44888,68635
4,251500,"[8, 7, 1, 0]",543,367,42530,67161
3,216500,"[8, 7, 3]",267,234,12995,27261
4,286500,"[8, 7, 1, 3]",427,300,22863,44850
3,181500,"[8, 7, 0]",383,309,33701,47586
2,80000,"[8, 1]",214,198,14031,19503
3,348000,"[8, 7, 2]",284,208,14008,21528
5,401500,"[8, 7, 1, 0, 5]",666,370,43087,68265
5,401500,"[8, 7, 1, 0, 3]",672,371,43229,68635
4,366500,"[8, 7, 3, 5]",390,240,13814,28680
4,331500,"[8, 7, 0, 3]",512,314,34441,49141
4,331500,"[8, 7, 0, 5]",506,313,34287,48828
3,195000,"[8, 1, 0]",459,362,41801,65341
1,19000,[6],108,108,5778,5778
2,160000,"[8, 3]",183,169,9596,14196
2,125000,"[8, 0]",299,274,31021,37401
3,216500,"[8, 7, 5]",261,232,12248,26796
2,291500,"[8, 2]",200,178,11785,15753
3,361500,"[8, 1, 2]",360,248,20796,30628
3,230000,"[8, 1, 3]",343,292,21965,42486
2,160000,"[8, 5]",177,162,8829,13041
3,230000,"[8, 1, 5]",337,291,21309,42195
4,345000,"[8, 1, 0, 5]",582,365,42358,66430
4,345000,"[8, 1, 0, 3]",588,366,42500,66795
3,310000,"[8, 3, 5]",306,175,10415,15225
3,114500,"[6, 4, 7]",317,194,13605,18721
3,275000,"[8, 0, 3]",428,279,31761,38781
3,275000,"[8, 0, 5]",422,278,31607,38503
2,58000,"[6, 4]",233,172,11698,14706
3,406500,"[8, 0, 2]",445,345,39361,59340
4,269000,"[8, 4, 1, 3]",468,305,25135,46360
4,380000,"[8, 1, 3, 5]",466,298,22784,44253
4,184500,"[6, 4, 7, 1]",477,218,19029,23653
5,334500,"[6, 4, 7, 1, 3]",606,307,26800,46971
4,264500,"[6, 4, 7, 3]",446,288,21566,41328
5,334500,"[6, 4, 7, 1, 5]",600,307,26191,46971
4,396000,"[6, 4, 7, 2]",463,247,20616,30381
5,379500,"[6, 4, 7, 0, 3]",691,357,41984,63546
5,299500,"[6, 4, 7, 1, 0]",722,370,45812,68265
3,128000,"[6, 4, 1]",393,215,18520,23005
4,229500,"[6, 4, 7, 0]",562,352,41252,61776
