subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,2500,[9],181,181,16290,16290
2,12500,"[9, 5]",585,525,95926,137550
4,46100,"[9, 5, 7, 10]",994,769,134828,295296
5,71100,"[9, 5, 7, 10, 3]",1500,1069,254367,570846
3,26200,"[9, 5, 7]",843,688,125158,236328
6,391100,"[9, 5, 7, 10, 3, 2]",2020,1308,375138,854778
6,103100,"[9, 5, 7, 10, 3, 1]",2172,1286,422247,826255
6,141100,"[9, 5, 7, 10, 3, 4]",1916,1222,325980,746031
7,173100,"[9, 5, 7, 10, 3, 1, 4]",2588,1404,486049,984906
7,364900,"[9, 5, 7, 10, 3, 1, 6]",2528,1396,468124,973710
7,423100,"[9, 5, 7, 10, 3, 1, 2]",2692,1476,534348,1088550
8,434900,"[9, 5, 7, 10, 3, 1, 4, 6]",2944,1475,524375,1087075
6,332900,"[9, 5, 7, 10, 3, 6]",1856,1218,306353,741153
5,78100,"[9, 5, 7, 10, 1]",1666,1149,341510,659526
7,402900,"[9, 5, 7, 10, 3, 4, 6]",2272,1315,369574,863955
7,473200,"[9, 5, 7, 3, 1, 4, 2]",2957,1527,575833,1165101
7,461100,"[9, 5, 7, 10, 3, 4, 2]",2436,1393,429391,969528
5,116100,"[9, 5, 7, 10, 4]",1410,997,214389,496506
6,521100,"[9, 5, 7, 10, 3, 8]",1733,1190,279071,707455
5,504100,"[9, 5, 7, 10, 0]",1988,1374,588888,943251
4,51200,"[9, 5, 7, 3]",1349,1009,245383,508536
8,493100,"[9, 5, 7, 10, 3, 1, 4, 2]",3108,1547,582317,1195831
5,496100,"[9, 5, 7, 10, 8]",1227,934,160949,435711
6,529100,"[9, 5, 7, 10, 3, 0]",2494,1551,681780,1202025
6,148100,"[9, 5, 7, 10, 1, 4]",2082,1297,410412,840456
6,339900,"[9, 5, 7, 10, 1, 6]",2022,1295,392787,837865
6,528100,"[9, 5, 7, 10, 1, 8]",1899,1255,363700,786885
6,398100,"[9, 5, 7, 10, 1, 2]",2186,1384,459328,957036
6,377900,"[9, 5, 7, 10, 4, 6]",1766,1131,264205,639015
6,436100,"[9, 5, 7, 10, 4, 2]",1930,1214,323853,736291
6,536100,"[9, 5, 7, 10, 1, 0]",2660,1568,736005,1228528
7,468100,"[9, 5, 7, 10, 1, 4, 2]",2602,1463,511177,1069453
7,409900,"[9, 5, 7, 10, 1, 4, 6]",2438,1383,452962,955653
5,83200,"[9, 5, 7, 3, 1]",2021,1251,414947,781875
6,153200,"[9, 5, 7, 3, 1, 4]",2437,1376,478993,946000
7,415000,"[9, 5, 7, 3, 1, 4, 6]",2793,1448,517493,1047628
5,366100,"[9, 5, 7, 10, 2]",1514,1099,263172,603351
5,307900,"[9, 5, 7, 10, 6]",1350,1001,194487,500500
6,345000,"[9, 5, 7, 3, 1, 6]",2377,1363,461013,928203
5,121200,"[9, 5, 7, 3, 4]",1765,1174,317295,688551
6,403200,"[9, 5, 7, 3, 1, 2]",2541,1455,527699,1057785
6,533200,"[9, 5, 7, 3, 1, 8]",2254,1342,436294,899811
6,541200,"[9, 5, 7, 3, 1, 0]",3015,1639,796027,1342341
6,383000,"[9, 5, 7, 3, 4, 6]",2121,1271,361135,807085
5,501200,"[9, 5, 7, 3, 8]",1582,1135,270114,643545
4,58200,"[9, 5, 7, 1]",1515,1106,333853,611065
5,313000,"[9, 5, 7, 3, 6]",1705,1167,297636,680361
4,96200,"[9, 5, 7, 4]",1259,935,205054,436645
5,371200,"[9, 5, 7, 3, 2]",1869,1267,366848,802011
5,509200,"[9, 5, 7, 3, 0]",2343,1512,674669,1142316
6,441200,"[9, 5, 7, 3, 4, 2]",2285,1357,421320,920046
4,288000,"[9, 5, 7, 6]",1199,937,185137,438516
5,128200,"[9, 5, 7, 1, 4]",1931,1264,403025,798216
3,32400,"[9, 5, 10]",736,626,106026,195625
4,346200,"[9, 5, 7, 2]",1363,1044,254224,544446
4,476200,"[9, 5, 7, 8]",1076,860,151307,369370
5,358000,"[9, 5, 7, 4, 6]",1615,1080,255169,582660
5,378200,"[9, 5, 7, 1, 2]",2035,1360,452349,924120
5,546200,"[9, 5, 7, 4, 8]",1492,1044,227521,544446
6,390000,"[9, 5, 7, 1, 4, 6]",2287,1354,445792,915981
5,416200,"[9, 5, 7, 4, 2]",1779,1167,315150,680361
5,320000,"[9, 5, 7, 1, 6]",1871,1258,385362,790653
5,508200,"[9, 5, 7, 1, 8]",1748,1214,356061,736291
5,516200,"[9, 5, 7, 1, 0]",2509,1537,729819,1180416
4,484200,"[9, 5, 7, 0]",1837,1324,581206,875826
6,448200,"[9, 5, 7, 1, 4, 2]",2451,1440,504379,1036080
4,57400,"[9, 5, 10, 3]",1242,971,228051,470935
5,89400,"[9, 5, 10, 3, 1]",1914,1213,399030,735078
6,159400,"[9, 5, 10, 3, 1, 4]",2330,1337,463203,893116
7,479400,"[9, 5, 10, 3, 1, 4, 2]",2850,1492,560225,1112286
6,351200,"[9, 5, 10, 3, 1, 6]",2270,1329,445278,882456
6,409400,"[9, 5, 10, 3, 1, 2]",2434,1418,511929,1004653
7,421200,"[9, 5, 10, 3, 1, 4, 6]",2686,1413,501883,997578
6,539400,"[9, 5, 10, 3, 1, 8]",2147,1308,420476,854778
5,127400,"[9, 5, 10, 3, 4]",1658,1132,300071,640146
4,64400,"[9, 5, 10, 1]",1408,1057,316662,558096
5,507400,"[9, 5, 10, 3, 8]",1475,1103,252913,607753
6,547400,"[9, 5, 10, 3, 1, 0]",2908,1611,784789,1296855
5,319200,"[9, 5, 10, 3, 6]",1598,1129,280432,636756
5,377400,"[9, 5, 10, 3, 2]",1762,1232,349715,758296
3,37500,"[9, 5, 3]",1091,902,218703,406351
6,389200,"[9, 5, 10, 3, 4, 6]",2014,1233,344043,759528
5,134400,"[9, 5, 10, 1, 4]",1824,1222,386225,746031
6,447400,"[9, 5, 10, 3, 4, 2]",2178,1321,404331,871860
4,482400,"[9, 5, 10, 8]",969,805,132308,323610
4,102400,"[9, 5, 10, 4]",1152,882,186339,388521
4,294200,"[9, 5, 10, 6]",1092,880,166198,386760
4,490400,"[9, 5, 10, 0]",1730,1300,569029,844350
4,352400,"[9, 5, 10, 2]",1256,989,235329,488566
5,515400,"[9, 5, 10, 3, 0]",2236,1488,663173,1106328
5,384400,"[9, 5, 10, 1, 2]",1928,1313,435334,861328
5,326200,"[9, 5, 10, 1, 6]",1764,1219,368425,742371
5,514400,"[9, 5, 10, 1, 8]",1641,1170,338971,683865
5,422400,"[9, 5, 10, 4, 2]",1672,1124,296708,631126
5,522400,"[9, 5, 10, 1, 0]",2402,1510,718063,1139295
5,364200,"[9, 5, 10, 4, 6]",1508,1029,236623,528906
6,396200,"[9, 5, 10, 1, 4, 6]",2180,1316,429216,865270
6,454400,"[9, 5, 10, 1, 4, 2]",2344,1402,487790,982101
4,69500,"[9, 5, 3, 1]",1763,1171,391413,685035
5,139500,"[9, 5, 3, 1, 4]",2179,1302,455831,846951
4,107500,"[9, 5, 3, 4]",1507,1076,291023,578350
6,401300,"[9, 5, 3, 1, 4, 6]",2535,1380,494687,951510
3,44500,"[9, 5, 1]",1257,1004,308650,503506
5,331300,"[9, 5, 3, 1, 6]",2119,1290,437852,831405
4,299300,"[9, 5, 3, 6]",1447,1070,271353,571915
5,519500,"[9, 5, 3, 1, 8]",1996,1268,412877,803278
5,389500,"[9, 5, 3, 1, 2]",2283,1391,504966,966745
4,487500,"[9, 5, 3, 8]",1324,1039,243592,539241
4,357500,"[9, 5, 3, 2]",1611,1184,341064,700336
5,527500,"[9, 5, 3, 1, 0]",2757,1581,778693,1248990
3,274300,"[9, 5, 6]",941,798,156421,318003
3,82500,"[9, 5, 4]",1001,802,176575,321201
3,332500,"[9, 5, 2]",1105,917,225954,419986
3,462500,"[9, 5, 8]",818,711,122236,252405
4,495500,"[9, 5, 3, 0]",2085,1445,655839,1043290
4,114500,"[9, 5, 1, 4]",1673,1180,378484,695610
6,459500,"[9, 5, 3, 1, 4, 2]",2699,1466,553428,1073845
5,369300,"[9, 5, 3, 4, 6]",1863,1182,335243,697971
4,306300,"[9, 5, 1, 6]",1613,1174,360648,688551
5,427500,"[9, 5, 3, 4, 2]",2027,1279,395900,817281
2,16200,"[9, 7]",439,412,49092,84666
3,470500,"[9, 5, 0]",1579,1242,561079,770661
4,494500,"[9, 5, 1, 8]",1490,1119,330977,625521
4,532500,"[9, 5, 4, 8]",1234,922,199197,424581
4,364500,"[9, 5, 1, 2]",1777,1281,428003,819840
4,344300,"[9, 5, 4, 6]",1357,962,227161,462241
4,502500,"[9, 5, 1, 0]",2251,1474,711642,1085601
5,376300,"[9, 5, 1, 4, 6]",2029,1280,421695,818560
4,402500,"[9, 5, 4, 2]",1521,1061,287579,562330
5,434500,"[9, 5, 1, 4, 2]",2193,1371,480641,939135
4,540500,"[9, 5, 4, 0]",1995,1394,626207,970921
3,36100,"[9, 7, 10]",590,528,59903,139128
4,61100,"[9, 7, 10, 3]",1096,887,182969,392941
4,297900,"[9, 7, 10, 6]",946,806,121914,324415
4,68100,"[9, 7, 10, 1]",1262,993,276519,492528
5,93100,"[9, 7, 10, 3, 1]",1768,1153,359451,664128
5,131100,"[9, 7, 10, 3, 4]",1512,1087,257754,590241
3,41200,"[9, 7, 3]",945,799,172872,318801
6,451100,"[9, 7, 10, 3, 4, 2]",2032,1277,363646,814726
5,381100,"[9, 7, 10, 3, 2]",1616,1165,306663,678030
5,511100,"[9, 7, 10, 3, 8]",1329,1030,208280,529935
4,106100,"[9, 7, 10, 4]",1006,815,142753,331705
5,322900,"[9, 7, 10, 3, 6]",1452,1070,237174,571915
4,356100,"[9, 7, 10, 2]",1110,908,191247,411778
5,138100,"[9, 7, 10, 1, 4]",1678,1176,348198,690900
4,486100,"[9, 7, 10, 8]",823,720,86641,258840
4,494100,"[9, 7, 10, 0]",1584,1254,536052,785631
6,543100,"[9, 7, 10, 3, 1, 8]",2001,1257,381302,789396
5,519100,"[9, 7, 10, 3, 0]",2090,1455,631501,1057785
5,518100,"[9, 7, 10, 1, 8]",1495,1116,299238,622170
6,413100,"[9, 7, 10, 3, 1, 2]",2288,1370,474224,937765
6,163100,"[9, 7, 10, 3, 1, 4]",2184,1302,425958,846951
6,354900,"[9, 7, 10, 3, 1, 6]",2124,1288,407343,828828
5,329900,"[9, 7, 10, 1, 6]",1618,1168,329899,681528
7,483100,"[9, 7, 10, 3, 1, 4, 2]",2704,1458,524483,1062153
5,426100,"[9, 7, 10, 4, 2]",1526,1061,254775,562330
6,392900,"[9, 7, 10, 3, 4, 6]",1868,1194,303196,712221
5,388100,"[9, 7, 10, 1, 2]",1782,1260,397065,793170
5,367900,"[9, 7, 10, 4, 6]",1362,971,194544,470935
7,424900,"[9, 7, 10, 3, 1, 4, 6]",2540,1380,465933,951510
5,526100,"[9, 7, 10, 1, 0]",2256,1482,689615,1097421
6,399900,"[9, 7, 10, 1, 4, 6]",2034,1271,392480,807085
6,458100,"[9, 7, 10, 1, 4, 2]",2198,1359,451276,922761
4,73200,"[9, 7, 3, 1]",1617,1099,351204,603351
5,143200,"[9, 7, 3, 1, 4]",2033,1258,417969,790653
3,48200,"[9, 7, 1]",1111,931,267908,432915
4,506200,"[9, 7, 1, 0]",2105,1446,682809,1044735
3,86200,"[9, 7, 4]",855,723,132292,261003
4,303000,"[9, 7, 3, 6]",1301,997,227371,496506
4,111200,"[9, 7, 3, 4]",1361,1015,247971,514605
5,335000,"[9, 7, 3, 1, 6]",1973,1240,399309,768180
4,118200,"[9, 7, 1, 4]",1527,1127,339871,634501
4,361200,"[9, 7, 3, 2]",1465,1105,297314,609960
4,310000,"[9, 7, 1, 6]",1467,1116,321545,622170
3,466200,"[9, 7, 8]",672,612,75858,186966
4,491200,"[9, 7, 3, 8]",1178,948,198210,448878
5,373000,"[9, 7, 3, 4, 6]",1717,1131,293686,639015
3,278000,"[9, 7, 6]",795,714,111451,254541
6,463200,"[9, 7, 3, 1, 4, 2]",2553,1428,517118,1018878
4,499200,"[9, 7, 3, 0]",1939,1407,623644,989121
5,431200,"[9, 7, 3, 4, 2]",1881,1225,354530,749700
4,536200,"[9, 7, 4, 8]",1088,848,155272,359128
3,336200,"[9, 7, 2]",959,827,181212,341551
4,498200,"[9, 7, 1, 8]",1344,1057,290645,558096
4,368200,"[9, 7, 1, 2]",1631,1224,389185,748476
5,523200,"[9, 7, 3, 1, 8]",1850,1206,373073,726615
6,405000,"[9, 7, 3, 1, 4, 6]",2389,1340,458142,897130
5,393200,"[9, 7, 3, 1, 2]",2137,1337,466681,893116
4,544200,"[9, 7, 4, 0]",1849,1364,594926,929566
4,348000,"[9, 7, 4, 6]",1211,896,184410,400960
4,406200,"[9, 7, 4, 2]",1375,992,244999,491536
5,531200,"[9, 7, 3, 1, 0]",2611,1556,750545,1209790
3,474200,"[9, 7, 0]",1433,1188,527596,705078
5,380000,"[9, 7, 1, 4, 6]",1883,1229,384395,754606
5,438200,"[9, 7, 1, 4, 2]",2047,1326,443590,878475
2,22400,"[9, 10]",332,324,27587,52326
3,47400,"[9, 10, 3]",838,737,153194,271216
4,79400,"[9, 10, 3, 1]",1510,1046,333162,546535
5,149400,"[9, 10, 3, 1, 4]",1926,1204,400058,724206
4,505400,"[9, 10, 3, 0]",1832,1378,611224,948753
3,54400,"[9, 10, 1]",1004,862,248554,371091
4,117400,"[9, 10, 3, 4]",1254,948,228404,448878
3,92400,"[9, 10, 4]",748,645,111210,207690
3,284200,"[9, 10, 6]",688,629,90150,197506
4,309200,"[9, 10, 3, 6]",1194,933,207832,434778
4,497400,"[9, 10, 3, 8]",1071,896,178673,400960
3,472400,"[9, 10, 8]",565,535,54496,142845
3,480400,"[9, 10, 0]",1326,1162,514478,674541
3,342400,"[9, 10, 2]",852,745,159918,277140
4,367400,"[9, 10, 3, 2]",1358,1045,277809,545490
