subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
4,169800,"[7, 9, 8, 3]",826,727,161090,263901
1,10000,[7],155,155,11935,11935
2,23700,"[7, 9]",216,212,13759,22366
3,40800,"[7, 9, 8]",284,252,15811,31626
3,47800,"[7, 9, 6]",389,357,28334,63546
2,27100,"[7, 8]",223,214,14177,22791
4,337100,"[7, 8, 3, 5]",1101,856,205032,365940
4,64900,"[7, 9, 8, 6]",457,391,30365,76245
3,204700,"[7, 9, 5]",552,512,69589,130816
4,440800,"[7, 9, 8, 4]",807,670,148997,224115
3,152700,"[7, 9, 3]",758,696,159149,241860
4,221800,"[7, 9, 8, 5]",620,547,71614,149331
3,51200,"[7, 8, 6]",396,356,28734,63190
3,423700,"[7, 9, 4]",739,643,147154,206403
3,373700,"[7, 9, 2]",1109,961,404666,461280
4,176800,"[7, 9, 6, 3]",931,778,171452,302253
5,245900,"[7, 9, 8, 6, 5]",793,663,85794,219453
4,397800,"[7, 9, 6, 2]",1282,998,411303,497503
5,414900,"[7, 9, 8, 6, 2]",1350,1013,412585,512578
4,390800,"[7, 9, 8, 2]",1177,978,405963,477753
4,228800,"[7, 9, 6, 5]",725,633,83789,200028
4,333700,"[7, 9, 3, 5]",1094,860,204699,369370
5,193900,"[7, 9, 8, 6, 3]",999,805,173375,323610
5,350800,"[7, 9, 8, 3, 5]",1162,886,206613,392055
4,447800,"[7, 9, 6, 4]",912,714,158196,254541
4,232200,"[7, 8, 6, 5]",732,632,84178,199396
4,401200,"[7, 8, 6, 2]",1289,990,411213,489555
4,180200,"[7, 8, 6, 3]",938,774,171783,299151
5,357800,"[7, 9, 6, 3, 5]",1267,931,216732,432915
6,374900,"[7, 9, 8, 6, 3, 5]",1335,954,218629,454581
5,361200,"[7, 8, 6, 3, 5]",1274,926,217051,428275
3,208100,"[7, 8, 5]",559,514,69995,131841
3,156100,"[7, 8, 3]",765,694,159495,240471
3,427100,"[7, 8, 4]",746,639,147447,203841
2,34100,"[7, 6]",328,303,26513,45753
3,377100,"[7, 8, 2]",1116,952,404588,452676
4,451200,"[7, 8, 6, 4]",919,707,158471,249571
2,139000,"[7, 3]",697,648,157370,209628
4,344100,"[7, 6, 3, 5]",1206,889,214970,394716
1,13700,[9],61,61,1830,1830
2,410000,"[7, 4]",678,600,145435,179700
3,163100,"[7, 6, 3]",870,732,169676,267546
2,191000,"[7, 5]",491,461,67780,106030
3,215100,"[7, 6, 5]",664,584,81983,170236
2,360000,"[7, 2]",1048,929,403192,431056
2,30800,"[9, 8]",129,109,3918,5886
3,384100,"[7, 6, 2]",1221,969,409832,468996
2,439600,"[7, 0]",1269,1203,629731,723003
3,434100,"[7, 6, 4]",851,672,156479,225456
3,320000,"[7, 3, 5]",1033,816,202934,332520
2,37800,"[9, 6]",234,231,16705,26565
3,54900,"[9, 8, 6]",302,272,18772,36856
3,159800,"[9, 8, 3]",671,629,150370,197506
3,211800,"[9, 8, 5]",465,432,60155,93096
3,380800,"[9, 8, 2]",1022,947,401075,447931
3,430800,"[9, 8, 4]",652,602,140106,180901
3,166800,"[9, 6, 3]",776,696,160993,241860
4,340800,"[9, 8, 3, 5]",1007,811,196312,328455
4,235900,"[9, 8, 6, 5]",638,570,74632,162165
4,183900,"[9, 8, 6, 3]",844,728,162949,264628
4,404900,"[9, 8, 6, 2]",1195,986,407807,485605
4,347800,"[9, 6, 3, 5]",1112,871,206690,378885
5,364900,"[9, 8, 6, 3, 5]",1180,898,208619,402753
3,218800,"[9, 6, 5]",570,534,72592,142311
1,17100,[8],68,68,2278,2278
2,142700,"[9, 3]",603,593,148396,175528
2,194700,"[9, 5]",397,391,58095,76245
2,413700,"[9, 4]",584,569,138228,161596
2,363700,"[9, 2]",954,927,399757,429201
3,437800,"[9, 6, 4]",757,656,149534,214840
2,443300,"[9, 0]",1175,1151,621495,661825
3,387800,"[9, 6, 2]",1127,969,406504,468996
3,323700,"[9, 3, 5]",939,781,194366,304590
2,41200,"[8, 6]",241,234,17135,27261
1,24100,[6],173,173,14878,14878
3,327100,"[8, 3, 5]",946,779,194725,303031
2,146100,"[8, 3]",610,594,148769,176121
4,351200,"[8, 6, 3, 5]",1119,868,207035,376278
2,367100,"[8, 2]",961,919,399695,421821
2,205100,"[6, 5]",509,481,70780,115440
2,424100,"[6, 4]",696,611,147811,186355
2,198100,"[8, 5]",404,396,58530,78210
3,170200,"[8, 6, 3]",783,695,161351,241165
2,417100,"[8, 4]",591,569,138550,161596
3,222200,"[8, 6, 5]",577,536,73010,143380
3,441200,"[8, 6, 4]",764,652,149838,212226
1,181000,[5],336,336,56280,56280
1,129000,[3],542,542,146611,146611
3,391200,"[8, 6, 2]",1134,961,406430,461280
2,446700,"[8, 0]",1182,1150,621723,660675
2,153100,"[6, 3]",715,647,159211,208981
1,350000,[2],893,893,398278,398278
1,400000,[4],523,523,136503,136503
2,374100,"[6, 2]",1066,938,405028,439453
2,310000,"[3, 5]",878,734,192595,269011
3,334100,"[6, 3, 5]",1051,826,204922,340725
1,429600,[0],1114,1114,619941,619941
1,450000,[1],1050,1050,550725,550725
