subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
2,13000,"[6, 7]",261,246,16795,30135
1,3000,[6],131,131,8515,8515
3,25000,"[6, 7, 10]",298,274,17439,37401
4,38500,"[6, 7, 10, 1]",593,445,56306,98790
5,58400,"[6, 7, 10, 1, 9]",649,476,57690,113050
6,80400,"[6, 7, 10, 1, 9, 3]",817,559,69918,155961
7,130400,"[6, 7, 10, 1, 9, 3, 2]",1088,703,103198,246753
6,108400,"[6, 7, 10, 1, 9, 2]",920,650,92118,210925
5,60500,"[6, 7, 10, 1, 3]",761,535,68617,142845
8,351900,"[6, 7, 10, 1, 9, 3, 0, 5]",1505,1028,221195,527878
8,220400,"[6, 7, 10, 1, 9, 3, 2, 0]",1629,1085,242744,588070
7,198400,"[6, 7, 10, 1, 9, 2, 0]",1461,1044,232483,544446
8,229950,"[6, 7, 10, 1, 9, 3, 2, 8]",1209,727,108234,263901
9,319950,"[6, 7, 10, 1, 9, 3, 2, 0, 8]",1750,1106,247444,611065
7,179950,"[6, 7, 10, 1, 9, 3, 8]",938,608,76079,184528
8,297950,"[6, 7, 10, 1, 9, 2, 0, 8]",1582,1074,237805,576201
9,411450,"[6, 7, 10, 1, 9, 3, 2, 8, 5]",1356,746,113675,277885
7,170400,"[6, 7, 10, 1, 9, 3, 0]",1358,984,212893,483636
9,401900,"[6, 7, 10, 1, 9, 3, 2, 0, 5]",1776,1113,249721,618828
7,261900,"[6, 7, 10, 1, 9, 3, 5]",964,614,78660,188191
8,379900,"[6, 7, 10, 1, 9, 2, 0, 5]",1608,1080,240285,582660
8,311900,"[6, 7, 10, 1, 9, 3, 2, 5]",1235,735,110509,269745
6,239900,"[6, 7, 10, 1, 9, 5]",796,561,67575,157080
6,148400,"[6, 7, 10, 1, 9, 0]",1190,924,201667,426426
7,289900,"[6, 7, 10, 1, 9, 2, 5]",1067,695,100302,241165
8,269950,"[6, 7, 10, 1, 9, 3, 0, 8]",1479,1019,218554,518671
8,389450,"[6, 7, 10, 1, 9, 2, 8, 5]",1188,709,103812,250986
7,207950,"[6, 7, 10, 1, 9, 2, 8]",1041,688,97815,236328
8,361450,"[6, 7, 10, 1, 9, 3, 8, 5]",1085,634,82544,200661
7,247950,"[6, 7, 10, 1, 9, 0, 8]",1311,979,208080,478731
8,429450,"[6, 7, 10, 1, 9, 0, 8, 5]",1458,1005,214948,504510
6,110500,"[6, 7, 10, 1, 3, 2]",1032,685,101985,234270
6,434600,"[6, 7, 10, 1, 9, 4]",811,579,69993,167331
6,157950,"[6, 7, 10, 1, 9, 8]",770,554,64648,153181
7,329900,"[6, 7, 10, 1, 9, 0, 5]",1337,990,211058,489555
7,200500,"[6, 7, 10, 1, 3, 2, 0]",1573,1072,241633,574056
7,339450,"[6, 7, 10, 1, 9, 8, 5]",917,588,71884,172578
6,242000,"[6, 7, 10, 1, 3, 5]",908,595,77397,176715
7,292000,"[6, 7, 10, 1, 3, 2, 5]",1179,721,109334,259560
7,360000,"[6, 7, 10, 1, 2, 0, 5]",1552,1068,239141,569778
8,431550,"[6, 7, 10, 1, 3, 0, 8, 5]",1570,1032,223569,531996
5,88500,"[6, 7, 10, 1, 2]",864,626,90823,195625
6,150500,"[6, 7, 10, 1, 3, 0]",1302,967,211707,467061
6,160050,"[6, 7, 10, 1, 3, 8]",882,586,74796,171405
7,278050,"[6, 7, 10, 1, 2, 0, 8]",1526,1061,236645,562330
6,436700,"[6, 7, 10, 1, 3, 4]",923,614,80114,188191
6,178500,"[6, 7, 10, 1, 2, 0]",1405,1026,231295,525825
7,210050,"[6, 7, 10, 1, 3, 2, 8]",1153,711,107039,252405
6,116900,"[6, 7, 10, 9, 3, 2]",793,589,66663,173166
7,341550,"[6, 7, 10, 1, 3, 8, 5]",1029,617,81296,190036
7,332000,"[6, 7, 10, 1, 3, 0, 5]",1449,1016,220047,515620
7,250050,"[6, 7, 10, 1, 3, 0, 8]",1423,1004,217386,503506
8,391550,"[6, 7, 10, 1, 3, 2, 8, 5]",1300,734,112515,269011
5,128500,"[6, 7, 10, 1, 0]",1134,901,200403,405450
8,382000,"[6, 7, 10, 1, 3, 2, 0, 5]",1720,1104,248648,608856
8,300050,"[6, 7, 10, 1, 3, 2, 0, 8]",1694,1095,246351,598965
6,188050,"[6, 7, 10, 1, 2, 8]",985,669,96548,223446
