subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
3,158000,"[4, 1, 5]",1129,841,260476,353220
1,26000,[6],181,181,16290,16290
1,27000,[4],260,260,33670,33670
2,53000,"[6, 4]",441,371,47545,68635
1,40000,[2],425,425,90100,90100
2,490000,"[2, 3]",694,579,119591,167331
2,66000,"[6, 2]",606,527,103309,138601
2,114000,"[6, 5]",370,353,33920,62128
2,69000,"[6, 1]",861,720,237280,258840
3,93000,"[6, 4, 2]",866,610,125790,185745
2,476000,"[6, 3]",450,410,51556,83845
2,83000,"[2, 1]",1105,814,278765,330891
2,70000,"[4, 1]",940,756,247694,285390
2,477000,"[4, 3]",529,464,67636,107416
2,67000,"[4, 2]",685,549,114590,150426
3,503000,"[6, 4, 3]",710,546,80786,148785
2,115000,"[4, 5]",449,407,50575,82621
3,96000,"[6, 4, 1]",1121,788,253590,310078
3,516000,"[6, 2, 3]",875,663,132251,219453
3,109000,"[6, 2, 1]",1286,838,284057,350703
3,155000,"[4, 2, 5]",874,652,129317,212226
3,154000,"[6, 2, 5]",795,635,118411,201295
3,141000,"[6, 4, 5]",630,506,64324,127765
4,197000,"[6, 2, 1, 5]",1475,912,295972,415416
4,184000,"[6, 4, 1, 5]",1310,872,266334,379756
3,157000,"[6, 1, 5]",1050,808,250248,326028
4,181000,"[6, 4, 2, 5]",1055,706,140416,248865
5,224000,"[6, 4, 2, 1, 5]",1735,951,308147,451725
3,110000,"[4, 2, 1]",1365,854,291369,364231
4,136000,"[6, 4, 2, 1]",1546,877,296312,384126
4,198000,"[4, 2, 1, 5]",1554,928,303227,430128
1,43000,[1],680,680,230860,230860
1,450000,[3],269,269,36046,36046
1,515000,[0],1750,1750,1530375,1530375
2,128000,"[2, 5]",614,542,105310,146611
2,131000,"[1, 5]",869,771,243873,296835
3,171000,"[2, 1, 5]",1294,888,290707,393828
1,88000,[5],189,189,17766,17766
2,493000,"[1, 3]",949,788,254026,310078
