subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,10000,[3],126,126,7875,7875
3,37915,"[3, 12, 7]",235,192,11400,18336
2,23915,"[3, 12]",145,138,8025,9453
4,52915,"[3, 12, 7, 8]",324,234,14469,27261
5,68915,"[3, 12, 7, 8, 5]",427,271,18389,36585
6,90915,"[3, 12, 7, 8, 5, 9]",506,298,20736,44253
7,170915,"[3, 12, 7, 8, 5, 9, 4]",627,338,26366,56953
7,160915,"[3, 12, 7, 8, 5, 9, 11]",556,315,21679,49455
8,311915,"[3, 12, 7, 8, 5, 9, 11, 10]",614,329,22957,53956
8,240915,"[3, 12, 7, 8, 5, 9, 11, 4]",677,352,27285,61776
9,390915,"[3, 12, 7, 8, 5, 9, 11, 4, 2]",824,374,33786,69751
8,250915,"[3, 12, 7, 8, 5, 9, 11, 0]",959,667,102188,222111
9,330915,"[3, 12, 7, 8, 5, 9, 11, 4, 0]",1080,698,107582,243253
8,310915,"[3, 12, 7, 8, 5, 9, 11, 2]",703,340,28598,57630
9,411915,"[3, 12, 7, 8, 5, 9, 4, 0, 10]",1088,707,108030,249571
9,401915,"[3, 12, 7, 8, 5, 9, 11, 0, 10]",1017,680,103413,230860
8,320915,"[3, 12, 7, 8, 5, 9, 4, 2]",774,369,33142,67896
9,391915,"[3, 12, 7, 8, 5, 9, 11, 4, 10]",735,366,28535,66795
8,321915,"[3, 12, 7, 8, 5, 9, 4, 10]",685,354,27630,62481
8,360915,"[3, 12, 7, 8, 5, 9, 4, 1]",938,495,68071,122265
8,350915,"[3, 12, 7, 8, 5, 9, 11, 1]",867,466,63627,108345
8,354515,"[3, 12, 7, 8, 5, 9, 11, 6]",656,374,26265,69751
8,260915,"[3, 12, 7, 8, 5, 9, 4, 0]",1030,694,106824,240471
8,331915,"[3, 12, 7, 8, 5, 9, 0, 10]",967,676,102641,228150
9,410915,"[3, 12, 7, 8, 5, 9, 4, 0, 2]",1177,715,113324,255255
7,180915,"[3, 12, 7, 8, 5, 9, 0]",909,662,101407,218791
