subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,6000,[12],60,60,1770,1770
2,16000,"[12, 3]",388,380,55370,72010
3,27500,"[12, 3, 4]",712,639,106156,203841
4,42500,"[12, 3, 4, 8]",944,784,131311,306936
5,61500,"[12, 3, 4, 8, 1]",1274,942,177597,443211
7,107500,"[12, 3, 4, 8, 1, 7, 0]",2289,1413,449565,997578
8,133000,"[12, 3, 4, 8, 1, 7, 0, 6]",2574,1449,471144,1049076
9,164500,"[12, 3, 4, 8, 1, 7, 0, 6, 2]",2903,1510,503554,1139295
11,259500,"[12, 3, 4, 8, 1, 7, 0, 6, 2, 9, 5]",3424,1654,552012,1367031
12,459500,"[12, 3, 4, 8, 1, 7, 0, 6, 2, 9, 5, 11]",3572,1702,560001,1447551
11,404500,"[12, 3, 4, 8, 1, 7, 0, 6, 2, 9, 11]",3282,1629,530841,1326006
6,83500,"[12, 3, 4, 8, 1, 7]",1554,1053,209569,553878
10,204500,"[12, 3, 4, 8, 1, 7, 0, 6, 2, 9]",3134,1581,522768,1248990
12,568000,"[12, 3, 4, 8, 1, 7, 0, 6, 2, 9, 5, 10]",3578,1708,561410,1457778
11,419500,"[12, 3, 4, 8, 1, 7, 0, 6, 2, 5, 11]",3341,1636,541054,1337430
9,173000,"[12, 3, 4, 8, 1, 7, 0, 6, 9]",2805,1527,490625,1165101
10,473000,"[12, 3, 4, 8, 1, 7, 0, 6, 2, 10]",3057,1565,513097,1223830
10,364500,"[12, 3, 4, 8, 1, 7, 0, 6, 2, 11]",3051,1558,511677,1212903
9,333000,"[12, 3, 4, 8, 1, 7, 0, 6, 11]",2722,1499,479298,1122751
10,228000,"[12, 3, 4, 8, 1, 7, 0, 6, 9, 5]",3095,1603,520899,1284003
10,373000,"[12, 3, 4, 8, 1, 7, 0, 6, 9, 11]",2953,1576,498728,1241100
11,528000,"[12, 3, 4, 8, 1, 7, 0, 6, 2, 5, 10]",3347,1642,542422,1347261
10,496500,"[12, 3, 4, 8, 1, 7, 0, 6, 5, 10]",3018,1587,511138,1258491
11,428000,"[12, 3, 4, 8, 1, 7, 0, 6, 9, 5, 11]",3243,1652,528915,1363726
11,536500,"[12, 3, 4, 8, 1, 7, 0, 6, 9, 5, 10]",3249,1659,530382,1375311
10,481500,"[12, 3, 4, 8, 1, 7, 0, 6, 9, 10]",2959,1584,500251,1253736
10,219500,"[12, 3, 4, 8, 1, 7, 0, 6, 2, 5]",3193,1588,533022,1260078
10,388000,"[12, 3, 4, 8, 1, 7, 0, 6, 5, 11]",3012,1581,509713,1248990
9,179000,"[12, 3, 4, 8, 1, 7, 0, 2, 9]",2849,1549,501632,1198926
9,441500,"[12, 3, 4, 8, 1, 7, 0, 6, 10]",2728,1506,480772,1133265
8,139000,"[12, 3, 4, 8, 1, 7, 0, 2]",2618,1475,482314,1087075
11,513000,"[12, 3, 4, 8, 1, 7, 0, 6, 2, 9, 10]",3288,1636,532309,1337430
9,188000,"[12, 3, 4, 8, 1, 7, 0, 6, 5]",2864,1531,501653,1171215
7,109000,"[12, 3, 4, 8, 1, 7, 6]",1839,1107,234819,612171
10,379000,"[12, 3, 4, 8, 1, 7, 0, 2, 9, 11]",2997,1598,509763,1276003
8,147500,"[12, 3, 4, 8, 1, 7, 0, 9]",2520,1494,469150,1115271
8,162500,"[12, 3, 4, 8, 1, 7, 0, 5]",2579,1498,480336,1121253
10,234000,"[12, 3, 4, 8, 1, 7, 0, 2, 9, 5]",3139,1625,531136,1319500
8,140500,"[12, 3, 4, 8, 1, 7, 6, 2]",2168,1180,269511,695610
8,307500,"[12, 3, 4, 8, 1, 7, 0, 11]",2437,1464,457777,1070916
8,416000,"[12, 3, 4, 8, 1, 7, 0, 10]",2443,1472,459343,1082656
11,542500,"[12, 3, 4, 8, 1, 7, 0, 2, 9, 5, 10]",3293,1680,540679,1410360
9,447500,"[12, 3, 4, 8, 1, 7, 0, 2, 10]",2772,1532,492007,1172746
9,339000,"[12, 3, 4, 8, 1, 7, 0, 2, 11]",2766,1524,490495,1160526
9,347500,"[12, 3, 4, 8, 1, 7, 0, 9, 11]",2668,1544,477311,1191196
9,456000,"[12, 3, 4, 8, 1, 7, 0, 9, 10]",2674,1553,478926,1205128
9,202500,"[12, 3, 4, 8, 1, 7, 0, 9, 5]",2810,1573,499686,1236378
9,194000,"[12, 3, 4, 8, 1, 7, 0, 2, 5]",2908,1556,512042,1209790
9,362500,"[12, 3, 4, 8, 1, 7, 0, 5, 11]",2727,1549,488450,1198926
11,434000,"[12, 3, 4, 8, 1, 7, 0, 2, 9, 5, 11]",3287,1674,539179,1400301
9,471000,"[12, 3, 4, 8, 1, 7, 0, 5, 10]",2733,1555,489966,1208235
9,616000,"[12, 3, 4, 8, 1, 7, 0, 11, 10]",2591,1523,467550,1159003
9,195500,"[12, 3, 4, 8, 1, 7, 6, 2, 5]",2458,1262,299169,795691
