subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,19000,[5],79,79,3081,3081
2,63000,"[5, 2]",322,293,32078,42778
2,121000,"[5, 4]",175,171,7635,14535
1,44000,[2],243,243,29403,29403
2,419000,"[5, 3]",300,262,26688,34191
2,421050,"[5, 1]",351,291,38167,42195
2,169000,"[5, 0]",608,547,140907,149331
3,213000,"[5, 2, 0]",851,636,158779,201930
2,146000,"[2, 4]",339,304,33368,46056
1,400000,[3],221,221,24310,24310
2,194000,"[2, 0]",772,620,157583,191890
3,296000,"[2, 4, 0]",868,670,161130,224115
1,102000,[4],96,96,4560,4560
3,165000,"[5, 2, 4]",418,353,36040,62128
3,271000,"[5, 4, 0]",704,598,144518,178503
1,402050,[1],272,272,36856,36856
4,315000,"[5, 2, 4, 0]",947,686,162325,234955
1,150000,[0],529,529,139656,139656
2,444000,"[2, 3]",464,362,48562,65341
2,252000,"[4, 0]",625,581,143270,168490
