subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,116400,[6],1062,1062,563391,563391
2,356400,"[6, 3]",3480,3085,3407729,4757070
2,866400,"[6, 1]",4007,3560,4798750,6335020
2,915769,"[6, 8]",1683,1603,752741,1284003
2,893400,"[6, 0]",4971,4849,8194196,11753976
2,911400,"[6, 4]",2990,2675,2371564,3576475
2,896400,"[6, 2]",3504,3022,3427931,4564731
3,1156400,"[6, 3, 5]",4977,3953,4394131,7811128
3,1711400,"[6, 4, 5]",4487,3562,3364745,6342141
3,1666400,"[6, 1, 5]",5504,4355,5736769,9480835
3,1156400,"[6, 3, 7]",4122,3520,3600679,6193440
3,1710769,"[6, 4, 8]",3611,2899,2495929,4200651
3,1661400,"[6, 1, 4]",5935,4520,6260180,10212940
3,1696400,"[6, 2, 7]",4146,3442,3615791,5921961
3,1106400,"[6, 3, 1]",6425,4022,6013404,8086231
3,1695769,"[6, 2, 8]",4125,3508,3614036,6151278
3,1136400,"[6, 3, 2]",5922,3770,5124769,7104565
3,1643400,"[6, 1, 0]",7916,7151,12399665,25564825
3,1666400,"[6, 1, 7]",4649,3997,4990381,7986006
3,1151400,"[6, 3, 4]",5408,4254,5050512,9046131
3,1711400,"[6, 4, 7]",3632,3051,2551650,4652775
3,1692769,"[6, 0, 8]",5592,5324,8380345,14169826
3,1155769,"[6, 3, 8]",4101,3567,3594660,6359961
3,1691400,"[6, 2, 4]",5432,4186,5062790,8759205
3,1133400,"[6, 3, 0]",7389,6637,10993179,22021566
3,1693400,"[6, 0, 5]",6468,5939,9259279,17632891
3,1688400,"[6, 0, 4]",6899,6257,9971414,19571896
3,1665769,"[6, 1, 8]",4628,4041,4985490,8162820
3,1693400,"[6, 0, 7]",5613,5349,8394096,14303226
3,1646400,"[6, 1, 2]",6449,4141,6321523,8571870
3,1696400,"[6, 2, 5]",5001,3764,4319752,7081966
3,1673400,"[6, 0, 2]",7413,6616,11027856,21882420
1,240000,[3],2418,2418,2922153,2922153
3,1715769,"[6, 8, 5]",3180,2713,1820028,3678828
2,916400,"[6, 5]",2559,2254,1636787,2539131
1,750000,[1],2945,2945,4335040,4335040
1,777000,[0],3909,3909,7638186,7638186
1,780000,[2],2442,2442,2980461,2980461
1,795000,[4],1928,1928,1857628,1857628
2,916400,"[6, 7]",1704,1612,764966,1298466
2,990000,"[3, 1]",5363,3538,5592793,6256953
2,1035000,"[3, 4]",4346,3751,4603066,7033125
2,1017000,"[3, 0]",6327,6016,10512134,18093120
2,1020000,"[3, 2]",4860,3322,4720661,5516181
2,1040000,"[3, 5]",3915,3484,3949244,6067386
3,1715769,"[6, 8, 7]",2325,2083,950431,2168403
3,1716400,"[6, 5, 7]",3201,2586,1802283,3342405
2,1039369,"[3, 8]",3039,2968,3112178,4403028
2,1040000,"[3, 7]",3060,2927,3119136,4282201
2,1575000,"[2, 4]",4370,3759,4651734,7063161
2,1577000,"[0, 7]",4551,4492,7842236,10086786
2,1579369,"[2, 8]",3063,2976,3169230,4426800
2,1527000,"[1, 0]",6854,6603,11941851,21796503
2,1572000,"[0, 4]",5837,5583,9463683,15582153
2,1545000,"[1, 4]",4873,4015,5825015,8058105
2,1557000,"[0, 2]",6351,6094,10585751,18565371
2,1549369,"[1, 8]",3566,3492,4524849,6095286
2,1530000,"[1, 2]",5387,3724,5933548,6932226
2,1550000,"[1, 7]",3587,3442,4530361,5921961
2,1550000,"[1, 5]",4442,3902,5309266,7610851
2,1580000,"[2, 7]",3084,2913,3171687,4241328
2,1576369,"[0, 8]",4530,4448,7827375,9890128
2,1580000,"[2, 5]",3939,3310,3902711,5476395
2,1577000,"[0, 5]",5406,5273,8749164,13899628
2,1594369,"[4, 8]",2549,2185,1984072,2386020
2,1595000,"[4, 5]",3425,3009,2891064,4525536
1,799369,[8],621,621,192510,192510
1,800000,[7],642,642,205761,205761
2,1595000,"[4, 7]",2570,2359,2041234,2781261
1,800000,[5],1497,1497,1119756,1119756
2,1600000,"[5, 7]",2139,1864,1287842,1736316
2,1599369,"[8, 7]",1263,1172,394176,686206
2,1599369,"[8, 5]",2118,2002,1305596,2003001
