subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,15000,[3],1539,1539,1183491,1183491
1,498200,[0],4766,4766,11354995,11354995
3,1108200,"[3, 0, 5]",7231,6684,12894680,22334586
2,1298200,"[0, 2]",6488,6128,12772156,18773128
1,800000,[4],1421,1421,1008910,1008910
3,1313200,"[3, 0, 2]",8027,6876,13685608,23636250
1,535000,[1],1940,1940,1880830,1880830
1,800000,[2],1722,1722,1481781,1481781
1,595000,[5],926,926,428275,428275
2,815000,"[3, 4]",2960,2485,2079826,3086370
2,1033200,"[0, 1]",6706,6374,13180879,20310751
2,815000,"[3, 2]",3261,2561,2420622,3278080
2,1093200,"[0, 5]",5692,5572,11776130,15520806
2,610000,"[3, 5]",2465,2293,1597060,2627778
2,1395000,"[5, 2]",2648,2456,1891720,3014740
3,1410000,"[3, 5, 4]",3886,3188,2488295,5080078
3,1313200,"[3, 0, 4]",7726,6815,13356308,23218705
3,1350000,"[3, 1, 4]",4900,3983,3880907,7930153
3,1048200,"[3, 0, 1]",8245,7465,14280109,27859380
2,550000,"[3, 1]",3479,3160,3013600,4991220
2,1130000,"[1, 5]",2866,2729,2299789,3722356
2,1298200,"[0, 4]",6187,5898,12322289,17390253
2,1335000,"[1, 4]",3361,3063,2845487,4689453
2,1335000,"[1, 2]",3662,3281,3290221,5380840
2,1395000,"[5, 4]",2347,2221,1429310,2465310
2,513200,"[3, 0]",6305,5980,12485836,17877210
3,1145000,"[3, 1, 5]",4405,3849,3420409,7405476
3,1350000,"[3, 1, 2]",5201,4010,4200077,8038045
3,1410000,"[3, 5, 2]",4187,3241,2822758,5250420
